index,price,type,date,consensus_ratio,window,close,volume,classification
2,75.25,low,2000-01-06 08:00:00+08:00,1.0,5,76.75,5992781,Start_L
15,75.0,low,2000-01-25 08:00:00+08:00,0.5,3,75.25,2327800,-L
18,79.5,high,2000-01-28 08:00:00+08:00,1.0,5,77.0,2225118,Start_H
35,73.25,high,2000-02-24 08:00:00+08:00,0.5,3,72.5,1378969,LH
49,65.0,low,2000-03-15 08:00:00+08:00,1.0,5,65.25,2039300,LL
51,69.0,high,2000-03-17 08:00:00+08:00,0.5,3,69.0,2929622,LH
55,66.25,low,2000-03-23 08:00:00+08:00,0.5,3,67.25,849676,HL
57,70.25,high,2000-03-27 08:00:00+08:00,1.0,5,69.5,2394822,HH
63,65.5,low,2000-04-05 08:00:00+08:00,1.0,5,67.0,3111250,LL
71,65.0,low,2000-04-17 08:00:00+08:00,1.0,5,69.25,1958297,LL
79,72.5,high,2000-05-02 08:00:00+08:00,1.0,5,71.25,1231276,HH
84,66.0,low,2000-05-10 08:00:00+08:00,0.5,3,66.25,1465891,HL
85,71.25,high,2000-05-12 08:00:00+08:00,0.5,3,70.5,1837498,LH
97,65.0,low,2000-05-31 08:00:00+08:00,1.0,5,65.5,2022520,LL
105,70.0,low,2000-06-13 08:00:00+08:00,0.5,3,70.25,2185200,HL
110,75.5,high,2000-06-20 08:00:00+08:00,1.0,5,74.25,1558700,HH
113,70.75,low,2000-06-23 08:00:00+08:00,1.0,5,72.25,1062900,HL
129,82.0,high,2000-07-17 08:00:00+08:00,0.5,3,81.25,1583945,HH
136,86.25,high,2000-07-26 08:00:00+08:00,1.0,5,85.75,4479246,HH
144,84.75,high,2000-08-07 08:00:00+08:00,0.5,3,84.25,1545894,LH
146,81.0,low,2000-08-09 08:00:00+08:00,0.5,3,81.0,2465564,HL
156,87.75,high,2000-08-23 08:00:00+08:00,1.0,5,86.0,1604248,HH
167,88.25,high,2000-09-07 08:00:00+08:00,1.0,5,87.5,3294854,HH
174,77.5,low,2000-09-19 08:00:00+08:00,1.0,5,82.25,1835060,LL
185,87.25,high,2000-10-05 08:00:00+08:00,1.0,5,87.0,1390910,LH
188,82.5,low,2000-10-11 08:00:00+08:00,1.0,5,83.0,3429555,HL
197,93.5,high,2000-10-25 08:00:00+08:00,0.5,3,93.0,3066311,HH
199,88.5,low,2000-10-30 08:00:00+08:00,0.5,3,89.75,939939,HL
203,96.0,high,2000-11-03 08:00:00+08:00,1.0,5,94.25,2217172,HH
209,86.5,low,2000-11-13 08:00:00+08:00,1.0,5,88.25,1428976,LL
211,93.5,high,2000-11-15 08:00:00+08:00,0.5,3,90.0,1044732,LH
217,87.0,low,2000-11-23 08:00:00+08:00,1.0,5,91.75,2030400,HL
220,96.75,high,2000-11-28 08:00:00+08:00,1.0,5,94.5,2175006,HH
223,90.0,low,2000-12-01 08:00:00+08:00,1.0,5,93.0,1986846,HL
243,100.0,low,2001-01-03 08:00:00+08:00,0.5,3,101.5,940500,HL
245,108.0,high,2001-01-05 08:00:00+08:00,1.0,5,107.0,4785776,HH
263,100.0,low,2001-02-05 08:00:00+08:00,0.5,3,100.5,1838957,-L
265,103.5,high,2001-02-07 08:00:00+08:00,1.0,5,103.0,1984156,LH
268,99.75,low,2001-02-12 08:00:00+08:00,1.0,5,100.0,1720000,-L
275,99.5,low,2001-02-21 08:00:00+08:00,0.5,3,101.5,1484600,-L
284,96.5,high,2001-03-06 08:00:00+08:00,0.5,3,94.75,1261642,LH
296,85.0,low,2001-03-23 08:00:00+08:00,1.0,5,88.5,2272999,LL
300,88.75,low,2001-03-29 08:00:00+08:00,0.5,3,90.25,2160340,HL
304,88.5,low,2001-04-04 08:00:00+08:00,1.0,5,90.0,1644010,-L
321,88.75,low,2001-05-04 08:00:00+08:00,0.5,3,89.25,1974000,-L
329,87.75,low,2001-05-16 08:00:00+08:00,1.0,5,89.25,1811242,LL
330,91.0,high,2001-05-17 08:00:00+08:00,1.0,5,89.5,1748055,LH
351,80.0,low,2001-06-15 08:00:00+08:00,1.0,5,80.5,6143927,LL
376,83.5,low,2001-07-26 08:00:00+08:00,1.0,5,84.25,1579378,HL
380,88.0,high,2001-08-01 08:00:00+08:00,0.5,3,87.5,2214672,HH
384,88.0,high,2001-08-07 08:00:00+08:00,0.5,3,87.5,2419094,-H
395,91.75,high,2001-08-22 08:00:00+08:00,1.0,5,91.25,2306226,HH
410,75.0,low,2001-09-12 08:00:00+08:00,1.0,5,79.75,3535594,LL
417,72.0,low,2001-09-21 08:00:00+08:00,1.0,5,73.5,4049800,LL
427,86.5,high,2001-10-11 08:00:00+08:00,1.0,5,84.5,3097868,LH
445,78.25,low,2001-11-07 08:00:00+08:00,0.5,3,78.75,1601542,HL
465,88.0,high,2001-12-06 08:00:00+08:00,1.0,5,85.5,2587542,HH
469,87.75,high,2001-12-12 08:00:00+08:00,0.5,3,86.75,2225757,-H
472,83.5,low,2001-12-17 08:00:00+08:00,0.5,3,86.5,1267468,HL
475,87.75,high,2001-12-20 08:00:00+08:00,1.0,5,87.5,2064950,-H
477,83.5,low,2001-12-24 08:00:00+08:00,0.5,3,84.5,468240,-L
485,88.5,high,2002-01-09 08:00:00+08:00,1.0,5,86.5,2638355,HH
486,85.25,low,2002-01-10 08:00:00+08:00,0.5,3,86.0,2570650,HL
493,88.0,high,2002-01-21 08:00:00+08:00,0.5,3,86.5,1464166,LH
499,87.75,high,2002-01-29 08:00:00+08:00,1.0,5,87.0,1835371,-H
505,83.0,low,2002-02-07 08:00:00+08:00,1.0,5,83.5,2673369,LL
508,90.0,high,2002-02-15 08:00:00+08:00,1.0,5,89.0,2380509,HH
528,91.75,high,2002-03-15 08:00:00+08:00,1.0,5,91.5,1762322,HH
537,88.25,high,2002-03-28 08:00:00+08:00,0.5,3,87.25,2311498,LH
563,91.25,low,2002-05-09 08:00:00+08:00,0.5,3,92.25,2295008,HL
580,85.75,low,2002-06-04 08:00:00+08:00,1.0,5,86.25,2531855,LL
582,88.25,high,2002-06-06 08:00:00+08:00,0.5,3,87.75,1528163,-H
591,85.5,high,2002-06-19 08:00:00+08:00,0.5,3,84.25,2620956,LH
596,81.5,low,2002-06-26 08:00:00+08:00,1.0,5,82.0,4966450,LL
603,87.0,high,2002-07-08 08:00:00+08:00,1.0,5,85.0,1346633,HH
610,82.0,low,2002-07-17 08:00:00+08:00,1.0,5,83.0,2379226,HL
614,85.25,high,2002-07-23 08:00:00+08:00,0.5,3,84.75,1564900,LH
617,81.5,low,2002-07-26 08:00:00+08:00,1.0,5,82.0,2797670,LL
623,83.0,low,2002-08-05 08:00:00+08:00,0.5,3,84.0,2146034,HL
634,89.5,high,2002-08-20 08:00:00+08:00,1.0,5,88.75,1409065,HH
644,82.25,low,2002-09-04 08:00:00+08:00,1.0,5,83.5,2051027,LL
653,85.75,high,2002-09-17 08:00:00+08:00,1.0,5,85.5,2499875,LH
662,80.75,low,2002-09-30 08:00:00+08:00,0.5,3,82.0,2125217,LL
666,80.75,low,2002-10-07 08:00:00+08:00,0.5,3,81.75,2326064,-L
674,86.75,high,2002-10-18 08:00:00+08:00,1.0,5,84.5,2824783,HH
684,83.75,low,2002-11-01 08:00:00+08:00,1.0,5,83.75,1479883,HL
687,87.5,high,2002-11-06 08:00:00+08:00,1.0,5,86.75,1627976,HH
691,84.0,low,2002-11-12 08:00:00+08:00,1.0,5,85.5,1052951,-L
703,87.0,high,2002-11-28 08:00:00+08:00,0.5,3,86.0,1422983,LH
704,84.25,low,2002-11-29 08:00:00+08:00,1.0,5,84.75,2103342,-L
731,86.25,high,2003-01-13 08:00:00+08:00,1.0,5,86.0,1735170,LH
745,84.0,high,2003-02-04 08:00:00+08:00,0.5,3,83.25,1132786,LH
749,84.0,high,2003-02-10 08:00:00+08:00,0.5,3,84.0,1099503,-H
764,86.0,high,2003-03-03 08:00:00+08:00,1.0,5,86.0,2158726,HH
770,83.25,low,2003-03-11 08:00:00+08:00,0.5,3,84.0,1182483,LL
773,85.25,high,2003-03-14 08:00:00+08:00,1.0,5,85.0,2594435,LH
789,80.75,high,2003-04-07 08:00:00+08:00,1.0,5,80.5,2956021,LH
794,75.25,low,2003-04-14 08:00:00+08:00,1.0,5,75.75,7562341,LL
801,75.0,low,2003-04-25 08:00:00+08:00,1.0,5,75.5,3823611,-L
814,81.25,high,2003-05-16 08:00:00+08:00,0.5,3,80.5,1330683,HH
849,84.75,high,2003-07-08 08:00:00+08:00,1.0,5,83.75,2626387,HH
852,83.25,low,2003-07-11 08:00:00+08:00,0.5,3,83.25,995355,HL
857,82.5,low,2003-07-18 08:00:00+08:00,1.0,5,83.75,2606145,LL
858,84.25,high,2003-07-21 08:00:00+08:00,0.5,3,83.75,1602809,LH
868,83.5,low,2003-08-04 08:00:00+08:00,1.0,5,83.5,2920299,HL
881,88.75,high,2003-08-21 08:00:00+08:00,1.0,5,88.5,4104899,HH
884,85.0,low,2003-08-26 08:00:00+08:00,1.0,5,85.75,2181854,HL
905,97.0,high,2003-09-25 08:00:00+08:00,0.5,3,94.0,7069640,HH
911,98.75,high,2003-10-06 08:00:00+08:00,1.0,5,98.0,3139539,HH
922,100.5,high,2003-10-21 08:00:00+08:00,1.0,5,99.25,3849539,HH
925,94.5,low,2003-10-24 08:00:00+08:00,1.0,5,95.5,3546197,HL
928,99.75,high,2003-10-29 08:00:00+08:00,0.5,3,98.25,3369275,LH
934,97.0,low,2003-11-06 08:00:00+08:00,0.5,3,99.5,5010162,HL
940,100.0,high,2003-11-14 08:00:00+08:00,1.0,5,99.5,2042375,-H
945,96.25,low,2003-11-21 08:00:00+08:00,1.0,5,97.5,1836058,LL
956,99.75,low,2003-12-08 08:00:00+08:00,0.5,3,100.0,2164399,HL
960,104.0,high,2003-12-12 08:00:00+08:00,1.0,5,102.5,1544173,HH
969,99.25,low,2003-12-29 08:00:00+08:00,0.5,3,99.5,863386,LL
975,104.0,high,2004-01-07 08:00:00+08:00,0.5,3,103.5,2512107,-H
978,101.5,low,2004-01-12 08:00:00+08:00,0.5,3,103.0,1912815,HL
979,104.0,high,2004-01-13 08:00:00+08:00,0.5,3,103.5,2408878,-H
982,101.5,low,2004-01-16 08:00:00+08:00,0.5,3,102.0,2024414,-L
987,108.0,high,2004-01-27 08:00:00+08:00,1.0,5,106.5,3359903,HH
992,102.0,low,2004-02-03 08:00:00+08:00,1.0,5,103.5,3034991,-L
1001,110.0,high,2004-02-16 08:00:00+08:00,0.5,3,109.0,1881994,HH
1002,107.5,low,2004-02-17 08:00:00+08:00,0.5,3,109.0,1785465,HL
1016,104.5,high,2004-03-08 08:00:00+08:00,0.5,3,102.5,4229983,LH
1029,97.0,low,2004-03-25 08:00:00+08:00,1.0,5,97.25,2347540,LL
1039,102.0,high,2004-04-13 08:00:00+08:00,1.0,5,101.0,2404728,LH
1045,97.25,low,2004-04-21 08:00:00+08:00,0.5,3,98.0,2236285,-L
1051,96.75,low,2004-04-29 08:00:00+08:00,1.0,5,97.5,1505735,LL
1075,97.75,low,2004-06-03 08:00:00+08:00,0.5,3,99.0,1879307,HL
1082,102.0,high,2004-06-14 08:00:00+08:00,1.0,5,99.25,2465077,-H
1086,97.75,low,2004-06-18 08:00:00+08:00,1.0,5,98.75,2417260,-L
1094,98.75,low,2004-07-02 08:00:00+08:00,0.5,3,100.0,1644668,HL
1096,101.0,high,2004-07-06 08:00:00+08:00,1.0,5,99.5,1078881,LH
1113,98.5,low,2004-07-29 08:00:00+08:00,1.0,5,99.0,1642995,-L
1123,102.5,high,2004-08-12 08:00:00+08:00,0.5,3,102.0,1976388,HH
1128,103.0,high,2004-08-19 08:00:00+08:00,0.5,3,102.5,1418162,-H
1144,103.0,low,2004-09-10 08:00:00+08:00,1.0,5,104.0,1412601,HL
1172,102.0,low,2004-10-25 08:00:00+08:00,1.0,5,103.0,3854400,LL
1187,108.5,high,2004-11-15 08:00:00+08:00,1.0,5,108.0,3823937,HH
1192,106.5,low,2004-11-22 08:00:00+08:00,1.0,5,107.5,2254765,HL
1199,107.5,low,2004-12-01 08:00:00+08:00,1.0,5,109.0,3165091,HL
1243,104.0,low,2005-02-02 08:00:00+08:00,1.0,5,105.0,1965334,LL
1288,105.0,high,2005-04-14 08:00:00+08:00,1.0,5,104.5,1188862,LH
1290,102.0,low,2005-04-18 08:00:00+08:00,1.0,5,102.0,4385271,LL
1316,103.5,low,2005-05-26 08:00:00+08:00,1.0,5,103.5,1367343,HL
1363,108.4000015258789,high,2005-08-02 08:00:00+08:00,1.0,5,107.9000015258789,3101423,HH
1364,106.5999984741211,low,2005-08-03 08:00:00+08:00,1.0,5,107.4000015258789,2522286,HL
1372,107.0,low,2005-08-15 08:00:00+08:00,0.5,3,107.5999984741211,839113,-L
1373,107.9000015258789,high,2005-08-16 08:00:00+08:00,1.0,5,107.3000030517578,1191094,-H
1382,103.0999984741211,low,2005-08-29 08:00:00+08:00,1.0,5,104.9000015258789,1977242,LL
1388,105.9000015258789,high,2005-09-06 08:00:00+08:00,1.0,5,105.3000030517578,1256912,LH
1397,105.0,high,2005-09-20 08:00:00+08:00,0.5,3,104.4000015258789,1387442,LH
1419,99.9000015258789,low,2005-10-21 08:00:00+08:00,0.5,3,100.5,3023924,LL
1424,99.8000030517578,low,2005-10-28 08:00:00+08:00,1.0,5,99.9499969482422,1739857,-L
1430,100.8000030517578,low,2005-11-07 08:00:00+08:00,0.5,3,101.1999969482422,1817685,HL
1434,103.9000015258789,high,2005-11-11 08:00:00+08:00,1.0,5,102.9000015258789,1135281,LH
1437,101.8000030517578,low,2005-11-16 08:00:00+08:00,0.5,3,102.5,792881,HL
1448,102.0999984741211,low,2005-12-01 08:00:00+08:00,1.0,5,102.6999969482422,1815379,-L
1454,102.0999984741211,low,2005-12-09 08:00:00+08:00,1.0,5,102.4000015258789,913595,-L
1466,102.6999969482422,high,2005-12-29 08:00:00+08:00,0.5,3,102.0999984741211,1890479,LH
1468,101.0999984741211,low,2006-01-03 08:00:00+08:00,1.0,5,101.3000030517578,1611015,LL
1475,104.1999969482422,high,2006-01-12 08:00:00+08:00,1.0,5,103.8000030517578,2210827,HH
1478,101.8000030517578,low,2006-01-17 08:00:00+08:00,1.0,5,103.0999984741211,2853998,HL
1481,104.0,high,2006-01-20 08:00:00+08:00,0.5,3,103.5,1340763,-H
1482,102.1999969482422,low,2006-01-23 08:00:00+08:00,0.5,3,103.0,1641929,-L
1490,101.8000030517578,low,2006-02-06 08:00:00+08:00,0.5,3,102.8000030517578,1139709,-L
1495,101.6999969482422,low,2006-02-13 08:00:00+08:00,1.0,5,101.6999969482422,2739254,-L
1505,104.4000015258789,high,2006-02-27 08:00:00+08:00,1.0,5,103.6999969482422,3494624,-H
1518,102.6999969482422,high,2006-03-16 08:00:00+08:00,1.0,5,102.5999984741211,1482555,LH
1531,101.0,high,2006-04-04 08:00:00+08:00,1.0,5,100.5,1201199,-H
1537,99.9000015258789,low,2006-04-13 08:00:00+08:00,1.0,5,100.3000030517578,2538261,LL
1538,100.9000015258789,high,2006-04-18 08:00:00+08:00,1.0,5,100.6999969482422,2145144,-H
1546,99.9000015258789,low,2006-04-28 08:00:00+08:00,1.0,5,100.3000030517578,2136832,-L
1550,101.5999984741211,high,2006-05-08 08:00:00+08:00,1.0,5,101.5,3509705,HH
1563,96.5999984741211,low,2006-05-25 08:00:00+08:00,0.5,3,97.3000030517578,2231989,LL
1567,96.1500015258789,low,2006-06-01 08:00:00+08:00,0.5,3,96.5999984741211,2089063,-L
1567,98.9000015258789,high,2006-06-01 08:00:00+08:00,1.0,5,96.5999984741211,2089063,LH
1576,94.0,low,2006-06-14 08:00:00+08:00,1.0,5,94.1999969482422,2645089,LL
1581,95.4499969482422,low,2006-06-21 08:00:00+08:00,0.5,3,96.0500030517578,1100733,HL
1586,96.25,low,2006-06-28 08:00:00+08:00,0.5,3,97.0999984741211,873100,HL
1587,99.1500015258789,high,2006-06-29 08:00:00+08:00,0.5,3,97.4000015258789,1091150,-H
1599,97.0,low,2006-07-17 08:00:00+08:00,1.0,5,97.9000015258789,705891,HL
1605,99.4000015258789,high,2006-07-25 08:00:00+08:00,0.5,3,99.0500030517578,2456625,-H
1611,99.8499984741211,high,2006-08-02 08:00:00+08:00,0.5,3,99.1999969482422,1868660,-H
1614,98.5500030517578,low,2006-08-07 08:00:00+08:00,1.0,5,99.1999969482422,1251653,HL
1616,100.0,high,2006-08-09 08:00:00+08:00,0.5,3,99.8499984741211,2041543,-H
1621,100.0999984741211,high,2006-08-16 08:00:00+08:00,1.0,5,99.75,1957026,-H
1627,97.5,low,2006-08-24 08:00:00+08:00,1.0,5,97.6500015258789,1328512,LL
1656,99.4000015258789,high,2006-10-05 08:00:00+08:00,1.0,5,98.8000030517578,4069856,LH
1658,97.8000030517578,low,2006-10-09 08:00:00+08:00,0.5,3,98.75,1221682,-L
1662,100.3000030517578,high,2006-10-13 08:00:00+08:00,1.0,5,99.5500030517578,6934373,HH
1666,98.3499984741211,low,2006-10-19 08:00:00+08:00,1.0,5,98.8000030517578,2259638,HL
1669,99.5,high,2006-10-24 08:00:00+08:00,1.0,5,99.1500015258789,690733,LH
1673,98.6999969482422,low,2006-10-31 08:00:00+08:00,1.0,5,99.0,914166,-L
1687,102.6999969482422,low,2006-11-20 08:00:00+08:00,0.5,3,103.4000015258789,2534817,HL
1689,103.9000015258789,high,2006-11-22 08:00:00+08:00,0.5,3,103.8000030517578,1790702,HH
1693,102.1999969482422,low,2006-11-28 08:00:00+08:00,1.0,5,103.0,5092627,-L
1699,104.9000015258789,high,2006-12-06 08:00:00+08:00,1.0,5,104.1999969482422,3330596,HH
1706,105.4000015258789,high,2006-12-15 08:00:00+08:00,0.5,3,105.0999984741211,2490478,-H
1707,104.0999984741211,low,2006-12-18 08:00:00+08:00,0.5,3,104.3000030517578,4881898,HL
1724,113.5999984741211,high,2007-01-15 08:00:00+08:00,1.0,5,111.5,12872651,HH
1729,113.1999969482422,high,2007-01-22 08:00:00+08:00,0.5,3,112.5,4282962,-H
1740,110.6999969482422,high,2007-02-06 08:00:00+08:00,1.0,5,110.3000030517578,2636236,LH
1745,106.4000015258789,low,2007-02-13 08:00:00+08:00,1.0,5,106.6999969482422,6213732,HL
1749,113.4000015258789,high,2007-02-21 08:00:00+08:00,1.0,5,112.9000015258789,3835334,HH
1757,105.5999984741211,low,2007-03-05 08:00:00+08:00,1.0,5,105.8000030517578,4917921,LL
1761,113.0,high,2007-03-09 08:00:00+08:00,1.0,5,110.5,9064878,-H
1767,106.5999984741211,low,2007-03-19 08:00:00+08:00,1.0,5,108.6999969482422,1560037,HL
1771,111.5,high,2007-03-23 08:00:00+08:00,0.5,3,110.0,2290551,LH
1780,113.6999969482422,high,2007-04-10 08:00:00+08:00,1.0,5,113.4000015258789,2801625,HH
1783,110.9000015258789,low,2007-04-13 08:00:00+08:00,0.5,3,112.4000015258789,2016083,HL
1787,110.5,low,2007-04-19 08:00:00+08:00,1.0,5,110.6999969482422,2166200,-L
1794,109.3000030517578,low,2007-04-30 08:00:00+08:00,1.0,5,110.3000030517578,1379287,LL
1802,109.0,low,2007-05-11 08:00:00+08:00,1.0,5,109.4000015258789,2232644,-L
1806,112.0999984741211,high,2007-05-17 08:00:00+08:00,0.5,3,112.0,1571559,LH
1824,104.0999984741211,low,2007-06-13 08:00:00+08:00,1.0,5,104.9000015258789,4723288,LL
1830,104.6999969482422,low,2007-06-22 08:00:00+08:00,1.0,5,106.0,1517243,HL
1841,109.0,high,2007-07-10 08:00:00+08:00,0.5,3,108.8000030517578,2837532,LH
1851,114.5999984741211,high,2007-07-24 08:00:00+08:00,0.5,3,113.6999969482422,3157525,HH
1854,109.9000015258789,low,2007-07-27 08:00:00+08:00,1.0,5,110.3000030517578,5029808,HL
1856,124.4000015258789,high,2007-07-31 08:00:00+08:00,1.0,5,124.0,23380724,HH
1860,116.0,low,2007-08-06 08:00:00+08:00,0.5,3,117.1999969482422,4226399,HL
1863,123.1999969482422,high,2007-08-09 08:00:00+08:00,1.0,5,121.6999969482422,4494614,LH
1869,106.1999969482422,low,2007-08-17 08:00:00+08:00,1.0,5,110.8000030517578,6954597,LL
1876,123.6999969482422,high,2007-08-28 08:00:00+08:00,1.0,5,120.0999984741211,2348140,-H
1877,116.4000015258789,low,2007-08-29 08:00:00+08:00,0.5,3,117.9000015258789,3195530,HL
1892,140.0,high,2007-09-19 08:00:00+08:00,1.0,5,136.89999389648438,6810119,HH
1896,132.60000610351562,low,2007-09-25 08:00:00+08:00,0.5,3,135.39999389648438,1837724,HL
1900,145.0,high,2007-10-03 08:00:00+08:00,1.0,5,143.10000610351562,4924102,HH
1908,155.89999389648438,high,2007-10-15 08:00:00+08:00,1.0,5,155.5,5052032,HH
1913,139.60000610351562,low,2007-10-23 08:00:00+08:00,1.0,5,146.1999969482422,3622917,HL
1918,158.6999969482422,high,2007-10-30 08:00:00+08:00,1.0,5,157.1999969482422,7738471,HH
1928,139.3000030517578,low,2007-11-13 08:00:00+08:00,0.5,3,141.1999969482422,4484097,-L
1929,149.39999389648438,high,2007-11-14 08:00:00+08:00,0.5,3,147.6999969482422,4453955,LH
1936,128.22999572753906,low,2007-11-23 08:00:00+08:00,1.0,5,134.6999969482422,2164071,LL
1940,151.1999969482422,high,2007-11-29 08:00:00+08:00,0.5,3,147.89999389648438,4041360,HH
1943,146.5,low,2007-12-04 08:00:00+08:00,0.5,3,149.39999389648438,1867489,HL
1945,170.0,high,2007-12-06 08:00:00+08:00,1.0,5,166.89999389648438,11032841,HH
1952,137.81300354003906,low,2007-12-17 08:00:00+08:00,1.0,5,146.10000610351562,3013129,LL
1958,164.0,high,2007-12-27 08:00:00+08:00,1.0,5,161.0,1891558,LH
1963,153.0,low,2008-01-04 08:00:00+08:00,1.0,5,158.6999969482422,2103273,HL
1969,167.3000030517578,high,2008-01-14 08:00:00+08:00,1.0,5,163.3000030517578,3851157,HH
1975,137.0,low,2008-01-22 08:00:00+08:00,1.0,5,138.0,6024010,LL
1977,157.39999389648438,high,2008-01-24 08:00:00+08:00,0.5,3,145.1999969482422,6497996,LH
1982,157.8000030517578,high,2008-01-31 08:00:00+08:00,1.0,5,153.6999969482422,3435631,-H
1991,133.1999969482422,low,2008-02-15 08:00:00+08:00,1.0,5,135.10000610351562,4325304,LL
1995,141.6999969482422,high,2008-02-21 08:00:00+08:00,0.5,3,139.89999389648438,2509366,LH
2007,135.0,low,2008-03-10 08:00:00+08:00,0.5,3,137.5,4154659,HL
2009,145.0,high,2008-03-12 08:00:00+08:00,1.0,5,143.6999969482422,3086628,HH
2021,137.1999969482422,low,2008-04-01 08:00:00+08:00,0.5,3,139.5,3462760,HL
2043,161.1999969482422,high,2008-05-05 08:00:00+08:00,1.0,5,159.1999969482422,1827755,HH
2050,161.5,high,2008-05-15 08:00:00+08:00,1.0,5,157.89999389648438,2004811,-H
2053,149.8000030517578,low,2008-05-20 08:00:00+08:00,1.0,5,152.0,2240218,HL
2056,158.0,high,2008-05-23 08:00:00+08:00,0.5,3,156.60000610351562,1653243,LH
2063,155.0,low,2008-06-03 08:00:00+08:00,0.5,3,162.1999969482422,4237699,HL
2066,166.1999969482422,high,2008-06-06 08:00:00+08:00,1.0,5,163.39999389648438,3170191,HH
2071,159.3000030517578,high,2008-06-16 08:00:00+08:00,0.5,3,157.1999969482422,1854117,LH
2073,141.98199462890625,low,2008-06-18 08:00:00+08:00,1.0,5,155.5,1468008,LL
2082,168.0,high,2008-07-02 08:00:00+08:00,1.0,5,161.60000610351562,3818836,HH
2092,140.0,low,2008-07-16 08:00:00+08:00,1.0,5,143.1999969482422,3261585,LL
2097,158.3000030517578,high,2008-07-23 08:00:00+08:00,0.5,3,154.0,3421062,LH
2099,150.10000610351562,low,2008-07-25 08:00:00+08:00,0.5,3,152.60000610351562,2228807,HL
2105,164.8000030517578,high,2008-08-12 08:00:00+08:00,1.0,5,159.39999389648438,2792000,HH
2110,145.0,low,2008-08-21 08:00:00+08:00,1.0,5,145.60000610351562,2901400,LL
2111,150.89999389648438,high,2008-08-25 08:00:00+08:00,0.5,3,149.60000610351562,2817369,LH
2115,155.8000030517578,high,2008-08-29 08:00:00+08:00,1.0,5,155.10000610351562,5716412,HH
2120,145.10000610351562,low,2008-09-05 08:00:00+08:00,1.0,5,149.89999389648438,3199198,-L
2123,159.3000030517578,high,2008-09-10 08:00:00+08:00,1.0,5,157.5,5176227,HH
2128,137.10000610351562,low,2008-09-18 08:00:00+08:00,1.0,5,145.5,11354405,LL
2129,157.0,high,2008-09-19 08:00:00+08:00,0.5,3,153.10000610351562,7527356,LH
2143,105.5,low,2008-10-13 08:00:00+08:00,0.5,3,119.0,7525007,LL
2144,126.0,high,2008-10-14 08:00:00+08:00,1.0,5,117.6999969482422,8852843,LH
2153,78.0,low,2008-10-27 08:00:00+08:00,1.0,5,79.1500015258789,6670745,LL
2163,109.5,high,2008-11-10 08:00:00+08:00,1.0,5,103.0,3581488,LH
2172,81.0999984741211,low,2008-11-21 08:00:00+08:00,1.0,5,89.0999984741211,3343694,HL
2178,104.0,high,2008-12-01 08:00:00+08:00,0.5,3,102.5999984741211,2334126,LH
2179,96.0,low,2008-12-02 08:00:00+08:00,0.5,3,100.3000030517578,3061992,HL
2186,111.0999984741211,high,2008-12-11 08:00:00+08:00,1.0,5,109.0,2525668,HH
2187,103.0,low,2008-12-12 08:00:00+08:00,0.5,3,104.6999969482422,2892922,HL
2190,109.8000030517578,high,2008-12-17 08:00:00+08:00,0.5,3,105.0,3620560,LH
2194,97.1500015258789,low,2008-12-23 08:00:00+08:00,1.0,5,98.5999984741211,1744087,LL
2200,106.0,high,2009-01-05 08:00:00+08:00,1.0,5,103.0999984741211,2713928,LH
2214,84.0999984741211,low,2009-01-23 08:00:00+08:00,1.0,5,85.19999694824219,2530087,LL
2217,95.0,high,2009-02-02 08:00:00+08:00,1.0,5,92.9499969482422,3671444,LH
2220,89.5,low,2009-02-05 08:00:00+08:00,0.5,3,89.5,3031351,HL
2222,94.8000030517578,high,2009-02-09 08:00:00+08:00,0.5,3,92.0,2442930,-H
2232,86.94999694824219,high,2009-02-23 08:00:00+08:00,0.5,3,85.5999984741211,4315806,LH
2233,75.69000244140625,low,2009-02-24 08:00:00+08:00,1.0,5,83.5999984741211,2936617,LL
2236,88.3499984741211,high,2009-02-27 08:00:00+08:00,1.0,5,87.0,3042959,HH
2242,67.0,low,2009-03-09 08:00:00+08:00,1.0,5,67.0,8865915,LL
2248,80.94999694824219,high,2009-03-17 08:00:00+08:00,0.5,3,78.75,5989645,LH
2253,84.3499984741211,high,2009-03-24 08:00:00+08:00,1.0,5,82.9000015258789,9358341,HH
2257,76.5,low,2009-03-30 08:00:00+08:00,1.0,5,78.0999984741211,3632898,HL
2262,85.05000305175781,high,2009-04-06 08:00:00+08:00,0.5,3,82.9000015258789,3406679,HH
2269,90.9000015258789,high,2009-04-17 08:00:00+08:00,1.0,5,88.25,2835297,HH
2271,85.1500015258789,low,2009-04-21 08:00:00+08:00,0.5,3,86.75,2653483,HL
2274,88.69999694824219,high,2009-04-24 08:00:00+08:00,0.5,3,87.55000305175781,1533608,LH
