volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.18,0.5,1,3,0.98,0.7166416251621448,79
0.18,0.5,1,3,0.97,0.7166416251621448,79
0.18,0.5,1,3,0.99,0.7166416251621448,79
0.18,0.55,1,3,0.97,0.7140164572141828,79
0.18,0.55,1,3,0.98,0.7140164572141828,79
0.18,0.55,1,3,0.99,0.7140164572141828,79
0.18,0.6,1,3,0.97,0.7112574436663563,79
0.18,0.6,1,3,0.98,0.7112574436663563,79
0.18,0.6,1,3,0.99,0.7112574436663563,79
0.16,0.5,1,3,0.99,0.7084859699378067,79
0.16,0.5,1,3,0.98,0.7084859699378067,79
0.16,0.5,1,3,0.97,0.7084859699378067,79
0.18,0.65,1,3,0.97,0.7083622660603256,79
0.18,0.65,1,3,0.98,0.7083622660603256,79
0.18,0.65,1,3,0.99,0.7083622660603256,79
0.16,0.55,1,3,0.97,0.7062058325092414,79
0.16,0.55,1,3,0.99,0.7062058325092414,79
0.16,0.55,1,3,0.98,0.7062058325092414,79
0.18,0.7,1,3,0.97,0.7053285382203808,79
0.18,0.7,1,3,0.98,0.7053285382203808,79
0.18,0.7,1,3,0.99,0.7053285382203808,79
0.16,0.6,1,3,0.98,0.7033963086009729,79
0.16,0.6,1,3,0.99,0.7033963086009729,79
0.16,0.6,1,3,0.97,0.7033963086009729,79
0.16,0.65,1,3,0.97,0.7004534213960593,79
0.16,0.65,1,3,0.98,0.7004534213960593,79
0.16,0.65,1,3,0.99,0.7004534213960593,79
0.16,0.7,1,3,0.98,0.6973748344711103,79
0.16,0.7,1,3,0.99,0.6973748344711103,79
0.16,0.7,1,3,0.97,0.6973748344711103,79
0.14,0.6,1,3,0.97,0.6955351735355888,79
0.14,0.6,1,3,0.98,0.6955351735355888,79
0.14,0.6,1,3,0.99,0.6955351735355888,79
0.18,0.5,2,3,0.98,0.6932914553397678,79
0.18,0.5,2,3,0.99,0.6932914553397678,79
0.18,0.5,2,3,0.97,0.6932914553397678,79
0.14,0.65,1,3,0.98,0.6925445767317925,79
0.14,0.65,1,3,0.99,0.6925445767317925,79
0.14,0.65,1,3,0.97,0.6925445767317925,79
0.14,0.55,1,3,0.97,0.6918245920397051,79
0.14,0.55,1,3,0.99,0.6918245920397051,79
0.14,0.55,1,3,0.98,0.6918245920397051,79
0.18,0.55,2,3,0.97,0.6906852864237724,79
0.18,0.55,2,3,0.99,0.6906852864237724,79
0.18,0.55,2,3,0.98,0.6906852864237724,79
0.14,0.7,1,3,0.97,0.6894211307218407,79
0.14,0.7,1,3,0.98,0.6894211307218407,79
0.14,0.7,1,3,0.99,0.6894211307218407,79
0.18,0.6,2,3,0.97,0.6879487886637887,79
0.18,0.6,2,3,0.98,0.6879487886637887,79
