iteration,timestamp,final_score,win_rate,total_trades,tp3_rate,cl1_rate,return_pct,max_drawdown,VOLATILITY_THRESHOLD,BULLISH_RATIO_THRESHOLD,STRONG_BULLISH_MIN,BULLISH_COUNT_MIN,WINDOW_22D_LOW,WINDOW_33D_LOW,MA_PERIOD,STOP_LOSS_BUFFER,BUY_TOLERANCE,TP1_THRESHOLD
1,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,0.97,,
2,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,0.98,,
3,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,0.99,,
4,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,1.0,,
5,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,1.002,
6,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,1.005,
7,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,1.008,
8,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,,0.99
9,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,,0.995
10,2026-04-27T01:03:49.847385,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.16,0.45,2,4,22,33,150,,,1.0
11,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,0.97,,
12,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,0.98,,
13,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,0.99,,
14,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,1.0,,
15,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,1.002,
16,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,1.005,
17,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,1.008,
18,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,,0.99
19,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,,0.995
20,2026-04-27T01:03:49.850388,0.9563333333333333,90.0,75,27.0,10.0,12.693333333333332,1.0,0.18,0.5,2,3,22,33,150,,,1.0
