sno,returns,sharpe_ratios,max_drawdowns,trades_counts,win_rates
P_0008.HK,32.86761160850525,0.5797052140391593,-11.860053326311427,13,76.92307692307693
P_0020.HK,1.8268042993545532,0.06406530590805545,-14.84377307897301,8,50.0
P_0136.HK,17.064803919792176,0.7193763739793669,-11.885503504224538,7,57.14285714285714
P_0151.HK,-11.553598842620849,-0.7038538257246836,-12.78508049929361,1,0.0
P_0241.HK,-21.14240439414978,-0.8073345062840583,-25.655136743037943,3,0.0
P_0257.HK,26.568401708602906,0.445424558547584,-14.514533916371342,5,100.0
P_0270.HK,-3.7140019035339353,-0.15416461789530803,-13.140666368395825,2,50.0
P_0288.HK,14.394393882751466,0.41335277308236995,-11.507662516393868,5,80.0
P_0386.HK,12.204004993438721,0.21650205892609473,-24.6368187197494,7,57.14285714285714
P_0486.HK,44.2380028629303,0.5887118801159944,-17.934361517054466,9,55.55555555555556
P_0631.HK,21.768393135070802,0.44319280712947784,-20.10377201964738,1,100.0
P_0656.HK,-21.68520381927489,-0.6503738268937532,-28.15973629213586,2,0.0
P_0670.HK,45.335207486152655,0.5935453657795645,-22.69435587966334,14,64.28571428571429
P_0728.HK,20.913601694107058,0.44954625549581106,-25.263246435589426,6,66.66666666666666
P_0753.HK,-8.882006855010987,-0.266212387315066,-18.819478825062617,3,33.33333333333333
P_0939.HK,45.97359956741333,0.6700449526248744,-14.398634937824362,8,75.0
P_0968.HK,14.185199222564698,0.35868497646371883,-13.403440470238149,6,83.33333333333334
P_0998.HK,75.84879804611207,1.1187032078383463,-12.753305673484805,14,92.85714285714286
P_1055.HK,39.91840539932251,0.53513391494971,-18.89925529385703,13,61.53846153846154
P_1060.HK,2.310798718929291,0.2085133407479562,-6.266903804687285,5,60.0
P_1070.HK,67.993601770401,0.7087166937118191,-13.433249430524585,11,72.72727272727273
P_1093.HK,60.258398075103756,0.8226907973774206,-13.272098683820255,4,75.0
P_1164.HK,64.14320467472076,1.0882971753635973,-12.375872822938138,18,77.77777777777779
P_1177.HK,70.20640053749084,0.7500834754259973,-25.97067303873547,10,70.0
P_1208.HK,27.168407468795774,0.39227144107890727,-22.283772469530394,17,58.82352941176471
P_1258.HK,183.3987883663178,1.1201713915201772,-16.73078269436382,14,78.57142857142857
P_1288.HK,27.48519980430603,0.5176786478253445,-14.275217181053456,9,66.66666666666666
P_1339.HK,57.15999524116516,0.8829079675922634,-12.934562303525421,8,87.5
P_1357.HK,-25.583195419311533,-0.9438718331413716,-30.37219765780328,3,0.0
P_1398.HK,38.8228007888794,0.6345532158551447,-15.460034089143049,13,92.3076923076923
P_1658.HK,-3.411198101043701,-0.10560484441474688,-19.467185728112156,4,50.0
P_1729.HK,180.22960141658783,1.82412284420734,-13.226913961008824,15,86.66666666666667
P_1735.HK,-14.20420419692993,-0.557478653493281,-22.155830157487532,3,33.33333333333333
P_1816.HK,14.825202112197877,0.5735954216434747,-9.63131550584061,15,60.0
P_1888.HK,23.952005348205567,0.6347364753779402,-8.89745128555357,1,100.0
P_1988.HK,-10.90959710121156,-0.3425764422841868,-17.38418439355979,11,36.36363636363637
P_2380.HK,0.35200209617614747,0.012469776493205223,-14.989416981529535,9,55.55555555555556
P_2600.HK,-17.319193897247313,-1.042494452839549,-18.577335361947654,3,33.33333333333333
P_2638.HK,22.007600784301758,0.9706947114355735,-7.45167244095446,5,100.0
P_2689.HK,108.72682098388673,0.9887791135431193,-25.30467249112499,10,80.0
P_2799.HK,0.8127988576889037,0.08520983459339111,-4.698033824504277,5,60.0
P_3800.HK,-3.2991997098922727,-0.17846664803554246,-10.671650541713273,5,40.0
P_3896.HK,64.49480046749116,0.7889453521885494,-14.44719346410891,10,70.0
P_3939.HK,15.184499711990357,0.4329514628677811,-14.891526699479007,8,62.5
P_3988.HK,4.3659949874877935,0.11136629205388729,-22.6693332592658,19,68.42105263157895
P_6088.HK,17.50639483451843,0.3837317481520707,-11.703496405032254,13,69.23076923076923
P_6186.HK,11.145206327438355,0.19451502857229344,-18.797493307442103,6,50.0
