date,sno,stype,price,close,type,classification,PATTERN,HHClose,HLLow,BOSS1,BOSS2
2025-09-17 08:00:00+08:00,9877.HK,M,9.600000381469728,9.380000114440918,high,HH,HHHLHH,10.449999809265137,8.050000190734863,False,True
2025-09-19 08:00:00+08:00,8603.HK,S,2.200000047683716,2.0999999046325684,high,HH,HHHLHH,2.0,1.8600000143051147,False,True
2025-09-22 08:00:00+08:00,8537.HK,S,0.209999993443489,0.1949999928474426,high,HH,HHHLHH,0.2199999988079071,0.1909999996423721,False,True
2025-09-24 08:00:00+08:00,8521.HK,S,1.6100000143051147,1.5800000429153442,high,HH,HHHLHH,1.6100000143051147,1.3300000429153442,False,True
2025-09-18 08:00:00+08:00,8513.HK,S,0.1309999972581863,0.1299999952316284,high,HH,HHHLHH,0.1299999952316284,0.125,False,True
2025-09-30 08:00:00+08:00,8483.HK,S,0.101000003516674,0.0979999974370002,high,HH,HHHLHH,0.1040000021457672,0.0930000022053718,False,True
2025-09-15 08:00:00+08:00,8473.HK,S,0.1599999964237213,0.1509999930858612,high,HH,HHHLHH,0.163000002503395,0.1400000005960464,False,True
2025-09-23 08:00:00+08:00,8391.HK,S,0.7200000286102295,0.699999988079071,high,HH,HHHLHH,0.7200000286102295,0.6700000166893005,False,True
2025-09-25 08:00:00+08:00,8311.HK,S,0.0379999987781047,0.0359999984502792,high,HH,HHHLHH,0.0399999991059303,0.032999999821186,False,True
2025-09-16 08:00:00+08:00,8299.HK,M,0.3400000035762787,0.324999988079071,high,HH,HHHLHH,0.5199999809265137,0.3000000119209289,False,True
2025-09-29 08:00:00+08:00,8257.HK,S,0.1019999980926513,0.0900000035762786,high,HH,HHHLHH,0.1159999966621398,0.0820000022649765,False,True
2025-09-18 08:00:00+08:00,8237.HK,S,0.395000010728836,0.3849999904632568,high,HH,HHHLHH,0.4300000071525574,0.3050000071525574,False,True
2025-09-30 08:00:00+08:00,8162.HK,S,0.5299999713897705,0.5099999904632568,high,HH,HHHLHH,0.6200000047683716,0.4900000095367431,False,True
2025-09-17 08:00:00+08:00,8147.HK,S,0.5099999904632568,0.4600000083446502,high,HH,HHHLHH,0.7699999809265137,0.4000000059604645,False,True
2025-09-17 08:00:00+08:00,8026.HK,S,0.4350000023841858,0.4350000023841858,high,HH,HHHLHH,0.4350000023841858,0.3700000047683716,False,True
2025-09-16 08:00:00+08:00,6922.HK,S,6.289999961853027,6.289999961853027,high,HH,HHHLHH,7.699999809265137,5.599999904632568,False,True
2025-09-29 08:00:00+08:00,6898.HK,S,0.8399999737739563,0.8399999737739563,high,HH,HHHLHH,0.8299999833106995,0.6899999976158142,False,True
2025-09-17 08:00:00+08:00,6638.HK,M,1.909999966621399,1.909999966621399,high,HH,HHHLHH,1.9700000286102293,1.8899999856948853,False,True
2025-09-15 08:00:00+08:00,6182.HK,S,0.5099999904632568,0.5099999904632568,high,HH,HHHLHH,0.5400000214576721,0.4199999868869781,False,True
2025-09-16 08:00:00+08:00,6133.HK,S,0.2460000067949295,0.2339999973773956,high,HH,HHHLHH,0.2599999904632568,0.2300000041723251,False,True
2025-09-17 08:00:00+08:00,3899.HK,M,8.09000015258789,8.09000015258789,high,HH,HHHLHH,8.09000015258789,7.610000133514404,False,True
2025-09-29 08:00:00+08:00,3899.HK,M,8.220000267028809,8.09000015258789,high,HH,HHHLHH,8.140000343322754,7.940000057220459,False,True
2025-09-22 08:00:00+08:00,3893.HK,S,0.8899999856948853,0.8899999856948853,high,HH,HHHLHH,0.8199999928474426,0.7200000286102295,False,True
2025-09-24 08:00:00+08:00,3788.HK,M,4.579999923706055,4.230000019073486,high,HH,HHHLHH,4.820000171661377,4.0,False,True
2025-09-22 08:00:00+08:00,3750.HK,L,523.5,511.0,high,HH,HHHLHH,610.5,491.3999938964844,False,True
2025-09-29 08:00:00+08:00,3336.HK,M,1.2000000476837158,1.1799999475479126,high,HH,HHHLHH,1.950000047683716,1.1699999570846558,False,True
2025-09-23 08:00:00+08:00,3330.HK,M,18.170000076293945,17.56999969482422,high,HH,HHHLHH,20.600000381469727,17.100000381469727,False,True
2025-09-16 08:00:00+08:00,2899.HK,L,30.280000686645508,29.3799991607666,high,HH,HHHLHH,32.599998474121094,27.84000015258789,False,True
2025-09-18 08:00:00+08:00,2878.HK,S,0.550000011920929,0.5199999809265137,high,HH,HHHLHH,0.6000000238418579,0.4850000143051147,False,True
2025-09-18 08:00:00+08:00,2533.HK,M,21.299999237060547,19.959999084472656,high,HH,HHHLHH,20.780000686645508,19.290000915527344,False,True
2025-09-19 08:00:00+08:00,2482.HK,S,1.0,0.9900000095367432,high,HH,HHHLHH,1.0800000429153442,0.7699999809265137,False,True
2025-09-26 08:00:00+08:00,2429.HK,M,3.25,3.0999999046325684,high,HH,HHHLHH,3.150000095367432,3.0299999713897705,False,True
2025-09-17 08:00:00+08:00,2427.HK,S,0.5400000214576721,0.5199999809265137,high,HH,HHHLHH,0.7699999809265137,0.5099999904632568,False,True
2025-09-19 08:00:00+08:00,2357.HK,M,4.179999828338623,4.110000133514404,high,HH,HHHLHH,4.400000095367432,3.930000066757202,False,True
2025-10-02 08:00:00+08:00,2356.HK,M,9.93000030517578,9.880000114440918,high,HH,HHHLHH,10.329999923706056,9.770000457763672,False,True
2025-09-24 08:00:00+08:00,2339.HK,S,0.8999999761581421,0.8500000238418579,high,HH,HHHLHH,0.9300000071525574,0.7799999713897705,False,True
2025-09-15 08:00:00+08:00,2327.HK,S,0.2949999868869781,0.2800000011920929,high,HH,HHHLHH,0.2899999916553497,0.270000010728836,False,True
2025-09-23 08:00:00+08:00,2302.HK,M,4.239999771118164,4.119999885559082,high,HH,HHHLHH,7.659999847412109,3.890000104904175,False,True
2025-09-30 08:00:00+08:00,2233.HK,M,3.369999885559082,3.289999961853028,high,HH,HHHLHH,3.5299999713897705,3.2100000381469727,False,True
2025-09-17 08:00:00+08:00,2223.HK,S,0.4000000059604645,0.3799999952316284,high,HH,HHHLHH,0.4000000059604645,0.324999988079071,False,True
2025-09-19 08:00:00+08:00,2208.HK,M,12.75,12.130000114440918,high,HH,HHHLHH,13.56999969482422,11.520000457763672,False,True
2025-09-18 08:00:00+08:00,2203.HK,S,0.248999997973442,0.2179999947547912,high,HH,HHHLHH,0.3149999976158142,0.1949999928474426,False,True
2025-09-17 08:00:00+08:00,2198.HK,M,2.289999961853028,2.2100000381469727,high,HH,HHHLHH,3.0199999809265137,2.0799999237060547,False,True
2025-09-23 08:00:00+08:00,2197.HK,M,2.450000047683716,2.299999952316284,high,HH,HHHLHH,2.890000104904175,2.059999942779541,False,True
2025-09-25 08:00:00+08:00,2112.HK,S,0.0640000030398368,0.0590000003576278,high,HH,HHHLHH,0.0659999996423721,0.0549999997019767,False,True
2025-09-26 08:00:00+08:00,2108.HK,S,0.324999988079071,0.2949999868869781,high,HH,HHHLHH,0.3849999904632568,0.2599999904632568,False,True
2025-09-25 08:00:00+08:00,2099.HK,L,140.0,136.5,high,HH,HHHLHH,143.5,131.0,False,True
2025-09-19 08:00:00+08:00,2051.HK,S,0.7599999904632568,0.699999988079071,high,HH,HHHLHH,0.8600000143051147,0.6299999952316284,False,True
2025-09-15 08:00:00+08:00,2001.HK,M,1.399999976158142,1.2400000095367432,high,HH,HHHLHH,1.3899999856948853,1.159999966621399,False,True
2025-09-17 08:00:00+08:00,1969.HK,M,4.739999771118164,4.570000171661377,high,HH,HHHLHH,4.449999809265137,4.28000020980835,False,True
2025-09-18 08:00:00+08:00,1912.HK,S,0.0839999988675117,0.0799999982118606,high,HH,HHHLHH,0.096000000834465,0.0780000016093254,False,True
2025-09-19 08:00:00+08:00,1906.HK,S,0.5,0.4799999892711639,high,HH,HHHLHH,0.5799999833106995,0.4550000131130218,False,True
