code,Stock Code,Name of Securities
00001,1,CKH HOLDINGS
00002,2,CLP HOLDINGS
00003,3,HK & CHINA GAS
00004,4,WHARF HOLDINGS
00005,5,HSBC HOLDINGS
00006,6,POWER ASSETS
00007,7,WISDOM WEALTH
00008,8,PCCW
00010,10,HANG LUNG GROUP
00012,12,HENDERSON LAND
00013,13,HUTCHMED
00014,14,HYSAN DEV
00016,16,SHK PPT
00017,17,NEW WORLD DEV
00018,18,ORIENTAL M G
00019,19,SWIRE PACIFIC A
00020,20,SENSETIME-W
00021,21,GREAT CHI HLDGS
00022,22,MEXAN
00023,23,BANK OF E ASIA
00025,25,CHEVALIER INT'L
00026,26,CHINA MOTOR BUS
00027,27,GALAXY ENT
00028,28,TIAN AN
00029,29,DYNAMIC HOLD
00030,30,YNBY INTL
00031,31,CHINA AEROSPACE
00032,32,CROSS-HAR(HOLD)
00033,33,INTL GENIUS
00034,34,KOWLOON DEV
00035,35,FE CONSORT INTL
00036,36,FE HLDGS INTL
00037,37,FE HOTELS
00038,38,FIRST TRACTOR
00039,39,CH BEIDAHUANG
00040,40,GOLD PEAK
00041,41,GREAT EAGLE H
00042,42,NE ELECTRIC
00045,45,HK&S HOTELS
00046,46,COMPUTER & TECH
00048,48,C AUTO INT DECO
00050,50,HK FERRY (HOLD)
00051,51,HARBOUR CENTRE
00052,52,FAIRWOOD HOLD
00053,53,GUOCO GROUP
00055,55,NEWAY GROUP
00057,57,CHEN HSONG HOLD
00058,58,SUNWAY INT'L
00059,59,SKYFAME REALTY
00060,60,HK FOOD INV
00061,61,GREEN LEADER
00062,62,TRANSPORT INT'L
00063,63,CHI ASIA VALLEY
00064,64,GET NICE
00065,65,GRAND OCEAN AR
00066,66,MTR CORPORATION
00068,68,MANYCORE TECH
00069,69,SHANGRI-LA ASIA
00070,70,RICH GOLDMAN
00071,71,MIRAMAR HOTEL
00072,72,META MEDIA
00073,73,ASIAN CITRUS
00075,75,Y.T. REALTY
00076,76,ELATE HOLDINGS
00077,77,AMS TRANSPORT
00078,78,REGAL INT'L
00079,79,CENTURY LEGEND
00080,80,CAI CORP
00081,81,CH OVS G OCEANS
00082,82,CRAZY SPORTS
00083,83,SINO LAND
00084,84,STELUX HOLDINGS
00085,85,CE HUADA TECH
00086,86,SUN HUNG KAI CO
00087,87,SWIRE PACIFIC B
00088,88,TAI CHEUNG HOLD
00089,89,TAI SANG LAND
00090,90,PUXING ENERGY
00092,92,CHAMPION TECH
00093,93,ZERO FINTECH
00094,94,GREENHEART GP
00095,95,LVGEM CHINA
00096,96,YUSEI
00097,97,HENDERSON INV
00098,98,XINGFA ALUM
00099,99,WONG'S INT'L
00100,100,MINIMAX-W
00101,101,HANG LUNG PPT
00103,103,SHOUGANG CENT
00104,104,ASIA COMM HOLD
00105,105,ASSO INT HOTELS
00106,106,LANDSEA MGMT
00107,107,SICHUAN EXPRESS
00108,108,GR LIFE STYLE
00110,110,CHINA FORTUNE
00111,111,CINDA INTL HLDG
00113,113,DICKSON CONCEPT
00114,114,HERALD HOLD
00115,115,GRAND FIELD GP
00116,116,CHOW SANG SANG
00117,117,TIANLI HOLDINGS
00118,118,COSMOS MACH
00119,119,POLY PROPERTY
00120,120,COSMOPOL INT'L
00122,122,CROCODILE
00123,123,YUEXIU PROPERTY
00124,124,GD LAND
00125,125,SUN HING VISION
00126,126,CARRIANNA
00127,127,CHINESE EST H
00128,128,ENM HOLDINGS
00129,129,ASIA STANDARD
00130,130,MOISELLE INT'L
00131,131,CHEUK NANG HOLD
00132,132,HING YIP HLDGS
00133,133,CHINA MERCHANTS
00135,135,KUNLUN ENERGY
00136,136,CHINA RUYI
00137,137,JINHUI HOLDINGS
00138,138,CCT FORTIS
00139,139,SMART FISH
00142,142,FIRST PACIFIC
00144,144,CHINA MER PORT
00145,145,CCIAM FUTURE EN
00146,146,TAI PING CARPET
00147,147,IB SETTLEMENT
00148,148,KINGBOARD HLDG
00149,149,CH AGRI-PROD EX
00150,150,HYPEBEAST
00151,151,WANT WANT CHINA
00152,152,SHENZHEN INT'L
00154,154,BE ENVIRONMENT
00156,156,LIPPO CHINA RES
00157,157,NATURAL BEAUTY
00158,158,MELBOURNE ENT
00159,159,BROCKMAN MINING
00160,160,HON KWOK LAND
00162,162,CENTURY GINWA
00163,163,EMPEROR INT'L
00164,164,CHINA BAOLI TEC
00165,165,CHINA EB LTD
00166,166,NEW TIMES CORP
00167,167,IDT INT'L
00168,168,TSINGTAO BREW
00169,169,WANDA HOTEL DEV
00171,171,SILVER GRANT
00173,173,K. WAH INT'L
00174,174,GEMINI INV
00175,175,GEELY AUTO
00176,176,SUPERACTIVE GP
00177,177,JIANGSU EXPRESS
00178,178,SA SA INT'L
00179,179,JOHNSON ELEC H
00180,180,KADER HOLDINGS
00181,181,FUJIAN HOLDINGS
00182,182,CONCORD NE
00183,183,WINFULL GP
00184,184,KECK SENG INV
00185,185,ZENSUN ENT
00186,186,NIMBLE HOLDINGS
00187,187,JINGCHENG MAC
00188,188,SUNWAH KINGSWAY
00189,189,DONGYUE GROUP
00191,191,LAI SUN INT'L
00193,193,CAPITAL ESTATE
00194,194,LIU CHONG HING
00195,195,GREENTECH INTL
00196,196,HONGHUA GROUP
00197,197,HENG TAI
00199,199,ITC PROPERTIES
00200,200,MELCO INT'L DEV
00201,201,MAGNIFICENT
00202,202,EVERCHINA INT'L
00204,204,CAPITAL REALM
00205,205,BFB HEALTH
00206,206,CM-ENERGY
00209,209,POLY XVERSE IT
00210,210,DAPHNE INT'L
00211,211,STYLAND HOLD
00212,212,NANYANG HOLD
00213,213,NATIONAL ELEC H
00214,214,ASIA ORIENT
00215,215,HUTCHTEL HK
00216,216,CHINNEY INV
00217,217,CHINA CHENGTONG
00218,218,SWHYHK
00219,219,SHUNHO PROPERTY
00220,220,U-PRESID CHINA
00222,222,MIN XIN HOLD
00223,223,ELIFE HLDGS
00224,224,PIONEER GLOBAL
00225,225,POKFULAM
00227,227,FIRST SHANGHAI
00228,228,CHINA ENERGY
00229,229,RAYMOND IND
00232,232,CON AERO TECH
00234,234,NEW CENTURY GP
00235,235,CSC HOLDINGS
00236,236,SAN MIGUEL HK
00237,237,SAFETY GODOWN
00239,239,PAK FAH YEOW
00240,240,BUILD KING HOLD
00241,241,ALI HEALTH
00242,242,SHUN TAK HOLD
00243,243,QPL INT'L
00244,244,SINCERE
00245,245,CHINA VERED FIN
00247,247,TST PROPERTIES
00248,248,HKC INT'L HOLD
00251,251,SEA HOLDINGS
00252,252,SE ASIA PPT
00253,253,SHUNHO HOLDINGS
00254,254,NUR HOLDINGS
00255,255,LUNG KEE
00256,256,CITYCHAMP
00257,257,EB ENVIRONMENT
00258,258,TOMSON GROUP
00259,259,YEEBO (INT'L H)
00261,261,GBA HOLDINGS
00262,262,DESON DEV INT'L
00264,264,CN INT DEV CORP
00265,265,GANGYU SERVICES
00266,266,TIAN TECK LAND
00267,267,CITIC
00268,268,KINGDEE INT'L
00269,269,CRTG
00270,270,GUANGDONG INV
00271,271,ASIASEC PPT
00272,272,SHUI ON LAND
00274,274,RA SILK ROAD
00276,276,MONGOLIA ENERGY
00277,277,TERN PROPERTIES
00279,279,ARTA TECHFIN
00280,280,KING FOOK HOLD
00285,285,BYD ELECTRONIC
00286,286,AIDIGONG
00287,287,WINFAIR INV
00288,288,WH GROUP
00289,289,WING ON CO
00290,290,GOFINTECH QUANT
00291,291,CHINA RES BEER
00293,293,CATHAY PAC AIR
00294,294,YANGTZEKIANG
00295,295,KONG SUN HOLD
00296,296,EMPEROR E HOTEL
00297,297,SINOFERT
00298,298,CHUANG'S CHINA
00299,299,GLORY SUN LAND
00300,300,MIDEA GROUP
00301,301,SANVO CHEMICALS
00302,302,CMGE
00303,303,VTECH HOLDINGS
00305,305,WULING MOTORS
00306,306,KWOON CHUNG BUS
00308,308,CHINA TRAVEL HK
00309,309,XH NEWS MEDIA
00310,310,PROSP INV HOLD
00311,311,LUEN THAI
00312,312,SHIRBLE STORE
00313,313,RICHLY FIELD
00314,314,SIPAI HEALTH
00315,315,SMARTONE TELE
00316,316,OOIL
00317,317,COMEC
00318,318,VONGROUP
00320,320,CTGL
00321,321,TEXWINCA HOLD
00322,322,TINGYI
00323,323,MAANSHAN IRON
00325,325,BLOKS
00326,326,CN STAR ENT-2K
00327,327,PAX GLOBAL
00328,328,ALCO HOLDINGS
00329,329,OCI INTL
00330,330,ESPRIT HOLDINGS
00331,331,FSE LIFESTYLE
00332,332,YUANHENG GAS
00333,333,TOP FORM INT'L
00334,334,CH DISPLAY OPT
00335,335,UPBEST GROUP
00336,336,HUABAO INTL
00337,337,GREENLAND HK
00338,338,SHANGHAI PECHEM
00339,339,WEBX HOLDING
00340,340,TONGGUAN GOLD
00341,341,CAFE DE CORAL H
00343,343,CULTURECOM HOLD
00345,345,VITASOY INT'L
00346,346,YANCHANG PETRO
00347,347,ANGANG STEEL
00348,348,CHINAHEALTHWISE
00351,351,ASIA ENERGY LOG
00352,352,FORTUNE SUN
00353,353,ENERGY INTINV
00354,354,CHINASOFT INT'L
00355,355,CENTURY C INT'L
00356,356,DT CAPITAL
00357,357,MEILAN AIRPORT
00358,358,JIANGXI COPPER
00360,360,NEW FOCUS AUTO
00361,361,HANFORT DEV H
00362,362,C ZENITH CHEM
00363,363,SHANGHAI IND H
00365,365,SINO ICT
00366,366,LUKS GROUP (VN)
00367,367,CHUANG'S INT'L
00368,368,SUPERLAND GROUP
00369,369,WING TAI PPT
00370,370,HK ROBOTICS
00371,371,BJ ENT WATER
00372,372,PT INTL DEV
00373,373,ALLIED GROUP
00374,374,FOUR SEAS MER
00375,375,YGM TRADING
00376,376,YUNFENG FIN
00377,377,CHINA HUAJUN GP
00379,379,EG LEASING
00380,380,CHINA PIPE
00381,381,AOM INT'L
00382,382,EDVANTAGE GROUP
00383,383,TIANAN MEDICARE
00384,384,CHINA GAS HOLD
00385,385,CHINNEY ALLI
00386,386,SINOPEC CORP
00387,387,LEEPORT(HOLD)
00388,388,HKEX
00389,389,TONTINE WINES
00390,390,CHINA RAILWAY
00391,391,MEI AH ENTER
00392,392,BEIJING ENT
00393,393,GLORIOUS SUN
00396,396,HING LEE (HK)
00397,397,MINERVA GROUP
00398,398,ORIENTAL WATCH
00399,399,STARCOIN GROUP
00400,400,INGDAN
00401,401,WANJIA GROUP
00403,403,STARLITE HOLD
00406,406,YAU LEE HOLD
00408,408,YIP'S CHEMICAL
