Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2
2020-10-28,9999.HK,136.89999389648438,138.6999969482422,135.8000030517578,138.39999389648438,136.75587463378906,5346264,0.0,0.0,LH,LHLLHH,130.1999969482422,2020-11-03,146.1999969482422,2020-11-05,146.60000610351562,132.3000030517578,SB1-2020/10/28,False,False,False,False,False,True,1.0,2.0,1.0,0.0,1.0,138.4,146.60000610351562,154.80001220703124,,,,,,,
2020-11-10,9999.HK,137.10000610351562,139.10000610351562,136.89999389648438,138.0,136.36065673828125,7211341,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2020/10/28,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2020-11-23,9999.HK,147.1999969482422,149.0,144.39999389648438,148.5,146.73590087890625,8575516,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2020/10/28,False,True,False,False,False,False,0.0,,,,,,,,,,,,,,
2021-01-06,9999.HK,154.89999389648438,158.8000030517578,154.39999389648438,157.39999389648438,155.5741424560547,7019025,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP2-2020/10/28,False,False,True,False,False,False,0.0,,,,,,,,,,,,,,
2022-04-14,9999.HK,150.3000030517578,152.6999969482422,148.60000610351562,150.5,148.9922637939453,4915585,0.0,0.0,LH,LHLLHH,130.0,2022-04-25,154.0,2022-04-29,156.60000610351562,133.0,SB1-2022/04/14,False,False,False,False,False,True,1.0,4.0,2.0,1.0,1.0,143.3,156.60000610351562,169.90001220703124,,,,,,,
2022-05-06,9999.HK,144.1999969482422,144.39999389648438,140.0,141.3000030517578,139.8844451904297,4624480,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2022/04/14,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2022-05-20,9999.HK,153.0,157.1999969482422,151.5,156.0,154.43716430664062,7025538,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2022/04/14,False,True,False,False,False,False,0.0,,,,,,,,,,,,,,
2022-05-31,9999.HK,166.0,170.1999969482422,164.3000030517578,170.1999969482422,168.49493408203125,19603764,0.0,0.0,HH,HHHLHH,157.0,2022-06-02,172.5,2022-06-10,173.0,136.3000030517578,TP2-2022/04/14,False,False,True,False,False,False,0.0,,,,,,,,,,,,,,
2022-07-14,9999.HK,140.39999389648438,142.3000030517578,138.5,140.60000610351562,139.24578857421875,4625412,0.0,0.0,LH,LHLLHH,132.89999389648438,2022-07-18,151.10000610351562,2022-07-22,157.10000610351562,134.60000610351562,SB1-2022/07/14,False,False,False,False,False,True,0.75,3.0,1.0,2.0,0.0,145.0,157.10000610351562,169.20001220703125,,,,,,,
2022-07-29,9999.HK,149.60000610351562,150.3000030517578,143.39999389648438,144.6999969482422,143.30630493164062,6910912,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2022/07/14,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2022-08-19,9999.HK,135.0,138.60000610351562,132.6999969482422,133.0,131.718994140625,10485143,0.0,0.0,LL,LLLHHL,145.8000030517578,2022-08-26,139.39999389648438,2022-08-30,135.3000030517578,132.6999969482422,CL1-2022/07/14,False,False,False,True,False,False,0.0,,,,,,,,,,,,,,
2023-09-15,9999.HK,158.5,161.8000030517578,157.5,161.0,159.93260192871094,7371774,0.0,0.0,LH,LHLLHH,151.0,2023-09-21,161.89999389648438,2023-09-22,162.89999389648438,154.0,SB1-2023/09/15,False,False,False,False,False,True,1.0,1.0,1.0,0.0,0.0,156.95,162.89999389648438,168.84998779296876,,,,,,,
2023-09-25,9999.HK,158.0,160.0,156.89999389648438,158.0,156.9525146484375,3694359,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2023/09/15,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2023-09-28,9999.HK,154.89999389648438,155.10000610351562,149.0,151.1999969482422,150.1975860595703,4555737,0.0,0.0,LL,LLLHHH,160.5,2023-09-29,171.0,2023-10-12,172.39999389648438,149.0,CL1-2023/09/15,False,False,False,True,False,False,0.0,,,,,,,,,,,,,,
2024-09-12,9999.HK,121.0999984741211,123.0,120.8000030517578,121.0999984741211,120.6875,3490043,0.0,0.0,LH,LHLLHH,117.0999984741211,2024-09-16,124.0999984741211,2024-09-20,125.6999969482422,117.5,SB1-2024/09/12,False,False,False,False,False,True,1.0,3.0,1.0,0.0,2.0,121.4,125.6999969482422,129.9999938964844,,,,,,,
2024-11-07,9999.HK,122.8000030517578,127.3000030517578,122.5,126.5,126.06910705566406,5374515,0.0,0.0,LH,LHLLHH,116.0,2024-11-11,135.89999389648438,2024-11-18,137.5,119.4000015258789,SB1-2024/11/07,False,False,False,False,False,True,0.6,3.0,0.0,1.0,2.0,126.75,137.5,148.25,,,,,,,
2024-11-08,9999.HK,123.0999984741211,124.4000015258789,119.4000015258789,119.4000015258789,118.99330139160156,15368767,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2024/09/12,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2024-11-11,9999.HK,116.0,120.5,116.0,120.4000015258789,119.9898910522461,7309308,0.0,0.0,LL,LLHHHH,137.5,2024-11-18,136.39999389648438,2024-11-22,139.5,116.0,CL1-2024/09/12,False,False,False,True,False,False,0.0,,,,,,,,,,,,,,
2025-02-26,9999.HK,156.5,161.10000610351562,156.5,159.6999969482422,159.2576141357422,8307444,0.0,0.0,LH,LHLLHH,149.39999389648438,2025-03-04,161.60000610351562,2025-03-07,165.8000030517578,151.8000030517578,SB1-2025/02/26,False,False,False,False,False,True,0.67,2.0,1.0,1.0,0.0,157.6,165.8000030517578,174.00000610351563,,,,,,,
2025-03-11,9999.HK,161.3000030517578,164.10000610351562,156.3000030517578,163.8000030517578,163.60154724121094,6720457,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2025/02/26,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
2025-03-12,9999.HK,163.89999389648438,166.10000610351562,161.60000610351562,163.0,162.80252075195312,6306770,0.0,0.0,HH,HHHLLL,156.3000030517578,2025-03-17,151.89999389648438,2025-03-21,151.1999969482422,149.39999389648438,TP1-2025/02/26,False,True,False,False,False,False,0.0,,,,,,,,,,,,,,
2025-04-07,9999.HK,149.0,152.1999969482422,131.89999389648438,135.1999969482422,135.03619384765625,18416721,0.0,0.0,LL,LLLHHH,156.5,2025-04-14,160.6999969482422,2025-04-23,162.3000030517578,131.89999389648438,CL2-2025/02/26,False,False,False,False,True,False,0.0,,,,,,,,,,,,,,
2025-08-05,9999.HK,207.0,209.1999969482422,206.8000030517578,209.0,208.8894958496093,4703587,0.0,0.0,LH,LHLLHH,199.1000061035156,2025-08-12,215.3999938964844,2025-08-13,215.6000061035156,201.0,SB1-2025/08/05,False,False,False,False,False,True,1.0,1.0,1.0,0.0,0.0,207.35,215.6000061035156,223.8500122070312,,,,,,,
2025-08-15,9999.HK,202.3999938964844,210.8000030517578,198.6999969482422,200.1999969482422,200.0941467285156,9429342,0.0,0.0,LL,LLLLHH,198.0,2025-08-20,215.6000061035156,2025-08-26,220.3999938964844,198.6999969482422,CL1-2025/08/05,True,False,False,True,False,False,0.0,,,,,,,,,,,,,,
2021-09-28,9988.HK,145.39999389648438,153.0,144.5,150.89999389648438,149.9117431640625,42597994,0.0,0.0,LH,LHLLHH,132.0,2021-10-05,167.8000030517578,2021-10-11,170.5,136.39999389648438,SB1-2021/09/28,False,False,False,False,False,True,0.75,3.0,1.0,1.0,1.0,151.25,170.5,189.75,,,,,,,
2021-11-19,9988.HK,140.0,142.1999969482422,139.1999969482422,139.3000030517578,138.38772583007812,106644709,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2021/09/28,True,False,False,False,False,False,0.0,,,,,,,,,,,,,,
