index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-30,1258.HK,14.579999923706056,15.079999923706056,14.369999885559082,15.050000190734863,15.050000190734863,26383049,0.0,0.0,14.275907505376331,13.984513734932005,12.648936516723776,10.752927306012191,8.314614015170314,True,True,True,False,0.7100000381469744,0.8523528716143439,1.2785293074215158,LH,LHLLHH,12.850000381469728,2025-11-05,15.43000030517578,2025-11-13,15.529999732971191,0.21,12.989999771118164,12.989999771118164,SB1-2025/10/30,True,True,True,False,False,False,False,False,False,True,0.83,5,1,True,2.0,2.0,14.19,15.529999732971191,16.869999465942385,18.20999919891357,1258.HK
2025-11-17,1258.HK,14.369999885559082,14.6899995803833,13.859999656677246,14.1899995803833,14.1899995803833,9273849,0.0,0.0,14.453516783416552,14.24276812072004,13.283937240240864,11.507657466530109,8.860209536010212,True,True,True,False,0.8299999237060547,0.7261109352111818,1.089166402816773,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/10/30,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1258.HK
2025-12-01,1258.HK,15.489999771118164,16.579999923706055,15.489999771118164,16.5,16.5,20423998,0.0,0.0,14.625520745649284,14.347630267196196,13.624536436337836,12.010080784978484,9.275162171678543,True,True,True,False,1.0900001525878906,0.6268749237060548,0.9403123855590824,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/10/30,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,1258.HK
2025-12-03,1258.HK,16.700000762939453,16.799999237060547,16.170000076293945,16.760000228881836,16.760000228881836,11273800,0.0,0.0,15.295431352667258,14.72987708428764,13.856590562035343,12.191675513228647,9.392070128237748,True,True,True,False,0.6299991607666016,0.5899998982747399,0.8849998474121098,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/10/30,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,1258.HK
2025-09-29,1288.HK,5.210000038146973,5.309999942779541,5.179999828338623,5.260000228881836,5.141647338867188,162764386,0.0,0.0,5.273492542008047,5.332796597786902,5.355514752129328,5.254914312635536,4.78211695404602,False,False,False,False,0.1300001144409179,0.1315789222717285,0.1973683834075927,LH,LHLLHH,5.050000190734863,2025-10-08,6.019999980926514,2025-10-30,6.179999828338623,0.22,5.059999942779541,5.059999942779541,SB1-2025/09/29,True,True,True,False,False,False,False,False,False,True,0.8,12,4,True,6.0,2.0,5.62,6.179999828338623,6.739999656677246,7.299999485015869,1288.HK
2025-10-16,1378.HK,26.200000762939453,26.979999542236328,25.76000022888184,26.040000915527344,26.040000915527344,31010486,0.0,0.0,26.155407171423395,25.91227273750573,24.563208255785348,22.065665797398623,17.712019801687795,True,True,True,False,1.2199993133544886,1.1533334520128031,1.7300001780192047,LH,LHLLHH,24.15999984741211,2025-10-22,30.420000076293945,2025-11-03,30.799999237060547,0.27,24.8799991607666,24.420000076293945,SB1-2025/10/16,True,True,True,False,False,False,False,False,False,True,0.71,5,3,True,2.0,0.0,27.48,30.799999237060547,34.11999847412109,37.43999771118164,1378.HK
2025-10-02,1398.HK,5.699999809265137,5.769999980926514,5.699999809265137,5.730000019073486,5.588789939880371,111932042,0.0,0.0,5.769811685531799,5.822687518489468,5.887450666452802,5.85002906293472,5.485196878191401,False,False,False,False,0.0700001716613769,0.0935294487897087,0.1402941731845631,LH,LHLLHH,5.559999942779541,2025-10-08,6.570000171661377,2025-11-13,6.659999847412109,0.2,5.579999923706055,5.579999923706055,SB1-2025/10/02,True,True,True,False,False,False,False,False,False,True,0.76,19,10,True,2.0,7.0,6.11,6.659999847412109,7.209999694824218,7.759999542236327,1398.HK
2025-12-08,1398.HK,6.320000171661377,6.340000152587891,6.110000133514404,6.110000133514404,6.110000133514404,193161767,0.0,0.0,6.332849345452652,6.3404057690116815,6.220710469719661,6.07982106908816,5.701638409902526,False,False,False,False,0.2300000190734863,0.1149999830457899,0.1724999745686848,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/10/02,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1398.HK
2025-10-27,1519.HK,10.420000076293944,10.579999923706056,10.199999809265137,10.40999984741211,10.40999984741211,21608736,0.0,0.0,10.230055772456984,10.059593077455126,9.85243425719273,9.248738510440637,8.349252149189299,True,True,True,False,0.3800001144409197,0.3471427645002096,0.5207141467503145,LH,LHLLHH,9.199999809265137,2025-11-21,10.6899995803833,2025-12-05,10.710000038146973,0.16,9.270000457763672,9.270000457763672,SB1-2025/10/27,True,True,True,False,False,False,False,False,False,True,0.7,7,6,True,0.0,1.0,9.95,10.710000038146973,11.470000076293946,12.23000011444092,1519.HK
2025-12-11,1519.HK,10.170000076293944,10.25,9.979999542236328,10.079999923706056,10.079999923706056,15238939,0.0,0.0,10.18674609989181,10.051708172985272,9.943950169642449,9.58350199598916,8.709938212961589,True,True,True,False,0.2700004577636719,0.2760000864664712,0.4140001296997068,HL,HLHHHL,10.979999542236328,2025-12-15,10.489999771118164,2025-12-17,10.3100004196167,-0.06,9.279999732971191,9.199999809265137,BY1-2025/10/27,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1519.HK
