Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,T1_100,EMA50,EMA100,EMA250,SNO
2025-10-31,1038.HK,51.0,51.04999923706055,50.5,50.54999923706055,50.54999923706055,1909898,0.0,0.0,51.43175537513299,51.72628623435237,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/04,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,52.10632778442631,52.27440947324611,51.73902609520962,1038.HK
2025-11-12,1209.HK,43.59999847412109,46.540000915527344,43.59999847412109,46.119998931884766,46.119998931884766,8627495,0.0,0.0,42.02628220148115,41.32374339959519,True,True,HH,HHHLHL,42.97999954223633,2025-11-21,45.15999984741211,2025-12-10,44.7599983215332,38.70000076293945,38.70000076293945,TP3-2025/07/25,False,False,False,True,False,False,False,0.0,0,0,,,False,,,,,False,40.69445109554594,39.614339457179845,36.40039188987936,1209.HK
2025-10-20,2097.HK,440.0,441.6000061035156,411.2000122070313,421.0,421.0,786188,0.0,0.0,419.7527764834977,413.3441146640199,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/23,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,425.0270278523683,437.18462151645537,,2097.HK
2025-10-14,2688.HK,65.8499984741211,68.5999984741211,65.5,67.94999694824219,67.29759979248047,8176221,0.0,0.0,65.29269753920677,64.75365964538054,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/08/26,False,True,True,False,False,False,False,0.0,0,0,,,False,,,,,False,64.37685053905794,63.5046467152952,61.271399246078616,2688.HK
2025-11-10,2688.HK,68.75,71.0,68.75,70.69999694824219,70.69999694824219,2873077,0.0,0.0,68.41753879961914,67.38724207197652,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP3-2025/08/26,False,False,False,True,False,False,False,0.0,0,0,,,False,,,,,False,66.12394307359934,64.7689218249627,62.12428932751492,2688.HK
2025-10-27,6862.HK,13.279999732971191,13.350000381469728,13.130000114440918,13.220000267028809,13.220000267028809,15786234,0.0,0.0,13.085819006112008,13.088471269812684,False,False,LH,LHLLHH,12.489999771118164,2025-11-05,13.970000267028809,2025-11-14,14.279999732971191,12.56999969482422,12.43000030517578,SB1-2025/10/27,False,False,False,False,False,False,True,0.86,6,2,3.0,1.0,True,13.38,14.279999732971191,15.179999465942382,16.079999198913573,False,13.36646591179986,13.937278742684404,14.752385540379636,6862.HK
2025-11-19,6862.HK,13.619999885559082,13.649999618530272,13.350000381469728,13.460000038146973,13.460000038146973,14661822,0.0,0.0,13.5863980045273,13.397607490596764,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/27,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,13.388603285231572,13.784560297213396,14.584966105719838,6862.HK
2025-12-02,6862.HK,14.140000343322754,14.350000381469728,14.039999961853027,14.140000343322754,14.140000343322754,29332220,0.0,0.0,13.75633028509247,13.574996469195728,False,True,HH,HHHLHL,13.729999542236328,2025-12-09,13.81999969482422,2025-12-10,13.729999542236328,13.020000457763672,12.779999732971191,TP1-2025/10/27,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,False,13.476567016783376,13.764994807392142,14.520544284238431,6862.HK
2025-10-27,0788.HK,11.460000038146973,11.520000457763672,11.380000114440918,11.510000228881836,11.510000228881836,11732608,0.0,0.0,11.462569849781612,11.4982707420665,False,False,LH,LHLLHH,11.119999885559082,2025-11-05,11.81999969482422,2025-11-13,11.9399995803833,11.199999809265137,11.199999809265137,SB1-2025/10/27,False,False,False,False,False,False,True,0.83,5,2,2.0,1.0,True,11.53,11.9399995803833,12.349999160766602,12.759998741149904,False,11.520896747562482,11.489166834640244,11.130170762951453,788.HK
2025-11-21,0788.HK,11.6899995803833,11.81999969482422,11.5,11.760000228881836,11.760000228881836,23148787,0.0,0.0,11.698431257245652,11.627534580671735,True,True,HL,HLHHHL,12.850000381469728,2025-12-02,12.56999969482422,2025-12-09,12.479999542236328,11.5,11.119999885559082,BY1-2025/10/27,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,11.5728828435717,11.524331449358067,11.19250515320496,788.HK
2025-11-24,0788.HK,11.779999732971191,11.899999618530272,11.699999809265137,11.899999618530272,11.899999618530272,20004865,0.0,0.0,11.735080050206491,11.651227192659436,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/10/27,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,False,11.585710952393605,11.531770423005042,11.198142559303168,788.HK
2025-11-26,0788.HK,12.0,12.619999885559082,11.93000030517578,12.59000015258789,12.59000015258789,57377064,0.0,0.0,11.926954373420768,11.758962532619623,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/10/27,False,False,True,False,False,False,False,0.0,0,0,,,False,,,,,False,11.639950775624824,11.561425532404469,11.21541335324818,788.HK
2025-11-27,0788.HK,12.600000381469728,12.6899995803833,12.350000381469728,12.489999771118164,12.489999771118164,16387792,0.0,0.0,12.029326263911203,11.822530988141237,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP3-2025/10/27,False,False,False,True,False,False,False,0.0,0,0,,,False,,,,,False,11.673286030350054,11.579813141091869,11.22556942032284,788.HK
2025-10-16,0867.HK,13.68000030517578,13.869999885559082,13.199999809265137,13.600000381469728,13.600000381469728,3483650,0.0,0.0,13.781230296101045,13.99095450157995,False,False,LH,LHLLHH,12.899999618530272,2025-10-24,14.050000190734863,2025-11-07,14.199999809265137,13.029999732971191,13.029999732971191,SB1-2025/10/16,False,False,False,False,False,False,True,0.78,7,3,0.0,4.0,True,13.55,14.199999809265137,14.849999618530273,15.499999427795409,False,13.76928836674744,12.815260147935607,11.06612577653784,867.HK
2025-11-19,0867.HK,13.670000076293944,13.800000190734863,13.279999732971191,13.600000381469728,13.600000381469728,5177000,0.0,0.0,13.852249963010076,13.812363597197129,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/16,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,13.738481791311928,13.135883399398615,11.50267528424653,867.HK
2025-10-28,0914.HK,24.299999237060547,24.299999237060547,23.540000915527344,23.600000381469727,23.600000381469727,6888138,0.0,0.0,23.97273766665057,23.97490424099033,False,False,LH,LHLLHH,22.18000030517578,2025-11-05,24.440000534057617,2025-11-13,24.57999992370605,22.6200008392334,22.6200008392334,SB1-2025/10/28,False,False,False,False,False,False,True,0.83,5,1,3.0,1.0,True,23.38,24.57999992370605,25.779999847412103,26.979999771118155,False,23.749033134735303,23.196080326398643,21.977612550637545,914.HK
2025-11-18,0914.HK,23.5,23.5,22.89999961853028,22.940000534057617,22.940000534057617,3766278,0.0,0.0,23.587057796404498,23.64594839312879,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/28,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,23.63456434130509,23.2620740022502,22.13431623337454,914.HK
2025-11-20,9973.HK,30.459999084472656,31.18000030517578,30.39999961853028,30.479999542236328,30.479999542236328,1762700,0.0,0.0,30.839292743548143,31.198498879704974,False,False,LH,LHLLHH,30.040000915527344,2025-11-24,32.720001220703125,2025-12-09,32.880001068115234,30.100000381469727,30.100000381469727,SB1-2025/11/20,False,False,False,False,False,False,True,0.88,7,1,4.0,2.0,True,31.46,32.880001068115234,34.30000213623047,35.7200032043457,False,,,,9973.HK
