Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,classification,PATTERN,LLDate,HHDate,SNO
2021-06-16,9992.HK,64.80000305175781,65.30000305175781,61.09999847412109,61.70000076293945,60.231101989746094,3228400,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2021/05/07,True,False,False,False,False,False,0.0,,,,,9992.HK
2021-06-23,9992.HK,66.0,71.5,64.19999694824219,70.05000305175781,68.38231658935547,5608640,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2021/05/07,False,True,False,False,False,False,0.0,,,,,9992.HK
2021-06-28,9992.HK,73.0,76.5,72.19999694824219,75.9000015258789,74.0930404663086,2474474,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2021/05/07,False,False,True,False,False,False,0.0,,,,,9992.HK
2021-11-26,9992.HK,56.34999847412109,57.0,51.0,51.20000076293945,49.981075286865234,8353172,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2021/10/08,True,False,False,False,False,False,0.0,,,,,9992.HK
2021-12-14,9992.HK,46.09999847412109,47.0,44.84999847412109,46.29999923706055,45.197731018066406,7099391,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2021/10/08,False,False,False,True,False,False,0.0,,,,,9992.HK
2022-07-08,9992.HK,34.54999923706055,34.599998474121094,32.5,33.150001525878906,32.54440689086914,8643067,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/05/18,True,False,False,False,False,False,0.0,,,,,9992.HK
2022-07-14,9992.HK,30.350000381469727,30.350000381469727,27.549999237060547,28.200000762939453,27.68483161926269,23731798,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2022/05/18,False,False,False,True,False,False,0.0,,,,,9992.HK
2022-06-14,9988.HK,98.25,102.4000015258789,97.1999969482422,101.1999969482422,100.5372314453125,79243938,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/05/17,True,False,False,False,False,False,0.0,,,,,9988.HK
2022-06-27,9988.HK,117.3000030517578,120.4000015258789,116.0999984741211,118.0999984741211,117.3265609741211,98194624,0.0,0.0,109.4000015258789,121.0,122.0,97.1999969482422,TP1-2022/05/17,False,True,False,False,False,False,0.0,HH,HHHLHH,2022-07-04,2022-07-08,9988.HK
2022-09-23,9988.HK,79.1500015258789,80.3499984741211,78.4000015258789,78.4000015258789,77.88655090332031,45213463,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2022/05/17,False,False,False,False,True,False,0.0,,,,,9988.HK
2024-06-14,9988.HK,73.75,73.9000015258789,72.25,72.80000305175781,72.64680480957031,61962416,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/04/10,True,False,False,False,False,False,0.0,,,,,9988.HK
2024-08-16,9988.HK,77.75,80.6500015258789,77.55000305175781,80.0999984741211,79.93143463134766,86304798,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2024/04/10,False,True,False,False,False,False,0.0,,,,,9988.HK
2024-09-20,9988.HK,86.0,89.0,85.4000015258789,87.19999694824219,87.01649475097656,122726621,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2024/04/10,False,False,True,False,False,False,0.0,,,,,9988.HK
2025-01-22,9988.HK,83.30000305175781,83.9000015258789,81.6500015258789,82.19999694824219,82.02701568603516,50020729,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/01/03,True,False,False,False,False,False,0.0,,,,,9988.HK
2025-01-27,9988.HK,86.5999984741211,87.94999694824219,86.0999984741211,87.25,87.06639099121094,77324541,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/01/03,False,True,False,False,False,False,0.0,,,,,9988.HK
2025-02-03,9988.HK,92.5500030517578,94.0999984741211,90.4000015258789,94.0,93.80218505859376,137951734,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/01/03,False,False,True,False,False,False,0.0,,,,,9988.HK
2022-09-30,9961.HK,211.6000061035156,214.1999969482422,207.1999969482422,210.8000030517578,210.66458129882807,916028,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/09/13,True,False,False,False,False,False,0.0,,,,,9961.HK
2022-10-05,9961.HK,227.1999969482422,232.1999969482422,223.0,230.3999938964844,230.25198364257807,1728529,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2022/09/13,False,True,False,False,False,False,0.0,,,,,9961.HK
2022-10-06,9961.HK,237.1999969482422,243.3999938964844,235.6000061035156,240.8000030517578,240.6453094482422,1740648,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2022/09/13,False,False,True,False,False,False,0.0,,,,,9961.HK
2023-03-08,9961.HK,296.0,299.0,290.3999938964844,297.3999938964844,297.2089233398437,2407128,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2023/02/09,True,False,False,False,False,False,0.0,,,,,9961.HK
2023-04-25,9961.HK,281.0,283.0,270.20001220703125,274.0,273.823974609375,1186193,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2023/02/09,False,False,False,True,False,False,0.0,,,,,9961.HK
2023-11-01,9961.HK,264.6000061035156,267.0,261.0,262.20001220703125,262.03155517578125,1004607,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2023/10/12,True,False,False,False,False,False,0.0,,,,,9961.HK
2023-11-21,9961.HK,282.0,288.6000061035156,274.20001220703125,275.6000061035156,275.4229431152344,2503019,0.0,0.0,256.79998779296875,256.20001220703125,251.3999938964844,256.0,TP1-2023/10/12,False,True,False,False,False,False,0.0,HH,HHHLLL,2023-11-22,2023-12-07,9961.HK
2023-12-07,9961.HK,254.3999938964844,257.20001220703125,251.3999938964844,256.20001220703125,256.0354309082031,1109805,0.0,0.0,268.79998779296875,295.20001220703125,300.6000061035156,251.3999938964844,CL2-2023/10/12,False,False,False,False,True,False,0.0,LL,LLLHHH,2023-12-15,2024-01-05,9961.HK
2024-05-21,9896.HK,45.5,45.5,43.79999923706055,44.54999923706055,44.28718566894531,5446544,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/04/12,True,False,False,False,False,False,0.0,,,,,9896.HK
2024-06-27,9896.HK,38.20000076293945,38.20000076293945,36.84999847412109,37.34999847412109,37.12965774536133,3208264,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2024/04/12,False,False,False,True,False,False,0.0,,,,,9896.HK
2024-10-16,9896.HK,32.79999923706055,33.70000076293945,31.25,32.25,32.127662658691406,11813062,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/09/20,True,False,False,False,False,False,0.0,,,,,9896.HK
2024-12-02,9896.HK,39.25,46.20000076293945,39.150001525878906,45.75,45.576454162597656,42686787,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2024/09/20,False,True,False,False,False,False,0.0,,,,,9896.HK
2025-01-03,9896.HK,49.0,54.5,49.0,52.04999923706055,51.85255432128906,17390169,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2024/09/20,False,False,True,False,False,False,0.0,,,,,9896.HK
2025-07-31,9896.HK,39.20000076293945,39.20000076293945,36.79999923706055,37.34999847412109,37.29426574707031,11405448,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/07/16,True,False,False,False,False,False,0.0,,,,,9896.HK
2025-08-07,9896.HK,38.459999084472656,40.47999954223633,38.400001525878906,40.20000076293945,40.140018463134766,11954800,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/07/16,False,True,False,False,False,False,0.0,,,,,9896.HK
2025-08-22,9896.HK,42.97999954223633,47.7400016784668,42.97999954223633,47.09999847412109,47.02972030639648,59336084,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/07/16,False,False,True,False,False,False,0.0,,,,,9896.HK
2022-08-31,9888.HK,136.60000610351562,144.8000030517578,135.60000610351562,141.5,141.5,13502398,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/08/16,True,False,False,False,False,False,0.0,,,,,9888.HK
2022-09-16,9888.HK,125.0,125.5,122.1999969482422,122.5,122.5,10311080,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2022/08/16,False,False,False,True,False,False,0.0,,,,,9888.HK
2023-04-11,9888.HK,138.5,138.5,132.60000610351562,135.1999969482422,135.1999969482422,20209072,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2023/03/03,True,False,False,False,False,False,0.0,,,,,9888.HK
2023-04-24,9888.HK,122.5,124.8000030517578,119.5999984741211,121.9000015258789,121.9000015258789,4957227,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2023/03/03,False,False,False,True,False,False,0.0,,,,,9888.HK
2025-06-18,9888.HK,85.4000015258789,85.4000015258789,83.25,83.3499984741211,83.3499984741211,5676201,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/05/29,True,False,False,False,False,False,0.0,,,,,9888.HK
2025-07-04,9888.HK,84.0,87.69999694824219,83.4000015258789,85.9000015258789,85.9000015258789,8094234,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/05/29,False,True,False,False,False,False,0.0,,,,,9888.HK
2025-07-16,9888.HK,91.6999969482422,92.0999984741211,87.80000305175781,88.55000305175781,88.55000305175781,29340217,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/05/29,False,False,True,False,False,False,0.0,,,,,9888.HK
2021-12-17,9868.HK,166.60000610351562,166.60000610351562,162.60000610351562,164.8000030517578,164.8000030517578,4681628,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2021/09/01,True,False,False,False,False,False,0.0,,,,,9868.HK
2022-01-03,9868.HK,194.8000030517578,199.1999969482422,194.5,197.1999969482422,197.1999969482422,1941864,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2021/09/01,False,True,False,False,False,False,0.0,,,,,9868.HK
2022-01-28,9868.HK,129.0,131.0,123.5999984741211,125.6999969482422,125.6999969482422,5423515,0.0,0.0,161.8000030517578,129.8000030517578,126.0999984741211,123.5999984741211,CL2-2021/09/01,False,False,False,False,True,False,0.0,LL,LLLHHL,2022-02-10,2022-02-24,9868.HK
2023-04-20,9868.HK,38.900001525878906,38.900001525878906,37.29999923706055,37.400001525878906,37.400001525878906,18192199,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2023/03/06,True,False,False,False,False,False,0.0,,,,,9868.HK
