Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,BOSS2,classification,PATTERN,LLDate,HHDate,SNO
2021-04-19,0001.HK,63.75,65.25,63.09999847412109,64.5,49.73875045776367,6243582,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2020/10/07,False,False,True,False,False,False,0.0,False,,,,,1.HK
2001-07-09,0001.HK,57.35612869262695,58.9642448425293,57.35612869262695,58.9642448425293,20.66282844543457,7400535,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2001/04/06,True,False,False,False,False,False,0.0,False,,,,,1.HK
2001-07-26,0001.HK,56.10537338256836,56.28404998779297,53.60385894775391,53.96121597290039,18.90961456298828,8775207,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2001/04/06,False,False,False,True,False,False,0.0,False,,,,,1.HK
2002-05-30,0001.HK,51.28102493286133,51.28102493286133,50.38762664794922,50.74498748779297,18.3546199798584,7990366,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2002/03/28,True,False,False,False,False,False,0.0,False,,,,,1.HK
2002-06-19,0001.HK,48.77951049804688,48.77951049804688,47.17139434814453,47.350074768066406,17.126672744750977,10543047,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2002/03/28,False,False,False,True,False,False,0.0,False,,,,,1.HK
2002-12-30,0001.HK,35.37854766845703,35.91458511352539,35.37854766845703,35.592960357666016,13.023638725280762,5590510,0.0,0.0,38.77345657348633,36.09326553344727,35.91458511352539,35.37854766845703,BY1-2002/09/27,True,False,False,False,False,False,0.0,False,LL,LLLHHL,2003-01-15,2003-01-20,1.HK
2003-03-10,0001.HK,33.23439025878906,33.23439025878906,32.019371032714844,32.162315368652344,11.768345832824709,13391888,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2002/09/27,False,False,False,True,False,False,0.0,False,,,,,1.HK
2005-03-08,0001.HK,50.030269622802734,50.56630706787109,49.49422836303711,50.38762664794922,20.109352111816406,12681638,0.0,0.0,51.63838577270508,48.600833892822266,48.600833892822266,49.49422836303711,BY1-2004/10/04,True,False,False,False,False,False,0.0,False,LL,LLLHLL,2005-03-18,2005-03-29,1.HK
2005-04-18,0001.HK,50.030269622802734,50.74498748779297,50.030269622802734,50.56630706787109,20.18066024780273,9516617,0.0,0.0,53.42517852783203,49.49422836303711,49.3155517578125,50.030269622802734,BY1-2005/03/18,True,False,False,False,False,False,0.0,False,HL,HLHHLL,2005-05-06,2005-05-25,1.HK
2005-04-25,0001.HK,51.28102493286133,51.81706237792969,51.28102493286133,51.63838577270508,20.60852432250977,7343776,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2005/03/18,False,True,False,False,False,False,0.0,False,,,,,1.HK
2005-05-06,0001.HK,52.7104606628418,53.42517852783203,52.7104606628418,52.88914108276367,21.107685089111328,7121783,0.0,0.0,49.3155517578125,51.4597053527832,51.28102493286133,49.85158920288086,TP2-2005/03/18,False,False,True,False,False,False,0.0,False,HH,HHLLHL,2005-05-25,2005-06-16,1.HK
2005-06-24,0001.HK,53.60385894775391,54.31857681274414,53.42517852783203,54.139896392822266,22.20091438293457,13546965,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2004/10/04,False,True,False,False,False,False,0.0,False,,,,,1.HK
2005-07-15,0001.HK,57.7134895324707,58.9642448425293,57.21318435668945,58.9642448425293,24.1792106628418,24481059,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2004/10/04,False,False,True,False,False,False,0.0,False,,,,,1.HK
2021-02-24,0001.HK,58.70000076293945,59.900001525878906,58.25,59.09999847412109,45.57456970214844,19324126,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2020/10/07,False,True,False,False,False,False,0.0,False,,,,,1.HK
2007-04-04,0001.HK,75.76011657714844,75.76011657714844,74.54509735107422,74.90245819091797,31.95182609558105,12781664,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2006/12/06,False,True,False,False,False,False,0.0,False,,,,,1.HK
2007-02-28,0001.HK,69.61354064941406,69.61354064941406,67.25497436523438,68.43425750732422,29.192625045776367,19846953,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2006/12/06,True,False,False,False,False,False,0.0,False,,,,,1.HK
2020-09-09,0001.HK,48.59999847412109,49.04999923706055,48.59999847412109,48.75,37.59323501586914,4951402,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2020/06/19,False,False,False,True,False,False,0.0,False,,,,,1.HK
2020-07-09,0001.HK,52.400001525878906,52.400001525878906,51.25,51.34999847412109,39.11194610595703,8157846,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/06/19,True,False,False,False,False,False,0.0,False,,,,,1.HK
2018-06-19,0001.HK,88.4000015258789,88.5,85.8499984741211,86.3499984741211,59.86241149902344,8714258,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2018/05/28,False,False,False,True,False,False,0.0,False,,,,,1.HK
