Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,BOSS2,SNO
2021-02-25,0001.HK,60.0,62.0,59.54999923706055,61.75,47.61809921264648,16181765,0.0,0.0,HH,HHHLHH,57.54999923706055,2021-03-02,61.54999923706055,2021-03-10,64.05000305175781,52.5,TP2-2020/12/11,False,False,True,False,False,False,0.0,False,1.HK
2003-09-25,0001.HK,45.38460159301758,45.56327819824219,43.41912460327149,43.776485443115234,16.63813591003418,22343843,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2003/09/17,True,False,False,False,False,False,0.0,False,1.HK
2003-10-02,0001.HK,44.669883728027344,46.81403732299805,44.49120330810547,46.4566764831543,17.65678596496582,21701099,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2003/09/17,False,True,False,False,False,False,0.0,False,1.HK
2003-10-06,0001.HK,46.99271774291992,47.886112213134766,46.99271774291992,47.52875518798828,18.064258575439453,15644956,0.0,0.0,HH,HHLHLH,47.70743560791016,2003-10-14,47.17139434814453,2003-10-21,47.52875518798828,41.63233184814453,TP2-2003/09/17,False,False,True,False,False,False,0.0,False,1.HK
2005-04-18,0001.HK,50.030269622802734,50.74498748779297,50.030269622802734,50.56630706787109,20.18065643310547,9516617,0.0,0.0,HL,HLHHLL,53.42517852783203,2005-05-06,49.49422836303711,2005-05-25,49.3155517578125,50.030269622802734,BY1-2005/03/18,True,False,False,False,False,False,0.0,False,1.HK
2005-04-25,0001.HK,51.28102493286133,51.81706237792969,51.28102493286133,51.63838577270508,20.6085205078125,7343776,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2005/03/18,False,True,False,False,False,False,0.0,False,1.HK
2005-05-06,0001.HK,52.7104606628418,53.42517852783203,52.7104606628418,52.88914108276367,21.10768699645996,7121783,0.0,0.0,HH,HHLLHL,49.3155517578125,2005-05-25,51.4597053527832,2005-06-16,51.28102493286133,49.85158920288086,TP2-2005/03/18,False,False,True,False,False,False,0.0,False,1.HK
2021-02-23,0001.HK,56.5,58.20000076293945,56.45000076293945,58.09999847412109,44.80342864990234,13312089,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2020/12/11,False,True,False,False,False,False,0.0,False,1.HK
2006-12-21,0001.HK,66.6474609375,67.0762939453125,66.6474609375,66.75466918945312,28.47613906860352,3147733,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2006/12/06,False,True,False,False,False,False,0.0,False,1.HK
2006-12-29,0001.HK,67.68380737304688,68.6129379272461,67.61233520507812,68.50572967529297,29.22311019897461,5737947,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP2-2006/12/06,False,False,True,False,False,False,0.0,False,1.HK
2011-03-15,0001.HK,85.76617431640625,86.90972137451172,82.97877502441406,84.90850830078125,41.601898193359375,11966482,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2011/02/21,True,False,False,False,False,False,0.0,False,1.HK
2011-03-30,0001.HK,89.05387878417969,91.19802856445312,88.91093444824219,91.05508422851562,44.61348342895508,15015542,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2011/02/21,False,True,False,False,False,False,0.0,False,1.HK
2011-04-04,0001.HK,90.8406753540039,93.12776947021484,91.34097290039062,92.84188079833984,45.48894119262695,9742428,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP2-2011/02/21,False,False,True,False,False,False,0.0,False,1.HK
2021-01-25,0001.HK,56.5,56.70000076293945,54.20000076293945,54.900001525878906,42.33577346801758,13630331,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2020/12/11,True,False,False,False,False,False,0.0,False,1.HK
2006-12-19,0001.HK,66.14716339111328,66.57598876953125,65.07508087158203,65.21802520751953,27.82064437866211,6952385,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2006/12/06,True,False,False,False,False,False,0.0,False,1.HK
2002-07-19,0101.HK,8.25,8.300000190734863,8.199999809265137,8.300000190734863,3.1377477645874023,1588837,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2002/03/06,True,False,False,False,False,False,0.0,False,101.HK
2023-11-21,0101.HK,11.300000190734863,11.68000030517578,11.300000190734863,11.420000076293944,9.620474815368652,6306757,0.0,0.0,HH,HHHLLH,10.15999984741211,2023-12-06,10.84000015258789,2023-12-15,11.18000030517578,10.199999809265137,TP2-2023/10/25,False,False,True,False,False,False,0.0,False,101.HK
2023-11-15,0101.HK,10.859999656677246,11.399999618530272,10.859999656677246,11.359999656677246,9.569928169250488,5844992,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2023/10/25,False,True,False,False,False,False,0.0,False,101.HK
2023-11-09,0101.HK,10.460000038146973,10.600000381469728,10.359999656677246,10.5,8.845444679260254,2496328,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2023/10/25,True,False,False,False,False,False,0.0,False,101.HK
2018-09-05,0101.HK,15.479999542236328,15.479999542236328,15.15999984741211,15.15999984741211,9.959696769714355,6559472,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2018/07/10,False,False,False,True,False,False,0.0,False,101.HK
2018-08-03,0101.HK,16.079999923706055,16.260000228881836,15.9399995803833,16.079999923706055,10.564111709594728,3234060,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2018/07/10,True,False,False,False,False,False,0.0,False,101.HK
2016-05-12,0101.HK,14.260000228881836,14.279999732971191,14.0,14.020000457763672,8.516122817993164,5049354,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2016/04/01,False,False,False,True,False,False,0.0,False,101.HK
2016-05-03,0101.HK,14.760000228881836,14.9399995803833,14.739999771118164,14.800000190734863,8.989916801452637,8114850,0.58,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2016/04/01,True,False,False,False,False,False,0.0,False,101.HK
2012-12-13,0101.HK,31.0,31.0,29.25,29.5,15.757612228393556,6316154,0.0,0.0,HH,HHHHHL,31.450000762939453,2013-01-02,30.64999961853028,2013-01-08,30.39999961853028,28.89999961853028,TP2-2011/09/26,False,False,True,False,False,False,0.0,False,101.HK
2012-01-27,0101.HK,27.049999237060547,27.5,27.0,27.049999237060547,14.183293342590332,7606875,0.0,0.0,,,0.0,,0.0,,0.0,0.0,TP1-2011/09/26,False,True,False,False,False,False,0.0,False,101.HK
2011-11-21,0101.HK,24.39999961853028,24.600000381469727,23.89999961853028,23.89999961853028,12.531633377075195,4874663,0.0,0.0,,,0.0,,0.0,,0.0,0.0,BY1-2011/09/26,True,False,False,False,False,False,0.0,False,101.HK
