sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
0001.HK,5,0,0,0,6,0,11,45.45%
0002.HK,2,0,1,1,2,0,6,50.00%
0004.HK,6,0,2,0,5,0,13,61.54%
0005.HK,0,0,0,2,9,0,11,0.00%
0006.HK,0,1,0,0,0,1,2,50.00%
0008.HK,1,0,0,1,7,0,9,11.11%
0011.HK,3,0,2,3,2,0,10,50.00%
0012.HK,8,0,0,1,11,0,20,40.00%
0016.HK,2,1,0,1,2,1,7,42.86%
0019.HK,3,2,1,2,7,0,15,40.00%
0020.HK,0,0,0,0,2,0,2,0.00%
0023.HK,2,1,1,1,2,0,7,57.14%
0027.HK,4,0,0,0,5,1,10,40.00%
0066.HK,4,0,0,4,4,0,12,33.33%
0083.HK,4,0,0,3,3,0,10,40.00%
0087.HK,3,0,0,2,5,0,10,30.00%
0101.HK,1,2,0,0,2,0,5,60.00%
0135.HK,1,1,0,0,1,0,3,66.67%
0136.HK,0,1,0,1,1,1,4,25.00%
0144.HK,6,1,0,0,3,0,10,70.00%
0148.HK,2,1,0,0,7,1,11,27.27%
0151.HK,2,1,1,0,4,0,8,50.00%
0168.HK,5,0,1,1,2,1,10,60.00%
0175.HK,1,0,0,0,3,0,4,25.00%
0179.HK,2,0,0,2,7,0,11,18.18%
0220.HK,1,0,0,3,2,0,6,16.67%
0241.HK,1,0,0,0,2,1,4,25.00%
0247.HK,0,0,0,0,1,0,1,0.00%
0267.HK,2,0,0,0,2,0,4,50.00%
0268.HK,2,0,0,0,1,0,3,66.67%
0270.HK,0,1,0,1,5,0,7,14.29%
0285.HK,2,0,0,2,1,1,6,33.33%
0288.HK,1,0,0,0,3,0,4,25.00%
0291.HK,3,1,0,0,5,0,9,44.44%
0293.HK,5,0,1,5,6,0,17,35.29%
0300.HK,1,0,0,0,0,0,1,100.00%
0316.HK,0,1,0,0,4,0,5,20.00%
0322.HK,1,0,1,3,4,0,9,22.22%
0358.HK,2,1,0,1,2,2,8,37.50%
0384.HK,4,0,0,2,4,1,11,36.36%
0386.HK,3,0,0,1,8,0,12,25.00%
0388.HK,5,0,0,1,5,0,11,45.45%
0392.HK,4,1,0,1,5,0,11,45.45%
0425.HK,3,0,1,0,2,0,6,66.67%
0486.HK,1,0,0,1,2,1,5,20.00%
0522.HK,3,0,0,0,6,0,9,33.33%
0656.HK,2,0,0,1,6,0,9,22.22%
0659.HK,1,0,0,0,3,0,4,25.00%
0669.HK,7,0,0,1,2,0,10,70.00%
0700.HK,4,0,0,1,1,0,6,66.67%
0728.HK,2,0,0,1,4,0,7,28.57%
0753.HK,2,0,1,1,4,0,8,37.50%
0762.HK,2,1,1,1,6,1,12,33.33%
0763.HK,2,1,0,1,0,1,5,60.00%
0772.HK,1,0,0,0,8,0,9,11.11%
