sno,TP12,TP1,TP2,TP1C,CL1,BY1
0001.HK,5,0,0,0,6,0
0002.HK,4,0,0,1,4,0
0003.HK,6,0,1,0,4,1
0004.HK,9,0,1,1,8,0
0005.HK,2,0,0,4,9,0
0006.HK,4,1,0,0,1,0
0008.HK,5,0,0,1,2,0
0011.HK,6,1,0,1,1,0
0012.HK,8,0,0,2,7,0
0016.HK,4,1,0,1,5,0
0019.HK,6,1,0,2,3,0
0020.HK,0,0,0,0,3,0
0023.HK,6,0,1,0,5,0
0027.HK,5,0,0,3,5,0
0066.HK,4,0,0,0,5,0
0083.HK,4,0,0,1,6,0
0087.HK,7,0,0,0,7,0
0101.HK,3,0,0,1,5,0
0135.HK,6,0,0,0,2,0
0136.HK,4,0,1,0,2,0
0144.HK,10,0,0,5,2,0
0148.HK,6,0,0,0,8,0
0151.HK,6,0,0,0,1,0
0168.HK,7,0,0,3,4,1
0175.HK,2,0,0,0,5,0
0179.HK,4,1,0,5,8,0
0220.HK,1,0,0,0,3,0
0241.HK,2,1,0,0,9,0
0247.HK,1,0,0,0,0,0
0257.HK,1,0,1,1,4,0
0267.HK,6,0,0,2,6,1
0268.HK,3,0,0,0,2,0
0270.HK,5,0,0,2,2,0
0285.HK,6,0,0,1,2,0
0288.HK,4,0,0,0,1,0
0291.HK,1,1,1,1,2,0
0293.HK,4,0,1,1,3,1
0300.HK,0,0,1,0,0,0
0316.HK,3,0,0,0,2,0
0322.HK,8,0,1,2,3,0
0358.HK,5,0,0,2,5,0
0384.HK,2,0,0,2,2,0
0386.HK,3,0,0,1,8,0
0388.HK,1,0,0,0,4,0
0392.HK,7,0,0,2,4,0
0425.HK,1,0,0,5,0,0
0486.HK,4,0,1,0,3,0
0522.HK,5,0,0,1,4,0
0656.HK,2,1,0,1,4,0
0659.HK,4,0,0,2,4,0
0669.HK,5,0,0,1,2,0
0700.HK,3,0,0,1,0,0
0728.HK,5,0,0,1,4,1
0753.HK,4,0,2,1,1,0
0762.HK,7,0,1,1,5,0
0763.HK,4,1,0,0,1,0
0772.HK,0,0,0,0,5,1
0788.HK,1,0,0,0,4,0
0836.HK,3,0,0,0,5,0
0857.HK,3,0,0,0,3,0
0867.HK,0,0,0,0,3,0
0868.HK,2,0,1,0,1,1
0881.HK,0,0,0,1,6,0
0883.HK,3,0,0,0,3,0
0914.HK,3,0,0,0,5,1
0939.HK,9,0,0,1,3,0
0941.HK,2,0,0,2,6,0
0945.HK,5,0,1,1,7,0
0966.HK,9,0,0,1,6,0
0968.HK,0,0,0,3,1,0
0981.HK,4,0,0,1,5,0
0992.HK,6,0,0,0,3,0
0998.HK,3,0,0,0,1,0
1024.HK,1,0,0,0,0,0
1038.HK,5,1,0,0,2,0
1044.HK,2,0,0,3,5,0
1088.HK,7,0,0,0,9,0
1093.HK,2,0,0,0,5,0
1128.HK,3,0,0,0,2,0
1171.HK,6,0,0,2,8,1
1177.HK,4,0,1,0,1,0
1179.HK,2,0,0,0,1,0
1193.HK,5,1,0,3,7,0
1208.HK,3,0,1,1,4,0
1209.HK,0,1,0,0,0,0
1211.HK,2,0,0,0,5,0
1258.HK,2,0,1,0,2,0
1276.HK,0,1,0,0,0,0
1288.HK,2,0,1,1,3,0
1299.HK,2,0,0,0,1,0
1308.HK,3,0,0,2,3,0
1336.HK,1,0,0,0,2,0
1339.HK,3,0,0,1,1,0
1347.HK,5,0,0,0,4,0
1357.HK,2,0,0,0,2,0
1378.HK,2,0,0,0,2,0
1398.HK,6,0,0,1,5,0
1519.HK,0,0,0,1,1,0
1530.HK,1,0,0,0,2,0
1548.HK,2,0,0,1,2,1
1585.HK,2,0,0,1,1,0
1658.HK,3,0,0,2,3,0
1729.HK,3,0,0,1,1,0
1735.HK,5,0,0,1,1,0
1776.HK,2,0,0,0,2,0
1787.HK,2,0,0,1,3,0
1788.HK,2,0,0,1,3,0
1801.HK,5,0,0,0,0,0
1810.HK,0,0,0,1,2,0
1816.HK,3,0,0,1,4,1
1818.HK,3,0,0,1,3,0
1833.HK,1,0,0,2,2,0
1876.HK,2,0,0,0,3,0
1882.HK,9,1,0,1,3,0
1888.HK,2,1,0,1,3,0
1898.HK,5,0,0,0,4,0
1913.HK,2,0,0,1,2,0
1919.HK,3,0,1,1,2,0
1928.HK,2,0,0,0,3,0
1929.HK,4,0,0,0,2,0
1988.HK,2,0,0,2,4,0
2015.HK,0,0,0,0,1,0
2018.HK,3,0,0,1,4,0
2020.HK,4,0,0,0,2,0
2057.HK,0,0,0,2,0,0
2076.HK,1,0,0,0,1,0
2096.HK,0,0,0,0,2,0
2099.HK,3,0,0,1,3,0
2269.HK,1,0,0,0,1,0
2282.HK,1,0,2,1,1,0
2318.HK,1,0,0,0,0,0
2319.HK,6,0,0,3,3,0
2328.HK,4,0,1,1,4,0
2331.HK,2,0,0,0,6,0
2333.HK,2,0,1,1,2,0
2359.HK,1,0,0,0,1,0
2367.HK,1,0,0,1,1,0
2378.HK,1,0,1,1,8,0
2380.HK,5,0,0,0,4,0
2382.HK,2,0,0,1,4,0
2388.HK,7,0,0,0,1,0
2400.HK,1,0,0,0,0,0
2588.HK,2,0,0,0,0,0
2600.HK,6,0,0,1,5,0
2601.HK,0,0,0,2,2,0
2618.HK,0,0,0,0,3,0
2628.HK,5,0,0,0,1,0
2638.HK,1,0,0,2,1,0
2688.HK,4,1,0,0,0,0
2799.HK,4,0,0,0,1,0
2888.HK,3,0,0,0,7,0
2899.HK,4,0,0,1,3,0
3328.HK,6,0,0,1,5,0
3606.HK,0,0,0,0,1,0
3660.HK,0,0,0,0,1,0
3668.HK,1,0,0,0,0,0
