sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0001.HK,3,0,0,1,3,0,7,,
0002.HK,3,0,0,0,2,0,5,,
0003.HK,5,0,0,0,1,1,7,,
0004.HK,7,1,1,0,4,0,13,,
0005.HK,1,1,0,1,3,1,7,,
0006.HK,3,0,0,0,0,0,3,,
0008.HK,3,0,0,1,2,1,7,,
0011.HK,5,0,0,0,1,1,7,,
0012.HK,4,0,0,1,5,2,12,,
0016.HK,3,0,0,1,2,0,6,,
0019.HK,1,1,0,0,3,0,5,,
0020.HK,0,0,0,0,0,1,1,,
0023.HK,2,0,1,0,0,0,3,,
0027.HK,0,0,0,1,2,1,4,,
0066.HK,2,0,0,0,1,0,3,,
0083.HK,1,1,0,2,1,0,5,,
0087.HK,2,0,0,0,2,0,4,,
0101.HK,0,2,0,1,2,0,5,,
0135.HK,3,1,0,0,1,0,5,,
0136.HK,0,0,0,0,1,0,1,,
0144.HK,1,0,1,2,1,0,5,,
0148.HK,5,1,0,0,3,1,10,,
0151.HK,2,1,0,1,1,0,5,,
0168.HK,3,1,0,1,1,1,7,,
0175.HK,1,0,0,1,2,0,4,,
0179.HK,1,1,0,0,5,0,7,,
0220.HK,0,0,0,1,1,0,2,,
0241.HK,0,0,1,0,1,1,3,,
0247.HK,2,0,1,0,0,0,3,,
0267.HK,5,0,0,1,4,1,11,,
0268.HK,1,1,0,0,2,0,4,,
0270.HK,2,1,0,0,1,0,4,,
0285.HK,2,0,0,0,1,0,3,,
0288.HK,1,0,0,0,1,0,2,,
0291.HK,1,0,0,0,1,0,2,,
0293.HK,3,0,1,0,2,0,6,,
0316.HK,2,0,0,0,1,0,3,,
0322.HK,2,0,0,0,0,0,2,,
0358.HK,3,0,0,0,1,1,5,,
0384.HK,1,0,0,1,2,0,4,,
0386.HK,3,0,0,1,2,1,7,,
0388.HK,0,0,0,0,3,0,3,,
0392.HK,5,0,0,0,0,0,5,,
0425.HK,0,0,0,1,0,0,1,,
0486.HK,2,0,1,0,1,1,5,,
0522.HK,1,0,0,0,3,0,4,,
0656.HK,1,0,0,0,1,1,3,,
0659.HK,1,1,0,0,1,2,5,,
0669.HK,2,0,0,0,2,0,4,,
0728.HK,2,1,0,0,0,1,4,,
0762.HK,4,0,0,0,3,0,7,,
0772.HK,0,0,0,0,2,0,2,,
0788.HK,1,0,0,0,1,0,2,,
0836.HK,2,1,0,0,4,0,7,,
0857.HK,2,1,0,2,2,1,8,,
0867.HK,0,0,0,0,1,0,1,,
0868.HK,2,0,0,0,0,1,3,,
0883.HK,1,0,0,0,2,0,3,,
0902.HK,3,0,0,1,1,0,5,,
0914.HK,1,0,0,0,3,1,5,,
0939.HK,3,0,0,1,2,0,6,,
0941.HK,3,1,0,1,1,0,6,,
0945.HK,1,1,0,2,2,0,6,,
0966.HK,0,0,0,1,2,0,3,,
0968.HK,0,2,0,1,1,0,4,,
0981.HK,3,0,0,1,4,0,8,,
0992.HK,0,1,0,0,2,0,3,,
0998.HK,2,1,0,0,1,0,4,,
