sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
0001.HK,0,3,0,0,0,1,3,1
0002.HK,0,3,0,0,0,2,3,0
0003.HK,0,4,2,1,0,1,3,1
0004.HK,0,5,1,0,0,0,8,1
0005.HK,0,3,1,0,0,2,4,4
0006.HK,0,3,2,0,0,1,1,0
0008.HK,0,4,1,1,0,0,1,0
0011.HK,0,6,1,0,0,0,0,1
0012.HK,0,6,1,1,0,1,6,1
0016.HK,0,2,1,0,0,0,4,0
0019.HK,0,2,4,0,0,1,5,0
0020.HK,0,0,0,0,1,0,0,0
0023.HK,0,3,1,1,0,1,5,3
0027.HK,0,2,0,0,0,2,4,2
0066.HK,0,4,0,0,1,0,3,0
0083.HK,0,4,0,0,0,1,5,1
0087.HK,0,7,3,1,0,1,10,0
0101.HK,0,1,2,0,0,1,5,2
0135.HK,0,5,1,0,1,0,3,1
0136.HK,0,1,0,0,0,0,0,1
0144.HK,0,9,0,0,0,4,2,0
0148.HK,0,5,1,0,0,0,3,1
0151.HK,0,3,1,1,0,0,1,0
0168.HK,0,3,1,0,0,0,2,2
0175.HK,0,1,0,0,0,0,4,1
0179.HK,0,5,1,0,0,2,7,0
0220.HK,0,1,0,0,0,0,2,0
0241.HK,0,2,1,0,0,0,4,2
0247.HK,0,1,0,0,1,0,0,0
0257.HK,0,2,0,0,1,2,2,1
0267.HK,0,6,1,0,0,2,5,1
0268.HK,0,2,1,0,0,0,1,1
0270.HK,0,4,3,0,0,0,2,0
0285.HK,0,5,0,0,0,0,4,0
0288.HK,0,3,0,0,0,0,0,0
0291.HK,0,2,3,0,0,1,2,0
0293.HK,0,2,0,0,1,2,3,0
0316.HK,0,3,0,0,0,0,3,0
0322.HK,0,2,0,0,0,1,3,1
0358.HK,0,7,0,0,0,1,2,3
0384.HK,0,2,1,0,0,2,2,0
0386.HK,0,3,0,1,0,0,6,3
0388.HK,0,1,0,0,0,0,1,2
0392.HK,0,5,0,0,0,1,1,1
0425.HK,0,0,0,0,0,1,0,1
0486.HK,0,2,0,1,0,0,1,1
0522.HK,0,1,0,1,0,0,3,1
0656.HK,0,2,0,0,0,2,5,1
0659.HK,0,2,1,0,0,2,1,4
0669.HK,0,2,2,0,0,0,1,1
0700.HK,0,0,0,0,0,0,1,1
0728.HK,1,2,1,0,0,0,4,1
0753.HK,0,4,1,0,0,0,1,0
0762.HK,0,4,1,0,0,0,3,0
0772.HK,0,1,0,0,0,0,3,2
0788.HK,0,1,0,0,0,0,2,1
0836.HK,0,1,0,0,0,0,6,1
0857.HK,0,4,1,0,0,0,1,0
0867.HK,0,0,0,0,0,0,1,0
0868.HK,0,1,0,0,0,0,2,1
0883.HK,0,0,0,0,0,0,2,0
0902.HK,0,1,0,0,1,1,3,0
0914.HK,0,1,0,0,0,0,1,2
0939.HK,0,4,1,0,0,0,3,0
0941.HK,0,4,1,0,0,0,5,0
0945.HK,0,3,1,0,0,3,6,1
0966.HK,0,2,1,0,0,1,6,0
0968.HK,0,1,2,0,0,1,1,1
0981.HK,0,4,0,1,0,1,6,1
0992.HK,0,2,1,0,0,0,5,2
0998.HK,0,2,1,0,0,0,1,0
1024.HK,0,2,0,0,0,0,1,0
1038.HK,0,4,2,1,0,0,3,1
1044.HK,0,0,1,0,0,2,1,0
1088.HK,0,1,3,0,0,0,8,1
1093.HK,0,2,0,0,0,0,3,0
1128.HK,0,2,1,0,0,0,2,1
1171.HK,0,3,1,0,0,1,5,0
1177.HK,0,3,0,1,0,0,2,0
1193.HK,0,4,2,0,0,0,4,0
1208.HK,0,2,0,1,0,0,3,1
1209.HK,0,0,1,0,0,0,0,0
1211.HK,0,2,0,0,0,0,3,0
1258.HK,0,1,0,0,0,0,1,1
1288.HK,0,2,1,0,0,0,1,0
1299.HK,0,1,0,0,0,0,2,0
1308.HK,0,2,2,1,0,0,2,0
1336.HK,0,1,1,0,0,0,0,2
1339.HK,0,2,0,0,0,0,1,0
1347.HK,0,1,0,0,0,0,1,1
1357.HK,0,0,0,0,0,0,1,1
1378.HK,0,2,0,0,0,0,3,0
1398.HK,0,5,1,0,0,0,3,0
1519.HK,0,0,0,0,0,0,0,1
1530.HK,0,0,1,0,0,0,1,0
1548.HK,0,1,0,1,0,0,0,2
1585.HK,0,2,0,0,0,0,1,0
1658.HK,0,3,1,0,0,0,3,0
1729.HK,0,1,0,0,0,0,0,0
1735.HK,0,3,0,0,0,0,2,0
1776.HK,0,2,0,0,0,0,3,2
1787.HK,0,2,0,0,0,0,2,0
1788.HK,0,0,0,0,0,0,1,0
1801.HK,0,2,1,0,0,0,0,1
1810.HK,0,0,0,0,0,0,2,0
1816.HK,0,1,0,0,0,1,3,2
1818.HK,0,2,0,0,0,1,3,1
1876.HK,0,1,1,0,0,0,2,0
1882.HK,0,3,1,0,1,0,2,1
1888.HK,0,0,1,0,0,0,5,1
1898.HK,0,5,0,0,0,0,3,0
1913.HK,0,0,0,0,0,2,2,0
1919.HK,0,3,0,0,0,0,1,3
1928.HK,0,0,1,0,0,0,3,0
1929.HK,0,1,0,0,0,0,0,1
1988.HK,0,2,1,0,0,1,4,0
2015.HK,0,0,0,0,0,0,1,0
2018.HK,0,3,0,0,0,0,5,1
2020.HK,0,4,1,0,0,0,3,0
2057.HK,0,0,1,0,0,1,0,0
2076.HK,0,0,0,0,0,0,1,1
2096.HK,0,1,0,0,0,0,1,1
2099.HK,0,4,0,0,0,0,1,1
2269.HK,0,0,0,0,0,0,1,0
2282.HK,0,0,0,1,0,1,0,1
2318.HK,0,2,0,0,0,0,0,0
2319.HK,0,2,1,2,0,1,1,1
2328.HK,0,2,1,1,0,0,1,1
2331.HK,0,1,0,0,0,0,3,1
2333.HK,0,2,0,0,0,0,2,2
2338.HK,0,3,0,0,0,0,5,1
2359.HK,0,0,0,0,0,0,1,1
2367.HK,0,1,0,0,0,0,0,0
2378.HK,0,2,0,1,0,0,9,0
2380.HK,0,4,0,0,0,0,1,3
2382.HK,0,2,0,0,0,1,2,0
2388.HK,0,3,1,0,0,0,1,0
2400.HK,0,0,0,0,1,0,0,0
2588.HK,0,1,0,0,1,0,0,0
2600.HK,0,3,1,0,0,0,3,0
2601.HK,0,1,0,0,0,3,2,0
2618.HK,0,0,0,0,0,0,1,0
2628.HK,0,3,0,0,2,0,0,0
2638.HK,0,1,0,0,0,1,0,0
2688.HK,0,2,0,0,0,0,0,1
2799.HK,0,1,0,1,0,1,1,4
2888.HK,0,2,0,1,0,0,2,1
2899.HK,0,3,0,1,0,0,2,2
3328.HK,0,6,0,0,0,0,5,0
3668.HK,0,1,0,0,0,0,0,0
3800.HK,0,0,2,0,0,1,2,0
3808.HK,0,1,1,0,0,0,5,0
3939.HK,0,0,0,0,0,0,0,1
3968.HK,0,0,0,0,0,0,1,1
6088.HK,0,1,0,0,0,0,0,2
6181.HK,0,0,0,0,0,0,1,0
6690.HK,0,0,2,0,0,0,2,0
6823.HK,0,0,0,1,0,0,2,1
6979.HK,0,1,0,0,0,0,1,1
9618.HK,0,0,1,0,0,0,0,0
9633.HK,0,1,0,0,0,0,1,1
9863.HK,0,0,0,0,0,0,3,0
9868.HK,0,1,0,0,0,0,1,0
9888.HK,0,2,0,0,0,0,0,0
9896.HK,0,0,0,0,0,0,2,0
9961.HK,0,1,0,0,0,0,3,0
9988.HK,0,1,0,0,0,1,0,1
9992.HK,0,0,0,0,0,1,2,0
