index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,SNO
2020-06-12,0001.HK,50.650001525878906,52.04999923706055,50.54999923706055,52.04999923706055,39.64511489868164,11782962,0.0,0.0,52.62656555117555,52.73479126228796,54.64961916712401,58.59016567873804,66.10833173240002,False,False,False,False,1.5,1.2928575788225452,2.5857151576450903,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/05/26,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1.HK
2014-09-11,0101.HK,25.39999961853028,25.450000762939453,24.5,24.850000381469727,13.97056770324707,4490965,0.0,0.0,25.33061743418433,25.02691452087877,24.49781212646141,24.07658227567591,24.327905838225167,False,True,True,False,0.9500007629394532,0.5718752145767203,0.8578128218650805,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2014/08/11,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2014-09-29,0101.HK,23.0,23.0,22.100000381469727,22.549999237060547,12.76484203338623,4428200,0.0,0.0,23.628493584113947,24.09875194611585,24.200848667533094,24.00797916281396,24.277476863520228,False,False,False,False,0.8999996185302734,0.5058824875775493,0.758823731366324,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2014/08/11,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,101.HK
2015-04-20,0101.HK,23.350000381469727,23.700000762939453,23.0,23.0,13.019572257995604,5678814,0.0,0.0,23.261648636303363,22.767388016093925,22.38245830943568,22.377447525492656,22.95372558917917,False,True,True,False,0.7000007629394531,0.4299999237060542,0.6449998855590813,26.350000381469727,24.450000762939453,24.200000762939453,-0.08,22.350000381469727,21.14999961853028,BY1-2015/03/24,False,True,True,True,False,False,False,False,False,False,0.0,0,0,False,HL,HLHHHL,2015-04-29,2015-05-13,,,101.HK
2015-04-29,0101.HK,24.600000381469727,26.350000381469727,24.299999237060547,26.200000762939453,14.830992698669434,44338004,0.0,0.0,24.203269112729387,23.50676458746485,22.84085836953564,22.619396791767283,23.02223622125932,False,True,True,False,2.05000114440918,0.4633333841959631,0.6950000762939447,24.200000762939453,26.299999237060547,26.450000762939453,0.09,23.14999961853028,23.0,TP2-2015/03/24,True,True,True,False,True,True,False,False,False,False,0.0,0,0,False,HH,HHHLHH,2015-05-13,2015-05-26,,,101.HK
2020-02-28,0101.HK,17.239999771118164,17.360000610351562,16.920000076293945,17.020000457763672,11.791015625,11528609,0.0,0.0,17.718162878101346,17.699696921969053,17.56374521754872,17.49455411815634,17.493503945858052,True,True,True,False,0.4400005340576172,0.3373334248860679,0.5060001373291019,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/01/24,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2020-03-16,0101.HK,16.200000762939453,16.299999237060547,15.779999732971191,16.020000457763672,11.098240852355955,12932220,0.0,0.0,16.836131260001086,17.1732830093681,17.33629093233643,17.385899045011364,17.448466518142055,False,False,False,False,0.5199995040893555,0.3858822654275335,0.5788233981413002,14.0600004196167,14.760000228881836,15.300000190734863,0.09,14.920000076293944,14.920000076293944,CL1-2020/01/24,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,LH,LHLLLH,2020-03-19,2020-03-20,,,101.HK
2022-06-13,0101.HK,14.800000190734863,14.880000114440918,14.380000114440918,14.5,11.338189125061035,9534170,0.0,0.0,14.68384958104047,14.735984648918652,15.101587566868387,15.623679106319177,16.794866442884572,False,False,False,False,0.5,0.2920001983642576,0.4380002975463865,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/05/30,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2022-06-27,0101.HK,14.619999885559082,15.359999656677246,14.460000038146973,15.100000381469728,11.807355880737305,8095015,0.0,0.0,14.610814630531966,14.632428955261265,14.918500689223428,15.42725117875248,16.621227840370715,False,False,False,False,0.8999996185302734,0.3314286640712189,0.4971429961068283,14.199999809265137,14.579999923706056,14.699999809265137,0.04,14.279999732971191,13.84000015258789,TP1-2022/05/30,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,HH,HHLLLH,2022-07-07,2022-07-08,,,101.HK
2022-08-10,0101.HK,13.5600004196167,13.600000381469728,13.18000030517578,13.279999732971191,10.38421630859375,4785441,0.0,0.0,13.64303423881856,13.871981518536218,14.238661132608378,14.779360123831824,16.05971274978637,False,False,False,False,0.4200000762939488,0.3422222667270242,0.5133334000905364,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2022/05/30,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,,,,,,,101.HK
2025-11-21,0101.HK,9.010000228881836,9.010000228881836,8.699999809265137,8.729999542236328,8.729999542236328,12013020,0.0,0.0,9.015819305094013,8.933711686988667,8.729460126565614,8.315133545425695,7.743456693733512,True,True,True,False,0.3100004196166992,0.1557139669145857,0.2335709503718786,9.1899995803833,9.0,8.850000381469727,-0.04,8.319999694824219,8.319999694824219,BY1-2025/10/30,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,HL,HLLHHL,2025-11-26,2025-11-28,,,101.HK
2000-03-16,1038.HK,14.300000190734863,14.300000190734863,13.100000381469728,13.399999618530272,4.593790054321289,1874000,0.0,0.0,13.688440721997418,13.266676810219188,13.47056877091391,13.41365248332484,13.03234152107878,False,False,False,False,1.199999809265135,0.7535715784345358,1.1303573676518035,15.149999618530272,13.5,13.5,-0.11,10.649999618530272,10.149999618530272,BY1-2000/02/23,False,False,True,True,False,False,False,False,False,False,0.0,0,0,False,LL,LLLHHL,2000-03-28,2000-04-05,,,1038.HK
2020-01-21,1044.HK,59.5,59.79999923706055,58.09999847412109,58.900001525878906,42.72796630859375,6173068,0.0,0.0,59.473659938094464,57.8179786380961,55.739170210699335,55.094444283841696,57.64725263121395,False,True,True,False,1.7000007629394602,1.678124904632567,3.356249809265134,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/01/02,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1044.HK
