sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
0008.HK,1,0,0,0,0,0,0,0
0011.HK,1,0,0,0,0,0,0,0
0012.HK,0,1,0,0,0,0,1,0
0016.HK,0,0,0,0,0,1,0,0
0019.HK,0,0,2,0,0,0,0,0
0020.HK,0,0,0,0,0,0,0,1
0027.HK,0,0,0,0,0,0,0,1
0083.HK,0,0,0,0,0,0,0,1
0087.HK,0,0,1,0,0,0,0,0
0135.HK,0,0,1,0,0,0,0,0
0179.HK,1,0,0,0,0,0,0,0
0241.HK,0,0,0,0,0,0,1,1
0257.HK,0,0,0,0,0,0,0,1
0267.HK,1,0,0,0,0,0,0,0
0293.HK,0,0,0,0,1,0,0,0
0316.HK,0,0,0,1,0,1,0,0
0322.HK,0,2,0,0,0,0,0,0
0388.HK,0,0,0,0,0,0,0,1
0392.HK,0,0,0,0,0,0,0,1
0486.HK,0,0,0,0,0,0,0,1
0522.HK,0,0,0,0,0,0,2,0
0656.HK,1,0,0,0,0,0,0,1
0659.HK,0,0,1,0,0,0,0,1
0728.HK,0,0,1,0,0,0,0,0
0753.HK,0,1,0,0,0,0,0,0
0867.HK,0,0,0,0,0,0,1,0
0868.HK,0,0,0,0,0,0,0,1
0939.HK,2,0,0,0,0,0,0,0
0941.HK,0,0,0,0,0,1,0,0
0968.HK,0,0,1,0,0,0,0,0
0992.HK,0,0,1,0,0,0,0,0
1044.HK,0,0,0,0,0,1,1,0
1088.HK,0,0,0,0,0,0,1,0
1093.HK,0,0,0,0,0,0,1,0
1128.HK,0,0,0,0,0,0,0,1
1171.HK,0,0,0,0,0,0,1,0
1308.HK,0,0,0,0,0,1,0,0
1336.HK,1,0,0,0,0,0,0,0
1339.HK,1,0,0,0,0,0,0,0
1357.HK,0,0,0,0,0,0,0,1
1398.HK,0,1,0,0,0,0,1,0
1585.HK,1,0,0,0,0,0,0,0
1776.HK,0,0,0,0,0,0,0,1
1801.HK,0,1,0,0,0,0,0,0
1876.HK,0,0,0,0,0,0,1,0
1882.HK,0,0,0,0,0,0,1,0
1888.HK,0,0,0,0,0,0,0,1
1913.HK,0,0,0,0,0,1,0,0
1919.HK,1,0,0,0,0,0,0,1
1928.HK,0,0,0,0,0,0,1,0
1929.HK,0,0,0,0,0,0,0,1
1988.HK,0,0,0,0,0,0,0,1
2076.HK,0,0,0,0,0,0,1,1
2099.HK,1,0,0,0,0,0,0,0
2282.HK,0,0,0,0,0,0,0,1
2328.HK,0,0,0,0,0,0,1,0
2338.HK,0,0,0,0,0,0,1,0
2378.HK,0,0,0,0,0,0,1,0
2600.HK,1,0,0,0,0,0,0,0
2688.HK,0,0,0,0,0,0,0,1
2799.HK,0,0,0,0,0,1,0,1
3328.HK,0,0,0,0,0,0,2,0
3800.HK,0,0,1,0,0,0,0,0
3808.HK,0,0,1,0,0,0,0,1
9633.HK,0,1,0,0,0,0,0,0
9888.HK,0,1,0,0,0,0,0,0
9896.HK,0,1,0,0,0,0,0,0
9988.HK,1,0,0,0,0,0,0,0
