sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0001.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,50.0
0003.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0004.HK,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,85.71
0005.HK,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,100.0
0006.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
0008.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
0011.HK,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0012.HK,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,71.43
0016.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
0019.HK,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,80.0
0020.HK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0023.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0027.HK,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,8.0,50.0
0083.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0101.HK,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,5.0,40.0
0135.HK,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,57.14
0136.HK,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,60.0
0144.HK,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,75.0
0151.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
0168.HK,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,100.0
0175.HK,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,77.78
