index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,HHHL_PATTERN,WLow,WLDate,WHigh,WHDate,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,DT,XGB,LGBM,LR,MLP,RF,SVM,VOTING,BOSS_PATTERN,LLDate,HHDate,EMA250,SNO
2026-03-02,1138.HK,20.89999961853028,21.36000061035156,18.07999992370605,20.5,20.5,155757245,0.0,0.0,0.0,18.300991208718152,16.563083714025396,14.223267648236751,12.208619679725397,True,True,True,False,3.280000686645508,0.7335715975080224,1.1003573962620337,HL,21.36000061035156,20.5,18.07999992370605,-0.15,15.0,13.43000030517578,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,16.1299991607666,2026-02-13,20.920000076293945,2026-02-25,True,67.13535517941139,45.84647581049639,6.624610739744768,76.79499088005937,16.811304872602257,19.19430515107516,14.428304594129354,28.349973979194548,1.909916270671481,3.6197239115915374,1,13.107000064849853,16.474500131607055,True,118.55010394338224,75.81475358723863,20.920000076293945,False,-2.0076485409284466,-21.7%,-21.731703984937177,True,2,True,True,False,True,False,True,True,76.8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,HLHHLL,2026-03-03,2026-03-04,9.897633374244409,1138.HK
2026-02-26,1199.HK,6.320000171661377,6.380000114440918,6.260000228881836,6.309999942779541,6.309999942779541,1883566,0.0,0.0,0.0206022370237382,6.242951064685593,6.143591716456922,6.00310627223129,5.847001641944493,True,True,True,False,0.119999885559082,0.128823532777674,0.193235299166511,HL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,6.119999885559082,2026-02-13,6.480000019073486,2026-02-25,True,28.29497224429028,22.99465840625284,6.417077800409825,72.97296078211528,6.15838907161819,6.455389098321071,5.86138904491531,9.645380415201348,1.218577879712356,0.6929244238199089,1,5.943400030136108,6.1625,True,8.419239805250534,8.23327659270974,6.480000019073486,False,-2.623457959777167,-8.7%,-8.740365391220905,False,1,False,False,False,False,False,True,True,73.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,5.486388109155878,1199.HK
2026-03-02,0012.HK,35.119998931884766,35.459999084472656,33.79999923706055,34.84000015258789,34.84000015258789,14993394,0.0,0.0,0.0,34.18645541353038,33.10249205186264,31.65917626787746,30.24855797150538,True,True,True,False,1.6599998474121094,0.8625005483627315,1.2937508225440972,HL,35.459999084472656,34.84000015258789,33.79999923706055,-0.05,32.060001373291016,30.520000457763672,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,LLHHHLHHHL,30.520000457763672,2026-02-02,35.65999984741211,2026-02-24,True,54.225925810762575,35.380069668378084,6.578954706630964,67.78351567051004,33.25404825989782,35.15604887787878,31.352047641916865,11.439212471912148,1.2885564297627206,1.3239919142283825,1,31.076399993896484,32.997999858856204,True,20.637123147558583,9.836068432447428,35.65999984741211,False,-2.299494386800249,-17.1%,-17.076731129179446,False,1,False,False,False,True,False,True,True,67.8,True,True,False,True,True,False,False,False,False,False,False,False,False,False,HLLHLL,2026-03-03,2026-03-04,27.90750701259255,12.HK
2026-02-27,0144.HK,16.799999237060547,17.479999542236328,16.799999237060547,17.479999542236328,17.479999542236328,10793591,0.0,0.0,-0.0143020598711077,16.77279451051673,16.3584180161849,15.957510184638425,15.653155770331267,True,True,True,False,0.6800003051757812,0.381249845027924,0.571874767541886,HL,17.850000381469727,17.229999542236328,17.059999465942383,-0.04,15.800000190734863,15.369999885559082,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,15.800000190734863,2026-02-20,17.43000030517578,2026-02-25,True,49.63447183399869,34.30654038072063,12.700725780818953,74.486784901745,16.411935651874632,17.288935697651,15.534935606098264,10.687344434916708,1.9611755339134729,3.532686637538839,1,15.711399936676026,16.35149989128113,True,8.101419046144036,15.075707867763102,17.43000030517578,False,0.2868573504597115,7.4%,7.443508141049504,True,2,True,False,False,True,True,True,True,74.5,True,False,False,True,True,False,False,False,False,False,False,False,False,False,HLHHHL,2026-03-02,2026-03-03,14.829870504052218,144.HK
2026-02-26,0148.HK,39.459999084472656,41.0,39.13999938964844,40.79999923706055,40.79999923706055,6918856,0.0,0.0,-0.0073529226144701,36.885246947814565,34.41045025024621,31.7418658071978,29.729784960883485,True,True,True,False,1.8600006103515625,1.2399996519088743,1.8599994778633115,HL,41.880001068115234,40.5,39.720001220703125,-0.05,31.65999984741211,30.18000030517578,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,LLHHHLHHHL,34.5,2026-02-13,41.20000076293945,2026-02-25,True,41.94086855961647,47.44852869923361,6.893468099938588,88.7022922547659,34.72284892697992,37.61884940763178,31.826848446328064,16.680661697673326,2.1706038006148862,0.904367797360252,1,30.64159996032715,33.94099988937378,True,50.99925442576172,40.689652541588096,41.20000076293945,False,-0.9708774720186868,-21.6%,-21.56522401447585,False,1,False,False,False,True,True,True,True,88.7,True,True,False,True,False,False,False,False,False,True,False,False,False,False,HLHHHL,2026-03-02,2026-03-03,26.62991523301858,148.HK
2026-02-27,0016.HK,136.3000030517578,146.5,134.89999389648438,146.0,146.0,15947880,0.0,0.0,-0.0068493150684931,136.28652881817098,129.35375691072088,118.62307441100668,109.21794727446785,True,True,True,False,11.600006103515623,3.393333943684898,6.786667887369796,HL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,LLHHHLHHHL,118.1999969482422,2026-02-02,141.89999389648438,2026-02-24,True,44.46199212005562,37.94642167837563,7.291667612771964,82.43626699080431,130.4152712973329,139.42527190768448,121.40527068698134,13.81740116893171,2.208247739567642,2.6237598676523164,1,113.48599960327148,130.37499961853027,True,50.36045550393252,36.96060233569694,141.89999389648438,True,2.8893631288712864,-28.7%,-28.700257262987105,False,1,False,False,False,True,True,True,True,82.4,True,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,97.11986716550328,16.HK
2026-02-27,2357.HK,4.260000228881836,4.269999980926514,4.159999847412109,4.25,4.25,32725809,0.0,0.0,0.0,4.256041992133164,4.2340314323871615,4.189625030660796,4.1644755799193485,False,True,True,False,0.1100001335144043,0.1066666762034098,0.1600000143051147,HL,4.380000114440918,4.25,4.199999809265137,-0.04,4.110000133514404,3.990000009536743,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,4.110000133514404,2026-02-20,4.380000114440918,2026-02-26,True,20.98995585230608,15.686283676219611,22.87580049391581,58.13957614610329,4.23733950617754,4.482339558629628,3.992339453725453,11.563862281740988,0.4819333823141628,1.4600883292299385,1,4.16719997882843,4.214499950408936,True,5.19802079529357,-5.133928975318462,4.380000114440918,False,-2.9680390649375985,-4.0%,-3.999623233850935,False,1,False,False,False,True,False,True,False,58.1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,HLLHHL,2026-03-02,2026-03-03,4.0985913728242505,2357.HK
2026-02-25,2388.HK,43.34000015258789,43.65999984741211,42.959999084472656,43.220001220703125,43.220001220703125,8395071,0.0,0.0,-0.0101805282040453,43.16883237180153,42.192576143466766,40.75999806215712,39.29726743622232,True,True,True,False,0.7000007629394531,0.7150001525878915,1.0725002288818373,HL,44.900001525878906,42.77999877929688,42.70000076293945,-0.05,40.900001525878906,39.119998931884766,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,40.18000030517578,2026-02-02,44.540000915527344,2026-02-23,True,44.559858625590095,28.52291910414858,14.940559711171064,63.48773502094708,42.33905632387505,44.03505623232231,40.643056415427786,8.011514925952122,0.7343543774895582,0.8707011953152125,1,40.1936001586914,42.1040002822876,True,16.120364866249872,11.737334228820687,44.540000915527344,False,-2.9636274532810933,-18.8%,-18.77722194723628,False,1,False,False,False,False,False,True,True,63.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,HLHHLL,2026-02-27,2026-03-02,35.76649054375105,2388.HK
2026-03-02,2643.HK,34.5,38.20000076293945,34.5,35.08000183105469,35.08000183105469,2682340,0.0,0.0,0.0,35.911488599350626,35.39216540880657,36.77112711750496,40.17659440860698,False,False,False,False,3.700000762939453,1.8679999033610024,2.8019998550415037,HL,38.20000076293945,35.08000183105469,34.5,-0.1,33.70000076293945,31.6200008392334,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,LLHHHLHHHL,33.97999954223633,2026-02-20,39.34000015258789,2026-02-25,True,22.21460432602091,31.234561294849417,16.29629668875484,58.36627425712668,35.42196168582088,39.89996175448543,30.943961617156333,25.28374971653281,0.0618318687853525,0.0429038677526592,1,34.367599906921384,34.975,True,-31.148181931782133,11.082969967714604,39.34000015258789,False,-10.828668797686746,25.0%,25.013831981052785,False,1,False,False,False,False,False,True,True,58.4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,HLLHLL,2026-03-03,2026-03-04,,2643.HK
2026-02-26,0270.HK,7.650000095367432,7.699999809265137,7.5,7.570000171661377,7.570000171661377,6021648,0.0,0.0,0.0105680213859886,7.598111657831887,7.465214246846372,7.320865666312206,7.219449404268507,False,True,True,False,0.1999998092651367,0.1411765042473288,0.2117647563709932,HL,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,HLHHHLHHHL,7.420000076293945,2026-02-13,7.789999961853027,2026-02-25,True,53.057010150974,16.826919109158116,11.538450957754977,60.759499019164025,7.485068184000111,7.8060682354985245,7.164068132501698,8.577077552468385,0.4320455821145068,0.8448823640890074,1,7.150799989700317,7.484500002861023,True,2.574526480679502,7.988586654709233,7.789999961853027,False,-2.824130825018881,9.1%,9.059027148245292,True,2,True,True,False,False,False,True,True,60.8,True,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,6.8189291530982885,270.HK
