index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,HLLow,HHHLHHHL,SNO
2025-11-06,1179.HK,31.979999542236328,32.400001525878906,31.600000381469727,31.799999237060547,31.799999237060547,1006547,0.0,0.0,30.74675288188008,30.244973521531232,29.471316706782016,28.62739156098988,27.740267784631897,True,True,True,False,0.8000011444091797,0.7357894495913859,1.1036841743870789,HH,HHHLHHHL,31.1200008392334,2025-11-07,35.380001068115234,2025-11-13,35.41999816894531,0.14,28.39999961853028,28.34000015258789,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,1179.HK
2025-11-13,1208.HK,7.119999885559082,7.420000076293945,7.119999885559082,7.369999885559082,7.369999885559082,57209721,0.0,0.0,6.98580905250722,6.829483592480954,6.342329631975249,5.520001364130991,4.282806643390335,True,True,True,False,0.3000001907348633,0.3043750524520874,0.4565625786781311,HH,HHHLHHHL,6.289999961853027,2025-11-21,8.199999809265137,2025-12-04,8.65999984741211,0.38,6.210000038146973,6.210000038146973,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,1208.HK
2025-11-13,1258.HK,14.859999656677246,15.529999732971191,14.859999656677246,15.43000030517578,15.43000030517578,11789200,0.0,0.0,14.516982026479551,14.224726450739922,13.196218593380246,11.392194888357508,8.796530324407634,True,True,True,False,0.6700000762939453,0.7344442473517524,1.1016663710276289,HH,HHHLHHHL,13.100000381469728,2025-11-21,16.049999237060547,2025-12-04,17.549999237060547,0.34,12.850000381469728,12.850000381469728,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,1258.HK
2025-12-29,1378.HK,33.380001068115234,33.7599983215332,31.600000381469727,31.76000022888184,31.76000022888184,32666778,0.0,0.0,31.754482367709244,31.599434035663982,30.34719190844326,27.62520069107502,21.88245627139353,True,True,True,False,2.159997940063477,1.034285954066686,1.551428931100029,HH,HHHLHHHL,30.84000015258789,2025-12-30,33.220001220703125,2026-01-05,35.18000030517578,0.14,29.89999961853028,29.89999961853028,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,1378.HK
2025-12-09,0148.HK,27.86000061035156,28.5,27.86000061035156,28.1200008392334,27.41083335876465,2744000,0.0,0.0,27.1429361729199,26.93605365781261,26.990396827360037,26.62499100724265,24.4370852510684,False,False,False,False,0.639999389648441,0.6012496948242185,0.9018745422363278,HH,HHHLHHHL,25.89999961853028,2025-12-17,29.15999984741211,2025-12-29,30.479999542236328,0.18,25.68000030517578,25.100000381469727,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,148.HK
2025-11-27,1729.HK,16.31999969482422,17.389999389648438,16.010000228881836,16.440000534057617,16.440000534057617,19911849,0.0,0.0,15.161386867393771,14.934219824423083,14.585208105797973,13.107149026827452,9.61548406073565,True,True,True,False,1.3799991607666016,0.9474998712539674,1.4212498068809511,HH,HHHLHHHL,15.5,2025-12-05,16.68000030517578,2025-12-09,17.639999389648438,0.14,13.119999885559082,13.119999885559082,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,1729.HK
2025-11-20,2057.HK,148.1999969482422,152.89999389648438,147.39999389648438,149.3000030517578,149.3000030517578,2844918,0.0,0.0,147.47309429298235,147.2050054599862,147.36662556103096,147.7438867419274,150.73953967094775,False,False,False,True,5.5,3.438889397515191,6.877778795030382,HH,HHHLHHHL,145.10000610351562,2025-11-24,168.8000030517578,2025-12-05,169.8000030517578,0.17,142.10000610351562,140.60000610351562,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,2057.HK
2025-11-13,2099.HK,137.6999969482422,148.39999389648438,137.6999969482422,147.3000030517578,147.3000030517578,3293540,0.0,0.0,135.63076582483797,133.29072283990286,126.0219040950259,109.95053743692873,82.53501916951427,True,True,True,False,10.699996948242188,5.799999713897705,11.59999942779541,HH,HHHLHHHL,129.60000610351562,2025-11-18,164.89999389648438,2025-12-04,171.89999389648438,0.33,120.0,118.5999984741211,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,2099.HK
2025-11-13,2318.HK,60.70000076293945,61.150001525878906,60.0,60.95000076293945,60.95000076293945,51994745,0.0,0.0,58.58386602727988,57.11371774421711,55.79830843879936,54.13455184886855,49.89191577106273,True,True,True,False,1.1500015258789062,1.1357138497488823,2.2714276994977647,HH,HHHLHHHL,56.150001525878906,2025-12-03,65.25,2025-12-15,66.25,0.18,56.29999923706055,55.54999923706055,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,2318.HK
2025-11-13,2899.HK,32.84000015258789,34.040000915527344,32.84000015258789,34.0,34.0,62280396,0.0,0.0,32.61528430604063,32.26183471963226,30.66945699264805,27.61002481034049,22.63508924307445,True,True,True,False,1.2000007629394531,1.2737504243850708,1.9106256365776064,HH,HHHLHHHL,29.65999984741211,2025-11-24,34.400001525878906,2025-12-05,34.400001525878906,0.16,29.059999465942383,29.059999465942383,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,2899.HK
2025-12-29,0358.HK,40.959999084472656,41.97999954223633,39.34000015258789,39.65999984741211,39.65999984741211,50918848,0.0,0.0,36.33550586857391,34.80038880851465,32.63707374150229,29.00452531634463,22.61647565697753,True,True,True,False,2.639999389648437,1.6149996519088747,2.422499477863312,HH,HHHLHHHL,37.560001373291016,2025-12-30,42.459999084472656,2026-01-05,44.5,0.18,33.060001373291016,30.21999931335449,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0,True,358.HK
