index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,BOSS_PATTERN,LLDate,HHDate,HHHL_PATTERN,WLDate,WHDate,SNO
2025-10-09,0001.HK,51.650001525878906,52.75,51.5,52.0,52.0,7796261,0.0,0.0,-0.021153816810021,0.0105769084050104,0.0278846300565278,51.16640097280656,51.15662351006777,50.83199357763233,49.44223110203114,46.39290559316326,True,True,True,True,1.25,0.8511769911822142,1.7023539823644285,50.09999847412109,51.54999923706055,52.29999923706055,0.04,49.63999938964844,49.63999938964844,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,51.95000076293945,50.20000076293945,False,18.482841982291937,20.96894401029181,26.39190920194231,47.71242644858885,51.1534295395969,52.97642987529026,49.33042920390354,7.127578158888478,0.9118218156875996,0.9699316358872792,1,51.32200012207032,51.22749996185303,True,-2.4390229937501227,1.2658257939510853,52.900001525878906,False,-1.7013260868028928,27.6%,27.568307934872504,False,1,False,False,False,True,False,False,False,47.7,True,False,False,True,False,False,HH,HHLLLH,2025-10-17,2025-10-21,LHLLLHHLHH,2025-10-02,2025-10-08,1.HK
2025-10-10,0001.HK,51.79999923706055,52.150001525878906,51.45000076293945,52.04999923706055,52.04999923706055,5573004,0.0,0.0,-0.0172910225624138,0.0163304957017778,0.0509126141156992,51.32705520267092,51.23430835589323,50.87975850545305,49.493870075002015,46.43798203654093,True,True,True,True,0.7000007629394531,0.8541181227740111,1.7082362455480222,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,18.131155171953356,21.67417251320616,23.16891747028075,54.411756456098985,51.23881712983153,53.06681738923094,49.41081687043212,7.135216469839769,0.9768337974004724,0.1853239435940552,1,51.31200012207032,51.225,True,-0.9514747997320204,1.759526264581428,52.900001525878906,False,-1.606809573346675,25.9%,25.924050130357543,False,1,False,False,False,False,False,False,False,54.4,True,False,False,False,False,False,,,,,,,,1.HK
2025-10-13,0001.HK,51.34999847412109,51.5,50.150001525878906,51.09999847412109,51.09999847412109,10211425,0.0,0.0,0.0146771041564675,0.0381604857371378,0.0724070621022283,51.285772161116405,51.22262923573914,50.88839536696944,49.52567459775685,46.47512957787623,False,True,True,True,1.3499984741210938,0.8543756008148189,1.7087512016296378,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,17.882444268225154,20.81841548487745,25.48455965030755,54.01459610120924,51.22559630547816,53.158596488583626,49.292596122372686,7.547009005334903,0.0861074472952534,1.8823344385530136,1,51.30600006103515,51.16999988555908,False,-0.5836635074938157,-0.77670199199789,52.900001525878906,False,-3.4026521736058,24.1%,24.05788986824069,False,1,False,False,False,True,False,False,False,54.0,True,False,False,True,False,False,,,,,,,,1.HK
2025-10-14,0001.HK,51.09999847412109,51.25,50.54999923706055,50.70000076293945,50.70000076293945,8978636,0.0,0.0,0.0325443330641475,0.0897435733450027,0.0887573951140725,51.17926827053877,51.17718328158265,50.88100734328199,49.54892858122581,46.50879389010781,False,True,True,True,0.7000007629394531,0.8575005531311031,1.715001106262206,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,16.2418819205974,21.44974291706405,22.485213110933515,54.01459610120931,51.17553958714114,53.10853977024661,49.24253940403567,7.554391018443407,0.5030141112565297,1.173837538444667,1,51.31000007629394,51.08249988555908,False,0.3960411147315903,-1.2658183651343506,52.900001525878906,False,-4.158791492403272,21.5%,21.527559121180783,False,1,False,False,False,True,False,False,True,54.0,True,False,False,True,False,False,,,,,,,,1.HK
2025-10-15,0001.HK,51.20000076293945,51.59999847412109,50.900001525878906,51.45000076293945,51.45000076293945,4523631,0.0,0.0,0.0,0.0699708147859592,0.0670554074204128,51.22849236006616,51.20090654083107,50.90332081071955,49.58657357492311,46.54816605642519,True,True,True,True,0.6999969482421804,0.8776473999023429,1.7552947998046855,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,15.52853697948886,23.75734392153778,21.63742575908456,57.71813420776131,51.201678746740974,53.14467877725855,49.2586787162234,7.589595021398579,0.5260535701390299,0.9123157188740456,1,51.33100006103515,51.05999984741211,True,2.0833317564909266,-0.4835589870613883,52.75,False,-2.4644535299726007,19.1%,19.117799270459823,False,1,False,False,False,False,False,False,True,57.7,True,False,False,False,False,False,,,,,,,,1.HK
2025-10-27,0001.HK,51.59999847412109,52.04999923706055,51.5,51.84999847412109,51.84999847412109,4958926,0.0,0.0,0.0231436990984366,0.0568949054918841,0.0501446936419112,51.19496154850595,51.15829756887625,50.95361317035332,49.80660578417674,46.82833487822993,True,True,True,True,0.5499992370605469,0.8773685254548722,1.7547370509097444,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,8.88959591822766,26.666675589939903,21.40351487732735,58.33333740886894,51.158967241601424,53.12496684487291,49.19296763832994,7.685845548784941,1.2861012217637873,0.4330676557936836,1,51.29200012207031,51.11500015258789,True,-0.2884644728440642,-0.6705024592008404,52.75,False,-1.7061640301022054,0.3%,0.3437863450596712,False,1,False,False,False,False,False,False,True,58.3,True,False,False,False,False,False,,,,,,,,1.HK
2025-10-28,0001.HK,52.0,52.650001525878906,51.79999923706055,52.34999847412109,52.34999847412109,7714776,0.0,0.0,0.0553964013449306,0.05444130605328,0.03629420403552,51.40496826225416,51.26192373454971,51.00837337834422,49.856969995858805,46.8723321977191,True,True,True,True,0.8500022888183594,0.8727779388427734,1.7455558776855469,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,7.316768083452209,31.541236476279945,21.146963500312328,56.95364506097203,51.27239878755567,53.22739871126173,49.31739886384962,7.625935083733795,2.0723836024317923,0.8716147669803529,1,51.31000007629394,51.247500038146974,True,1.749266662460229,-0.1906621303407623,52.75,False,-0.7582967315240063,-1.0%,-1.0496158971306846,False,1,False,False,False,True,True,False,True,57.0,True,False,False,True,False,False,,,,,,,,1.HK
2025-10-30,0001.HK,52.45000076293945,52.45000076293945,51.20000076293945,51.45000076293945,51.45000076293945,6661449,0.0,0.0,0.0699708147859592,0.0670554074204128,0.0505344691072178,51.41315598965148,51.27827825875752,51.02569209930874,49.88851515956337,46.90880764445392,True,True,True,True,1.25,0.8777779473198785,1.755555894639757,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,7.098669830509864,21.818187871256782,25.8181834323352,46.45161258566469,51.28931326140175,53.24931310881385,49.32931341398964,7.642917102136841,0.33189252371755,0.4642657880530757,1,51.31600006103515,51.275,True,0.586508754860476,-0.8670534676479136,52.75,False,-2.4644535299726007,-2.6%,-2.561383056172073,False,1,False,False,False,False,False,False,False,46.5,True,False,False,False,False,False,,,,,,,,1.HK
2025-10-31,0001.HK,51.54999923706055,51.900001525878906,51.0,51.5,51.5,6507182,0.0,0.0,0.0592232861565154,0.0669903060764942,0.0757281849685225,51.42894580971485,51.29755841016991,51.04429240913977,49.9204257504631,46.945390850474205,True,True,True,True,0.9000015258789062,0.8888891008165147,1.7777782016330297,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,7.606847913314267,21.50538104868916,26.523308762484632,46.45161258566469,51.309378665077766,53.28937858878382,49.32937874137171,7.717886964215697,0.4012343168064491,0.382545333081234,1,51.31600006103515,51.2875,True,0.0,-1.0566748225212987,52.75,False,-2.3696682464454977,-4.1%,-4.1312402298253055,False,1,False,False,False,False,False,False,False,46.5,True,False,False,False,False,False,,,,,,,,1.HK
2025-11-03,0001.HK,51.5,52.150001525878906,51.45000076293945,52.04999923706055,52.04999923706055,3815805,0.0,0.0,0.0489913405271462,0.0739673841546781,0.051873214265429,51.5418646146868,51.36298804729084,51.08373189258764,49.962595522474935,46.98606502088525,True,True,True,True,0.7000007629394531,0.8916668362087674,1.7833336724175348,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,7.961619278908306,25.4901960784313,18.82354137944245,56.46260162812612,51.37991395764755,53.359913881353606,49.3999140339415,7.707291706787078,1.3390050369767754,0.9234276058445124,1,51.33200004577636,51.310000038146974,True,1.56097412109375,-0.5730644619003048,52.75,False,-1.3270156643401956,-5.6%,-5.553889951684132,False,1,False,False,False,False,False,False,True,56.5,True,False,False,False,False,False,,,,,,,,1.HK
