Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,BOSS1,bullish_count,bullish_ratio,strong_bullish,medium_bullish,weak_bullish
2025-09-26,3866.HK,4.260000228881836,4.389999866485596,4.230000019073486,4.28000020980835,4.28000020980835,7098000,0.0,0.0,4.276046979891002,4.287266514403183,4.2501778158766825,4.06771042217625,3.507494528574834,False,False,False,False,LH,LHLLHH,4.090000152587891,2025-10-13,4.449999809265137,2025-10-17,True,3,0.75,0,3,0
2025-10-03,3633.HK,3.5999999046325684,3.5999999046325684,3.359999895095825,3.4200000762939453,3.4200000762939453,1122000,0.0,0.0,3.4385613098826973,3.5443833776015903,3.686660068699601,3.846791514201102,4.152332120967931,False,False,False,False,LH,LHLLHH,3.0299999713897705,2025-10-13,4.03000020980835,2025-10-17,True,3,0.75,1,0,2
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,5.988985671013964,6.004624256280455,6.121012546975529,6.084046103453654,5.404309856467998,False,False,False,False,LH,LHLLHH,5.639999866485596,2025-10-08,6.630000114440918,2025-10-17,True,5,0.71,3,1,1
2025-09-26,2517.HK,3.2799999713897705,3.400000095367432,3.1600000858306885,3.1600000858306885,3.1600000858306885,24378573,0.0,0.0,3.2043766545379264,3.2598376173945898,3.287751538801832,3.1377873152785165,3.066574392267777,False,False,False,False,LH,LHLLHH,3.059999942779541,2025-10-09,3.650000095367432,2025-10-16,True,4,0.8,1,3,0
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870347,7.162645361895675,6.34464633727836,False,False,True,False,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,True,3,0.75,2,0,1
2025-09-22,1119.HK,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.149999976158142,1.149999976158142,9894800,0.0,0.0,1.1030220099139587,1.1034076238126294,1.0721653420526982,1.076938497793949,1.4068910716140834,False,False,False,False,LH,LHLLHH,0.9900000095367432,2025-09-26,1.190000057220459,2025-10-03,True,4,1.0,1,2,1
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.980000019073486,27817814,0.0,0.0,5.889090020169905,6.04774150450052,6.204497864277038,6.069156237176129,5.687372758311526,False,False,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,True,5,0.83,3,2,0
2025-10-02,999.HK,10.550000190734863,10.550000190734863,9.93000030517578,9.93000030517578,9.93000030517578,224189,0.0,0.0,10.391150980013355,10.65160030843563,10.51609176719176,10.104255587452698,9.501075444181652,False,False,False,False,LH,LHLLHH,9.600000381469728,2025-10-06,10.9399995803833,2025-10-18,True,5,0.62,2,1,2
2025-09-19,863.HK,15.420000076293944,16.489999771118164,15.390000343322754,16.239999771118164,16.239999771118164,19885746,0.0,0.0,15.602998615569168,15.808401927013062,15.714316074313263,14.595060813865352,11.780200837197404,False,False,False,False,LH,LHLLHH,14.220000267028809,2025-09-26,17.290000915527344,2025-10-06,True,4,0.8,1,0,3
2025-09-18,855.HK,6.170000076293945,6.239999771118164,6.059999942779541,6.119999885559082,5.966230869293213,1394000,0.0,0.0,5.983964845430903,6.002386649853192,6.027643762633825,5.944498573926585,5.556502113918963,False,False,True,False,LH,LHLLHH,5.769999980926514,2025-09-26,6.489999771118164,2025-10-10,True,7,0.88,4,2,1
2025-09-18,85.HK,1.6200000047683716,1.7000000476837158,1.590000033378601,1.6100000143051147,1.6100000143051147,11374000,0.0,0.0,1.6136123196516672,1.6344506674956774,1.5948451798069,1.5113680090349872,1.3761972914888638,False,False,False,False,LH,LHLLHH,1.5099999904632568,2025-09-23,1.7400000095367432,2025-10-09,True,6,0.6,3,2,1
