Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,T1_50,SNO
2025-08-26,3633.HK,3.75,3.880000114440918,3.75,3.759999990463257,3.759999990463257,2325710,0.0,0.0,3.7735344947424174,3.8101887878240106,3.908996259218105,4.028007572334005,4.283990809027296,False,False,LH,LHLLHH,3.5799999237060547,2025-09-16,4.0,2025-09-18,6.849999904632568,3.5999999046325684,SB1-2025/08/26,False,False,False,False,False,True,1.0,2.0,0.0,1.0,1.0,5.21,6.849999904632568,8.489999809265136,False,3633.HK
2025-09-22,3633.HK,3.740000009536743,3.799999952316284,3.509999990463257,3.660000085830689,3.660000085830689,24204000,0.0,0.0,3.71189098835245,3.7270957350950793,3.8033009010714895,3.927920371254933,4.203349874492019,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/08/26,False,False,False,True,False,False,0.0,,,,,,,,False,3633.HK
2025-09-29,3618.HK,6.090000152587891,6.210000038146973,6.059999942779541,6.130000114440918,6.130000114440918,16356592,0.0,0.0,5.988985671013964,6.004624256280455,6.121012546975529,6.084046103453941,5.4043098566937084,False,False,LH,LHLLHH,5.639999866485596,2025-10-08,6.630000114440918,2025-10-17,6.690000057220459,5.710000038146973,SB1-2025/09/29,False,False,False,False,False,True,0.71,5.0,3.0,1.0,1.0,6.16,6.690000057220459,7.220000114440918,False,3618.HK
2025-09-03,3336.HK,1.2100000381469729,1.2300000190734863,1.2000000476837158,1.2000000476837158,1.2000000476837158,514000,0.0,0.0,1.258018110485711,1.2689730819710987,1.283887194461942,1.298499832997681,1.2637256433031858,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/08/25,False,False,False,True,False,False,0.0,,,,,,,,False,3336.HK
2025-10-13,2276.HK,39.540000915527344,39.540000915527344,38.040000915527344,39.040000915527344,39.040000915527344,1288045,0.0,0.0,41.57674394910928,42.65407049063667,42.705540871703285,39.839571160026416,31.307212483784312,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/08/06,False,False,False,True,False,False,0.0,,,,,,,,False,2276.HK
2025-09-16,2160.HK,1.5099999904632568,1.5499999523162842,1.440000057220459,1.5,1.5,11834112,0.0,0.0,1.4600320984071655,1.4329208621755425,1.334254090704091,1.1965833537619803,1.081718416632791,True,True,LH,LHLLHH,1.2400000095367432,2025-09-26,1.5700000524520874,2025-10-06,1.590000033378601,1.2799999713897705,SB1-2025/09/16,False,False,False,False,False,True,0.8,4.0,1.0,2.0,1.0,1.42,1.590000033378601,1.7600000667572022,False,2160.HK
2025-10-17,2160.HK,1.2899999618530271,1.2899999618530271,1.2300000190734863,1.2300000190734863,1.2300000190734863,9359000,0.0,0.0,1.3304959083080434,1.364199766049154,1.3495620256181626,1.2540341359803788,1.1256318529519211,False,False,LL,LLLLLH,1.1699999570846558,2025-10-23,1.2200000286102295,2025-11-01,1.25,1.2300000190734863,CL1-2025/09/16,False,False,False,True,False,False,0.0,,,,,,,,False,2160.HK
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870086,7.162645361828457,6.344646336002588,False,False,LH,LHLLHH,7.590000152587891,2025-09-25,8.300000190734863,2025-10-02,8.34000015258789,7.599999904632568,SB1-2025/09/22,False,False,False,False,False,True,0.75,3.0,2.0,0.0,1.0,7.97,8.34000015258789,8.710000305175782,False,2039.HK
2025-10-13,2039.HK,7.53000020980835,7.78000020980835,7.5,7.739999771118164,7.739999771118164,1524960,0.0,0.0,7.943130201399958,7.973286091171869,7.846875223502422,7.341852385201534,6.502584951977914,False,False,LL,LLLLLH,7.099999904632568,2025-10-23,7.409999847412109,2025-11-01,7.460000038146973,7.360000133514404,CL1-2025/09/22,False,False,False,True,False,False,0.0,,,,,,,,False,2039.HK
2025-08-26,1939.HK,9.09000015258789,9.600000381469728,8.260000228881836,8.399999618530273,8.399999618530273,3347000,0.0,0.0,8.474833226188482,7.916766646007124,6.322102900705092,4.549136446726975,2.636335913143292,True,True,LH,LHLLHH,5.349999904632568,2025-09-09,10.199999809265137,2025-10-08,10.479999542236328,7.079999923706055,SB1-2025/08/26,False,False,False,False,False,True,0.68,13.0,7.0,2.0,4.0,7.91,10.479999542236328,13.049999084472656,False,1939.HK
2025-10-09,1883.HK,2.4200000762939453,2.450000047683716,2.4100000858306885,2.430000066757202,2.430000066757202,2481111,0.0,0.0,2.437516203223307,2.4583230470754542,2.4634735012003435,2.413693692787487,2.3139374054617274,False,False,LH,LHLLHH,2.380000114440918,2025-10-13,2.490000009536743,2025-10-24,2.5,2.390000104904175,SB1-2025/10/09,False,False,False,False,False,True,0.67,6.0,2.0,3.0,1.0,2.44,2.5,2.56,False,1883.HK
2025-09-01,1606.HK,1.7300000190734863,1.7400000095367432,1.659999966621399,1.690000057220459,1.690000057220459,11646000,0.0,0.0,1.7083373370075203,1.710666014595623,1.6422157205553896,1.510054705731285,1.3717633333447263,False,False,LH,LHLLHH,1.6399999856948853,2025-09-24,1.809999942779541,2025-10-09,1.820000052452088,1.649999976158142,SB1-2025/09/01,False,False,False,False,False,True,0.67,6.0,2.0,1.0,3.0,1.73,1.820000052452088,1.9100001049041757,False,1606.HK
2025-09-01,1578.HK,2.470000028610229,2.549999952316284,2.430000066757202,2.450000047683716,2.450000047683716,715500,0.0,0.0,2.4799605773233377,2.4894584029997837,2.440301017747289,2.274935491933991,1.9834636367935303,False,False,LH,LHLLHH,2.3499999046325684,2025-09-04,2.569999933242798,2025-09-09,2.640000104904175,2.400000095367432,SB1-2025/09/01,False,False,False,False,False,True,1.0,3.0,1.0,0.0,2.0,2.5,2.640000104904175,2.7800002098083496,False,1578.HK
2025-10-06,1448.HK,2.9800000190734863,3.0,2.880000114440918,2.900000095367432,2.7909722328186035,4048100,0.0,0.0,2.8144910190041585,2.888028477340761,3.0485172077409293,3.192413727406137,3.4021537409130844,False,False,LH,LHLLHH,2.740000009536743,2025-10-13,3.039999961853028,2025-10-24,3.049999952316284,2.7699999809265137,SB1-2025/10/06,False,False,False,False,False,True,0.78,7.0,3.0,2.0,2.0,2.89,3.049999952316284,3.209999904632568,False,1448.HK
2025-10-24,1121.HK,1.309999942779541,1.350000023841858,1.2599999904632568,1.2899999618530271,1.2899999618530271,1238000,0.0,0.0,1.356981765205056,1.413942273671088,1.4824236353908755,1.5627012521763373,2.041065388852939,False,False,LL,LL-LLH,1.2599999904632568,2025-10-29,1.2899999618530271,2025-10-31,1.350000023841858,1.2599999904632568,CL1-2025/08/19,False,False,False,True,False,False,0.0,,,,,,,,False,1121.HK
2025-09-19,0863.HK,15.420000076293944,16.489999771118164,15.390000343322754,16.239999771118164,16.239999771118164,19885746,0.0,0.0,15.602998615569168,15.808401927013062,15.714316074313263,14.595060813865352,11.780200837197404,False,False,LH,LHLLHH,14.220000267028809,2025-09-26,17.290000915527344,2025-10-06,17.65999984741211,14.600000381469728,SB1-2025/09/19,False,False,False,False,False,True,0.8,4.0,1.0,0.0,3.0,15.94,17.65999984741211,19.37999969482422,False,863.HK
2025-10-15,0799.HK,4.079999923706055,4.179999828338623,4.019999980926514,4.179999828338623,4.179999828338623,3198742,0.0,0.0,4.33262234135497,4.4246951529791865,4.435209611562702,4.293154800240329,3.952292187493711,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/07/25,False,False,False,True,False,False,0.0,,,,,,,,False,799.HK
2025-09-30,0639.HK,2.759999990463257,2.8499999046325684,2.7699999809265137,2.8399999141693115,2.7799999713897705,10113433,0.0,0.0,2.7333218579802865,2.7302009105722225,2.712987197838598,2.6333732156056024,2.505903261453992,True,True,LH,LHLLHH,2.720000028610229,2025-10-08,3.2699999809265137,2025-10-16,3.299999952316284,2.7300000190734863,SB1-2025/09/30,False,False,False,False,False,True,0.83,5.0,3.0,1.0,1.0,3.01,3.299999952316284,3.589999904632569,False,639.HK
2025-09-10,0547.HK,0.3799999952316284,0.3799999952316284,0.3600000143051147,0.3700000047683716,0.3700000047683716,1287192,0.0,0.0,0.388875646850463,0.3998233997382769,0.4105051250889729,0.4196674605017715,0.4188207049794638,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/05/30,False,False,False,True,False,False,0.0,,,,,,,,False,547.HK
2025-08-28,0345.HK,9.229999542236328,9.229999542236328,9.020000457763672,9.039999961853027,8.938000679016113,9951278,0.0,0.0,9.201041313949784,9.24135886768539,9.2651278575619,9.268498282243195,8.922092821698062,False,False,LL,LLLLLH,8.920000076293945,2025-09-05,9.1899995803833,2025-09-10,9.369999885559082,9.0,CL1-2025/07/25,False,False,False,True,False,False,0.0,,,,,,,,False,345.HK
2025-09-18,0085.HK,1.6200000047683716,1.7000000476837158,1.590000033378601,1.6100000143051147,1.6100000143051147,11374000,0.0,0.0,1.6136123196516672,1.6344506674956774,1.5948451798069,1.5113680090347814,1.376197291395664,False,False,LH,LHLLHH,1.5099999904632568,2025-09-23,1.7400000095367432,2025-10-09,1.830000042915344,1.5499999523162842,SB1-2025/09/18,False,False,False,False,False,True,0.6,6.0,3.0,2.0,1.0,1.67,1.830000042915344,1.990000085830688,False,85.HK
2025-10-23,0085.HK,1.5399999618530271,1.5499999523162842,1.5,1.5099999904632568,1.5099999904632568,4522000,0.0,0.0,1.590554408698715,1.618740271082066,1.6133287131358998,1.5542993028074583,1.4186355896410556,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2025/09/18,False,False,False,True,False,False,0.0,,,,,,,,False,85.HK
2025-09-16,0041.HK,14.800000190734863,14.920000076293944,14.770000457763672,14.869999885559082,14.448956489562988,484000,0.0,0.0,14.222713787156032,14.133741533471673,14.001097550603244,13.519805735754945,12.428943183548135,True,True,LH,LHLLHH,13.539999961853027,2025-09-26,14.979999542236328,2025-10-06,14.979999542236328,13.619999885559082,SB1-2025/09/16,False,False,False,False,False,True,1.0,5.0,2.0,1.0,2.0,14.26,14.979999542236328,15.699999084472656,False,41.HK
