Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,T1_100,SNO
2025-10-15,1052.HK,4.440000057220459,4.489999771118164,4.440000057220459,4.480000019073486,4.356413841247559,937165,0.0,0.0,4.423638609619168,4.39186585683879,4.252721412577785,4.069278088338425,3.900217531855774,True,True,LH,LHLLHH,4.199999809265137,2025-10-31,4.519999980926514,2025-11-12,4.539999961853027,4.230000019073486,4.230000019073486,SB1-2025/10/15,False,False,False,False,False,False,True,0.75,6,4,2.0,0.0,True,4.37,4.539999961853027,4.709999923706055,4.879999885559082,False,1052.HK
2025-10-09,1061.HK,5.090000152587891,5.099999904632568,4.760000228881836,4.809999942779541,4.809999942779541,1522000,0.0,0.0,5.085805698021339,5.193424490813886,5.223521459133136,4.9871994961072,4.209681606448249,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/07/04,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1061.HK
2025-10-30,1061.HK,4.360000133514404,4.360000133514404,4.260000228881836,4.260000228881836,4.260000228881836,359000,0.0,0.0,4.47500572302598,4.68922776599766,4.922994461322018,4.876587351683172,4.2448043905426,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/04,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1061.HK
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.867303848266602,27817814,0.0,0.0,5.889090042001955,6.047855660455362,6.210465108466303,6.097484390902399,5.73362052539315,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,6.300000190734863,5.53000020980835,5.53000020980835,SB1-2025/09/18,False,False,False,False,False,False,True,0.83,5,3,2.0,0.0,True,5.91,6.300000190734863,6.690000381469726,7.08000057220459,False,1066.HK
2025-10-13,1066.HK,5.78000020980835,5.849999904632568,5.659999847412109,5.840000152587891,5.729942321777344,14288286,0.0,0.0,5.952420910991406,5.947220089086448,6.063425396734578,6.039234638607343,5.748535076427875,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/18,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1066.HK
2025-10-30,1066.HK,5.639999866485596,5.650000095367432,5.329999923706055,5.360000133514404,5.360000133514404,21302273,0.0,0.0,5.614449850203428,5.718615367652492,5.891760007313741,5.94914466335254,5.736707027829086,False,False,LL,LLLLLH,5.28000020980835,2025-11-05,5.559999942779541,2025-11-12,5.659999847412109,5.329999923706055,5.329999923706055,CL1-2025/09/18,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1066.HK
2025-09-18,1083.HK,3.890000104904175,3.890000104904175,3.819999933242798,3.849999904632568,3.849999904632568,3036641,0.0,0.0,3.9095407393897417,3.960214208219508,3.9698248044740265,3.853440987146449,3.5624159850761106,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/29,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1083.HK
2025-10-02,1091.HK,0.449999988079071,0.5600000023841858,0.4399999976158142,0.550000011920929,0.550000011920929,56894400,0.0,0.0,0.44103546046587,0.4239679621097928,0.3971000177268174,0.3686383324842479,0.3449762708884171,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/06/26,False,False,True,True,False,False,False,0.0,0,0,,,False,,,,,False,1091.HK
2025-10-03,1091.HK,0.5199999809265137,0.5799999833106995,0.5199999809265137,0.5400000214576721,0.5400000214576721,18198888,0.0,0.0,0.459029017009834,0.4340577064009128,0.402703939441753,0.3720316332559988,0.3465302449965387,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP3-2025/06/26,False,False,False,True,False,False,False,0.0,0,0,,,False,,,,,False,1091.HK
2025-10-24,1121.HK,1.309999942779541,1.350000023841858,1.2599999904632568,1.2899999618530271,1.2899999618530271,1234000,0.0,0.0,1.356981765205056,1.413942273671088,1.4824236331169482,1.5626614739612763,2.0169406856001317,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/08/19,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1121.HK
2025-10-13,1205.HK,0.4149999916553497,0.4199999868869781,0.4050000011920929,0.4149999916553497,0.4149999916553497,4840000,0.0,0.0,0.4145297950271134,0.4061991366826046,0.4019523039321388,0.3962031301377829,0.3887385096389827,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/15,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1205.HK
2025-09-22,1359.HK,1.3700000047683716,1.3700000047683716,1.3200000524520874,1.3300000429153442,1.3300000429153442,152553667,0.0,0.0,1.405148263138654,1.4491749087453805,1.44161369592262,1.3668020900227271,1.212973632840808,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/25,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1359.HK
2025-11-03,1368.HK,5.650000095367432,5.679999828338623,5.579999923706055,5.619999885559082,5.619999885559082,5635673,0.0,0.0,5.6730574460853385,5.76654648863066,5.870536491390448,5.838055348363999,5.633092234673468,False,False,LH,LHLLHH,5.489999771118164,2025-11-05,5.929999828338623,2025-11-14,6.050000190734863,5.510000228881836,5.510000228881836,SB1-2025/11/03,False,False,False,False,False,False,True,0.71,5,2,0.0,3.0,True,5.77,6.050000190734863,6.330000381469727,6.610000572204591,False,1368.HK
2025-09-26,1385.HK,41.31999969482422,44.63999938964844,40.70000076293945,41.7400016784668,41.7400016784668,13242533,0.0,0.0,39.90640535003884,37.76240172772398,34.678176851961915,31.49632038414131,25.646135567051548,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/08/14,False,False,True,False,False,False,False,0.0,0,0,,,False,,,,,False,1385.HK
2025-10-09,1385.HK,47.0,49.20000076293945,44.29999923706055,45.13999938964844,45.13999938964844,11233114,0.0,0.0,44.89099712111431,41.84493698819118,37.53329367044026,33.43549251265347,26.772119263706035,True,True,HH,HHHLHH,38.900001525878906,2025-10-14,44.880001068115234,2025-10-30,46.27999877929688,38.959999084472656,34.41999816894531,TP3-2025/08/14,False,False,False,True,False,False,False,0.0,0,0,,,False,,,,,False,1385.HK
2025-10-06,1448.HK,2.9800000190734863,3.0,2.880000114440918,2.900000095367432,2.7258496284484863,4048100,0.0,0.0,2.924437949487001,3.001244820729773,3.1807185780446328,3.3826259910949568,3.7650482544445087,False,False,LH,LHLLHH,2.740000009536743,2025-10-13,3.0199999809265137,2025-10-28,3.0799999237060547,2.7699999809265137,2.7699999809265137,SB1-2025/10/06,False,False,False,False,False,False,True,0.73,8,3,2.0,3.0,True,2.91,3.0799999237060547,3.249999847412109,3.419999771118164,False,1448.HK
2025-11-14,1448.HK,2.930000066757202,2.9600000381469727,2.890000104904175,2.900000095367432,2.900000095367432,5360000,0.0,0.0,2.948306474793446,2.955494314491598,3.025250700081309,3.19840937923268,3.604405670726413,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/06,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1448.HK
2025-10-23,1475.HK,6.639999866485596,9.600000381469728,6.019999980926514,6.179999828338623,6.179999828338623,31695020,0.0,0.0,6.736451161496269,6.823410414266038,6.865767270570776,6.779340555687827,6.318073882989297,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL2-2025/07/30,False,False,False,False,False,True,False,0.0,0,0,,,False,,,,,False,1475.HK
