Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,T1_50,SNO
2025-10-30,1061.HK,4.360000133514404,4.360000133514404,4.260000228881836,4.260000228881836,4.260000228881836,359000,0.0,0.0,4.47500572302598,4.68922776599766,4.922994464549968,4.876638306558754,4.266289822524803,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/04,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1061.HK
2025-11-18,0107.HK,5.449999809265137,5.480000019073486,5.28000020980835,5.349999904632568,5.349999904632568,3578000,0.0,0.0,5.365108626471429,5.246096487015114,5.041028807662164,4.846526373600146,4.33836198078219,True,True,True,LH,LHLLHH,5.110000133514404,2025-11-24,5.550000190734863,2025-12-04,5.769999980926514,5.130000114440918,4.949999809265137,SB1-2025/11/18,True,True,True,False,False,False,False,False,False,True,0.75,6,3,1.0,2.0,True,5.44,5.769999980926514,6.099999961853027,6.42999994277954,False,107.HK
2025-10-13,1205.HK,0.4149999916553497,0.4199999868869781,0.4050000011920929,0.4149999916553497,0.4149999916553497,4840000,0.0,0.0,0.4145297950271134,0.4061991366826046,0.4019523040692239,0.3962066359420056,0.3905775395059379,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/15,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1205.HK
2025-10-10,1302.HK,2.140000104904175,2.190000057220459,2.069999933242798,2.150000095367432,2.150000095367432,46378000,0.0,0.0,2.041277009255076,1.9791118267584185,1.953010562125129,1.884796316201076,1.7783225300018022,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/18,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1302.HK
2025-10-23,1475.HK,6.639999866485596,9.600000381469728,6.019999980926514,6.179999828338623,6.179999828338623,31695020,0.0,0.0,6.736451161496269,6.823410414266038,6.8657672709216735,6.779353528233815,6.324304738112537,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL2-2025/07/30,False,False,False,False,False,False,False,False,True,False,0.0,0,0,,,False,,,,,False,1475.HK
2025-11-07,1611.HK,4.050000190734863,4.050000190734863,3.690000057220459,3.930000066757202,3.930000066757202,5203500,0.0,0.0,4.3660496236270205,4.685361141564012,5.026281435101276,4.7259166518021845,3.7069134984165615,False,False,False,LL,LLLLLH,3.0799999237060547,2025-11-21,3.4100000858306885,2025-11-27,3.4800000190734863,3.309999942779541,3.309999942779541,CL1-2025/07/29,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,1611.HK
2025-12-09,1811.HK,2.569999933242798,2.569999933242798,2.5299999713897705,2.539999961853028,2.539999961853028,4610000,0.0,0.0,2.6071900252020543,2.655236845652142,2.6960377572842176,2.657163412084038,2.529993017848752,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/08/25,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,1811.HK
2025-10-13,0189.HK,12.0600004196167,12.460000038146973,11.9399995803833,12.460000038146973,12.460000038146973,18302933,0.0,0.0,12.393804414498003,12.257513626876358,11.940813778364689,11.218128676937052,9.77102834690362,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/19,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,189.HK
2025-10-15,0189.HK,11.229999542236328,11.390000343322754,11.010000228881836,11.199999809265137,11.199999809265137,17629930,0.0,0.0,12.002133538716445,12.083182442143444,11.884603571152436,11.217806016763388,9.793868169927508,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/19,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,189.HK
2025-11-17,2238.HK,3.289999961853028,3.380000114440918,3.289999961853028,3.369999885559082,3.369999885559082,15252000,0.0,0.0,3.3346879931026154,3.332568815374843,3.324454251543828,3.2645847959293053,3.192139600309621,True,True,True,LH,LHLLHH,3.140000104904175,2025-11-21,4.25,2025-12-02,4.380000114440918,3.1600000858306885,3.1600000858306885,SB1-2025/11/17,True,True,True,False,False,False,False,False,False,True,0.71,5,3,1.0,1.0,True,3.76,4.380000114440918,5.000000228881836,5.620000343322754,False,2238.HK
2025-10-10,2552.HK,4.53000020980835,4.570000171661377,4.070000171661377,4.150000095367432,4.150000095367432,12728078,0.0,0.0,4.452339710746259,4.304892217017215,4.002920052743159,3.568716785902168,2.822037628480756,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/22,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,2552.HK
2025-10-14,2552.HK,3.930000066757202,3.950000047683716,3.630000114440918,3.700000047683716,3.700000047683716,7344500,0.0,0.0,4.228921616194645,4.217764584293996,3.986032695226779,3.577164317772763,2.837317105607546,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/22,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,2552.HK
2025-10-31,0340.HK,2.7100000381469727,2.799999952316284,2.700000047683716,2.7100000381469727,2.7100000381469727,12935699,0.0,0.0,2.749626177781859,2.7437659464506305,2.5600850309016896,2.2699248986822305,1.6663370886616151,True,True,True,LH,LHLLHH,2.430000066757202,2025-11-05,2.900000095367432,2025-11-13,2.9200000762939453,2.5,2.5,SB1-2025/10/31,True,True,True,False,False,False,False,False,False,True,0.83,5,2,1.0,2.0,True,2.68,2.9200000762939453,3.1600001525878905,3.400000228881836,False,340.HK
2025-11-18,0340.HK,2.759999990463257,2.759999990463257,2.619999885559082,2.640000104904175,2.640000104904175,16582200,0.0,0.0,2.755407392051225,2.743594211722556,2.6263621657145064,2.368008754583212,1.7634143209513748,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/31,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,340.HK
2025-10-28,0347.HK,2.25,2.25,2.1600000858306885,2.190000057220459,2.190000057220459,6389776,0.0,0.0,2.2110506358805733,2.2176943106685103,2.191957197238898,2.091043959829405,1.8709090170695364,False,False,False,LH,LHLLHH,1.950000047683716,2025-11-05,2.309999942779541,2025-11-13,2.3299999237060547,2.009999990463257,2.009999990463257,SB1-2025/10/28,True,True,True,False,False,False,False,False,False,True,0.83,5,2,2.0,1.0,True,2.14,2.3299999237060547,2.5199998474121093,2.709999771118164,False,347.HK
2025-11-18,0347.HK,2.2300000190734863,2.2300000190734863,2.0899999141693115,2.119999885559082,2.119999885559082,20259200,0.0,0.0,2.1957896684929525,2.1898038324105698,2.182128390240736,2.1090815980681503,1.901793404819975,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/28,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,347.HK
2025-12-09,0347.HK,1.9700000286102293,1.9700000286102293,1.8799999952316284,1.8899999856948853,1.8899999856948853,8441555,0.0,0.0,1.9799795773141744,2.0315160831353145,2.091508446011128,2.07639372514737,1.9110872755597827,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/10/28,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,347.HK
2025-10-10,3600.HK,5.5,5.570000171661377,5.460000038146973,5.519999980926514,5.519999980926514,481000,0.0,0.0,5.499310707953484,5.420158695403631,5.189712644722288,4.8620518777047605,4.441300059591507,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/25,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,3600.HK
2025-11-18,3600.HK,5.289999961853027,5.289999961853027,5.050000190734863,5.090000152587891,5.090000152587891,810000,0.0,0.0,5.252814042599729,5.296126672285745,5.256155200808899,5.037423692546084,4.601690437931032,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/25,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,3600.HK
2025-10-24,3969.HK,3.549999952316284,3.5799999237060547,3.509999990463257,3.5299999713897705,3.5299999713897705,4844000,0.0,0.0,3.5319815065821083,3.524339871315569,3.493266724298997,3.440490905222219,3.32780319103724,True,True,True,LH,LHLLHH,3.390000104904175,2025-11-03,3.650000095367432,2025-11-12,3.650000095367432,3.4100000858306885,3.4100000858306885,SB1-2025/10/24,True,True,True,False,False,False,False,False,False,True,0.71,5,2,1.0,2.0,True,3.52,3.650000095367432,3.780000190734864,3.910000286102296,False,3969.HK
2025-11-18,3969.HK,3.539999961853028,3.549999952316284,3.490000009536743,3.490000009536743,3.490000009536743,7304000,0.0,0.0,3.564628049179146,3.5477644328423086,3.5184810573499297,3.468571595029043,3.353399111877551,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/24,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,3969.HK
2025-10-27,3983.HK,2.369999885559082,2.440000057220459,2.369999885559082,2.4200000762939453,2.4200000762939453,3420000,0.0,0.0,2.385658491593412,2.3770363448723844,2.3399800245588644,2.261206099464641,2.1631045272403933,True,True,True,LH,LHLLHH,2.289999961853028,2025-11-05,2.690000057220459,2025-11-13,2.700000047683716,2.319999933242798,2.240000009536743,SB1-2025/10/27,True,True,True,False,False,False,False,False,False,True,1.0,6,3,1.0,2.0,True,2.5,2.700000047683716,2.900000095367432,3.1000001430511475,False,3983.HK
2025-11-20,3983.HK,2.5199999809265137,2.559999942779541,2.5,2.5299999713897705,2.5299999713897705,3032500,0.0,0.0,2.55363209068208,2.50532046829933,2.43102504397599,2.335063258980431,2.207598677048179,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/27,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,3983.HK
