index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-24,1061.HK,4.5,4.510000228881836,4.309999942779541,4.360000133514404,4.360000133514404,536000,0.0,0.0,4.599221676913938,4.802146009785248,4.998406591137409,4.910174325127665,4.231328138074232,False,False,False,False,0.2000002861022949,0.1764706162845387,0.264705924426808,LH,LHLLHH,4.159999847412109,2025-11-04,4.610000133514404,2025-11-13,4.639999866485596,4.179999828338623,4.179999828338623,SB1-2025/10/24,False,False,False,False,False,False,False,False,False,True,0.71,5,2,1.0,2.0,True,4.4,4.639999866485596,4.879999732971191,5.119999599456786,1061.HK
2025-11-17,1061.HK,4.480000019073486,4.489999771118164,4.349999904632568,4.46999979019165,4.46999979019165,759000,0.0,0.0,4.481048328346558,4.538384902901434,4.742764272676483,4.784496683887448,4.252811812481145,False,False,False,False,0.1399998664855957,0.129375010728836,0.1940625160932541,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/24,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1061.HK
2025-12-02,1061.HK,4.159999847412109,4.159999847412109,4.070000171661377,4.119999885559082,4.119999885559082,569000,0.0,0.0,4.252133208121261,4.357369575565176,4.573248401690371,4.683360483115366,4.254753484745577,False,False,False,False,0.0899996757507324,0.120588134316837,0.1808822014752556,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/10/24,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,1061.HK
2025-10-30,1066.HK,5.639999866485596,5.650000095367432,5.329999923706055,5.360000133514404,5.360000133514404,21302273,0.0,0.0,5.614449850203428,5.718615367652492,5.891760005729005,5.949119862569599,5.729096709411468,False,False,False,False,0.3200001716613769,0.1564705792595358,0.2347058688893037,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/18,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,1066.HK
2025-11-18,0107.HK,5.449999809265137,5.480000019073486,5.28000020980835,5.349999904632568,5.349999904632568,3578000,0.0,0.0,5.365108626471429,5.246096487015114,5.041028809715592,4.846541277590728,4.344424856676785,True,True,True,False,0.1999998092651367,0.1000000513516939,0.1500000770275409,LH,LHLLHH,5.110000133514404,2025-11-24,5.550000190734863,2025-12-04,5.769999980926514,5.130000114440918,4.949999809265137,SB1-2025/11/18,True,True,True,False,False,False,False,False,False,True,0.75,6,3,1.0,2.0,True,5.44,5.769999980926514,6.099999961853027,6.42999994277954,107.HK
2025-12-12,0107.HK,5.650000095367432,5.650000095367432,5.440000057220459,5.480000019073486,5.480000019073486,1508000,0.0,0.0,5.528150651106994,5.446820162273723,5.260530709398667,5.03111294646105,4.492676664043019,True,True,True,False,0.2100000381469726,0.1266666412353515,0.1899999618530273,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/11/18,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,107.HK
2025-10-28,1070.HK,9.68000030517578,9.760000228881836,9.470000267028809,9.520000457763672,9.520000457763672,5411359,0.0,0.0,9.652188922870195,9.893615362073469,10.008192727358509,9.805805992042249,8.55750435967583,False,False,False,False,0.2899999618530273,0.3880000432332354,0.5820000648498531,LH,LHLLHH,8.90999984741211,2025-11-05,10.289999961853027,2025-11-17,10.359999656677246,9.100000381469728,9.100000381469728,SB1-2025/10/28,False,False,False,False,False,False,False,False,False,True,0.75,6,4,2.0,0.0,True,9.63,10.359999656677246,11.089999313354491,11.819998970031737,1070.HK
2025-11-18,1070.HK,10.279999732971191,10.289999961853027,9.619999885559082,9.670000076293944,9.670000076293944,9339235,0.0,0.0,9.739053815000304,9.698330016593165,9.81549076931278,9.739390322865566,8.659386342228117,False,False,False,False,0.6700000762939453,0.243333180745443,0.3649997711181645,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/28,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1070.HK
2025-11-27,1070.HK,9.760000228881836,10.489999771118164,9.619999885559082,10.31999969482422,10.31999969482422,11795936,0.0,0.0,9.80443007205444,9.73682419172195,9.801859337468072,9.741025689255704,8.718636230751205,False,False,False,False,0.869999885559082,0.2684613741361183,0.4026920612041774,HH,HHHLHH,10.010000228881836,2025-12-01,10.989999771118164,2025-12-04,11.5600004196167,9.029999732971191,8.90999984741211,TP1-2025/10/28,True,True,True,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,1070.HK
2025-12-03,1070.HK,10.710000038146973,11.18000030517578,10.640000343322754,11.06999969482422,11.06999969482422,13253503,0.0,0.0,10.252690709856177,9.991949700934072,9.912953065055092,9.802862885679415,8.776016817138062,True,True,True,False,0.5399999618530256,0.3115384028508111,0.4673076042762167,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/10/28,False,False,False,False,False,True,False,False,False,False,0.0,0,0,,,False,,,,,1070.HK
