index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,SNO
2025-12-20,1091.HK,0.4799999892711639,0.550000011920929,0.4699999988079071,0.5199999809265137,0.5199999809265137,38973000,0.0,0.0,0.4493399550025337,0.4403570337977484,0.438913636787924,0.4223095588201654,0.397530240961615,True,True,True,False,0.0800000131130218,0.0200000087420145,0.0300000131130218,HL,HLLHLL,0.550000011920929,2025-12-21,0.5199999809265137,2025-12-22,0.4699999988079071,-0.15,0.4050000011920929,0.4050000011920929,TP1-2025/12/01,True,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,1091.HK
2025-12-29,1114.HK,4.079999923706055,4.21999979019165,4.050000190734863,4.199999809265137,4.199999809265137,21146000,0.0,0.0,4.072877502526188,3.988136628848988,3.890920102674656,3.758677402639907,3.648679382214989,True,True,True,False,0.1699995994567871,0.1582350310157327,0.237352546523599,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/10/28,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,1114.HK
2025-12-29,2552.HK,3.049999952316284,3.200000047683716,3.0299999713897705,3.130000114440918,3.130000114440918,2813000,0.0,0.0,3.130144739495216,3.2070956855577517,3.3722487658187528,3.4085396832018304,2.990617410122874,False,False,False,False,0.1700000762939453,0.1573684466512579,0.2360526699768869,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/11/12,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,2552.HK
2025-12-29,3788.HK,3.5,3.549999952316284,3.430000066757202,3.490000009536743,3.490000009536743,2696000,0.0,0.0,3.642964685896492,3.728007689275634,3.7748194373996418,3.4870972158290647,2.608492765849584,False,False,False,False,0.119999885559082,0.1272221538755629,0.1908332308133443,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/11/20,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,3788.HK
2025-12-29,3983.HK,2.390000104904175,2.4100000858306885,2.369999885559082,2.380000114440918,2.380000114440918,3185195,0.0,0.0,2.4196878497457117,2.450289365849946,2.44229680635048,2.3758781742924366,2.245968059287874,False,False,False,False,0.0400002002716064,0.0423530831056482,0.0635296246584724,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/10/27,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,3983.HK
2025-12-16,0604.HK,0.8500000238418579,0.8500000238418579,0.8299999833106995,0.8299999833106995,0.8299999833106995,21066300,0.0,0.0,0.8623588174362582,0.8779186627617604,0.8856407690887673,0.8827363392511596,0.8862089748618944,False,False,False,False,0.0200000405311584,0.0263157957478573,0.0394736936217859,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/10/27,False,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,604.HK
2025-12-17,6100.HK,3.890000104904175,4.0,3.859999895095825,3.9800000190734863,3.9800000190734863,1273600,0.0,0.0,3.835674863905906,3.750707223747068,3.6746156849414287,3.694030472662437,3.7537205720628526,False,False,True,False,0.1400001049041748,0.1318750679492951,0.1978126019239426,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/25,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,6100.HK
2025-12-28,0662.HK,4.739999771118164,4.75,4.739999771118164,4.75,4.75,10000,0.0,0.0,4.721970562306915,4.619694291387909,4.464931633348936,4.218265198400072,3.886759848068117,True,True,True,False,0.0100002288818359,0.0370589424582088,0.0555884136873133,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/06/25,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,662.HK
2025-12-19,6669.HK,13.100000381469728,14.270000457763672,12.899999618530272,14.0600004196167,14.0600004196167,718512,0.0,0.0,13.052003208977911,12.834608692189674,12.66503137646323,12.176118913121694,10.686055823720446,True,True,True,False,1.3700008392334002,0.4326667149861649,0.6490000724792473,HH,HHHLLH,12.899999618530272,2025-12-20,14.0600004196167,2025-12-21,14.270000457763672,0.11,11.979999542236328,11.869999885559082,TP1-2025/10/30,True,True,True,False,True,False,False,False,False,False,False,0.0,0,0,False,6669.HK
2025-12-16,9996.HK,6.050000190734863,6.050000190734863,5.639999866485596,5.820000171661377,5.820000171661377,1032000,0.0,0.0,5.817355779617509,5.738305772742455,5.949346941848284,6.216062357441793,5.981289820874035,False,False,False,False,0.4100003242492676,0.2513333320617675,0.3769999980926513,HL,HLLHHL,6.320000171661377,2025-12-19,6.070000171661377,2025-12-20,5.769999980926514,-0.09,5.099999904632568,5.099999904632568,BY1-2025/11/26,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,9996.HK
2025-12-19,9996.HK,5.949999809265137,6.320000171661377,5.769999980926514,6.070000171661377,6.070000171661377,1856000,0.0,0.0,5.85305217277391,5.773032803947836,5.94126452272539,6.196234941703843,5.978751213224333,False,False,False,False,0.5500001907348633,0.2480000178019205,0.3720000267028808,LH,LHHLLH,5.769999980926514,2025-12-20,6.070000171661377,2025-12-21,6.320000171661377,0.1,5.099999904632568,5.099999904632568,TP1-2025/11/26,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,9996.HK
