index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,classification,PATTERN,WLDate,WHDate,SNO
2026-01-14,1114.HK,4.349999904632568,4.409999847412109,4.28000020980835,4.340000152587891,4.340000152587891,22109239,0.0,0.0,4.199231109326161,4.118899463272628,4.001013395454639,3.849941882361556,3.7020020595390335,True,True,True,False,0.1299996376037597,0.1087498813867569,0.1631248220801353,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/10/28,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1114.HK
2026-01-08,1115.HK,0.5899999737739563,0.6299999952316284,0.5899999737739563,0.6100000143051147,0.6100000143051147,17210000,0.0,0.0,0.5861269550812349,0.5743821432824721,0.56625768568928,0.5382940887331286,0.4579134380517242,True,True,True,False,0.0400000214576721,0.0253846186857957,0.0380769280286935,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/12/01,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1115.HK
2026-01-05,1873.HK,1.7699999809265137,1.8600000143051147,1.7599999904632568,1.7699999809265137,1.7699999809265137,12016500,0.0,0.0,1.849219068011745,1.9164873135610256,2.05000333816423,2.0916375273028445,1.819785973724404,False,False,False,False,0.1000000238418579,0.0793749913573265,0.1190624870359898,1.7300000190734863,2.1600000858306885,2.240000009536743,0.29,1.7300000190734863,1.7300000190734863,SB1-2026/01/05,False,False,False,False,False,False,False,False,False,False,False,True,1.0,5,2,True,2.240000009536743,2.039999961853028,False,2026-01-06,2026-01-13,1.0,2.0,1.99,2.240000009536743,2.490000019073486,2.740000028610229,LH,LHLLHHHLLH,2026-01-13,2026-01-15,1873.HK
2026-01-06,2198.HK,3.2300000190734863,3.4100000858306885,3.119999885559082,3.400000095367432,3.400000095367432,8296400,0.0,0.0,3.1263805538521483,3.028355965989332,2.845560892980909,2.590689316981646,2.198795430618984,True,True,True,False,0.2900002002716064,0.1331249624490738,0.1996874436736107,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/10/28,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,2198.HK
2026-01-06,2536.HK,2.259999990463257,2.259999990463257,2.1600000858306885,2.1600000858306885,2.1600000858306885,462000,0.0,0.0,2.286655457313576,2.3454879389954533,2.393180907492503,2.5167835005733803,2.99821649814529,False,False,False,False,0.0999999046325683,0.053076909138606,0.0796153637079091,2.109999895095825,2.430000066757202,2.430000066757202,0.15,2.1600000858306885,2.150000095367432,SB1-2026/01/06,False,False,False,False,False,False,False,False,False,False,False,True,1.0,4,4,True,0.0,0.0,False,2026-01-07,2026-01-13,0.0,0.0,2.27,2.430000066757202,2.5900001335144043,2.7500002002716064,,,,,2536.HK
2026-01-14,2536.HK,2.25,2.25,2.25,2.2799999713897705,2.2799999713897705,2000,0.0,0.0,2.311638984810599,2.332126706223449,2.375215002783045,2.493063174411644,2.965766131853045,False,False,False,False,0.0,0.040714280945914,0.0610714214188711,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2026/01/06,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,2536.HK
2026-01-05,0326.HK,3.109999895095825,3.309999942779541,3.109999895095825,3.220000028610229,3.220000028610229,13932208,0.0,0.0,2.555661857238091,2.297379659382165,2.153871443321666,2.095128833172006,1.7800800808714712,True,True,True,False,0.2000000476837158,0.1456249579787255,0.2184374369680882,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/12/02,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,326.HK
2026-01-07,0326.HK,3.400000095367432,3.569999933242798,3.309999942779541,3.5299999713897705,3.5299999713897705,12070604,0.0,0.0,2.8584182770535045,2.492106677650088,2.2547886742956886,2.148869493875337,1.8068285444237824,True,True,True,False,0.2599999904632568,0.1618749648332596,0.2428124472498894,0.0,0.0,0.0,0.0,0.0,0.0,TP3-2025/12/02,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,326.HK
2026-01-05,3336.HK,2.039999961853028,2.0799999237060547,1.899999976158142,1.9800000190734863,1.9800000190734863,2698000,0.0,0.0,1.9366842042841876,1.8585481785236877,1.767087881482407,1.6428615720533264,1.4589950131822111,True,True,True,False,0.1799999475479126,0.0921428629330226,0.1382142943995339,2.200000047683716,2.0899999141693115,2.059999942779541,-0.06,1.809999942779541,1.600000023841858,BY1-2025/11/21,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,2026-01-14,2026-01-25,,,,,,,,,,,3336.HK
2026-01-12,3788.HK,4.409999847412109,4.46999979019165,4.010000228881836,4.230000019073486,4.230000019073486,14575000,0.0,0.0,3.855346685485565,3.796079732279949,3.7888930011793054,3.5501163799924766,2.7087022319814844,True,True,True,False,0.4599995613098144,0.1425000131130217,0.2137500196695326,3.7699999809265137,4.78000020980835,4.78000020980835,0.27,3.5199999809265137,3.430000066757202,TP2-2025/11/20,True,True,True,False,True,True,False,False,False,False,False,False,0.0,0,0,False,4.78000020980835,3.7699999809265137,False,2026-01-15,2026-01-16,,,,,,,HH,HHHLHHLLLH,2026-01-16,2026-01-17,3788.HK
