index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,classification,PATTERN,LLDate,HHDate,WLDate,WHDate,SNO
2026-01-14,1114.HK,4.349999904632568,4.409999847412109,4.28000020980835,4.340000152587891,4.340000152587891,22109239,0.0,0.0,4.199231109326161,4.118899463272628,4.001013396133188,3.849954405870954,3.706534380590022,True,True,True,False,0.1299996376037597,0.1087498813867569,0.1631248220801353,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/10/28,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,1114.HK
2026-01-16,1873.HK,2.059999942779541,2.059999942779541,2.0,2.059999942779541,2.059999942779541,5485000,0.0,0.0,2.018250031061952,1.9802915005501789,2.040584287530742,2.07882502827313,1.828747283221816,False,False,False,False,0.059999942779541,0.100624993443489,0.1509374901652336,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2026/01/05,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,1873.HK
2026-01-19,1877.HK,24.07999992370605,24.07999992370605,23.299999237060547,23.459999084472656,23.459999084472656,2570200,0.0,0.0,23.918362858704292,23.81687163010891,24.482426755583152,25.097820984534174,22.73041727276532,False,False,False,False,0.7800006866455043,1.002500534057617,1.5037508010864251,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/23,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,1877.HK
2026-01-19,2196.HK,20.920000076293945,21.0,20.520000457763672,20.57999992370605,20.57999992370605,2710603,0.0,0.0,21.00048345321837,21.04937095147932,21.544809254089845,21.54112853243423,19.545242145019717,False,False,False,False,0.4799995422363281,0.6758823394775381,1.013823509216307,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/17,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,2196.HK
2026-01-16,2198.HK,3.609999895095825,3.799999952316284,3.609999895095825,3.7100000381469727,3.7100000381469727,4622000,0.0,0.0,3.496544749656163,3.3131584951846325,3.045397505311152,2.7360456757852867,2.2815021113692717,True,True,True,False,0.1900000572204589,0.1629411893732407,0.2444117840598612,0.0,0.0,0.0,0.0,0.0,0.0,TP3-2025/10/28,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,2198.HK
2026-01-14,2536.HK,2.25,2.25,2.25,2.2799999713897705,2.2799999713897705,2000,0.0,0.0,2.311638984810599,2.332126706223449,2.375215002783045,2.493063174411644,2.965766131853045,False,False,False,False,0.0,0.040714280945914,0.0610714214188711,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2026/01/06,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,2536.HK
2026-01-16,3336.HK,2.059999942779541,2.2799999713897705,2.059999942779541,2.240000009536743,2.240000009536743,6260000,0.0,0.0,2.085536774640425,1.993436702013838,1.8656265306849569,1.716585138819684,1.5034759881573172,True,True,True,False,0.2200000286102295,0.0971428666796003,0.1457143000194005,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/11/21,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,3336.HK
2026-01-19,3759.HK,22.799999237060547,23.13999938964844,22.0,22.100000381469727,22.100000381469727,6167700,0.0,0.0,22.87513742555837,22.42849444326271,22.50378643230604,22.286062009853197,19.79758261914873,False,False,False,False,1.139999389648441,1.110000080532498,1.665000120798747,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/19,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,3759.HK
2026-01-12,3788.HK,4.409999847412109,4.46999979019165,4.010000228881836,4.230000019073486,4.230000019073486,14575000,0.0,0.0,3.855346685485565,3.796079732279949,3.7888930009284905,3.550113636262566,2.7079751487075217,True,True,True,False,0.4599995613098144,0.1425000131130217,0.2137500196695326,3.7699999809265137,4.519999980926514,4.900000095367432,0.3,3.5199999809265137,3.430000066757202,TP2-2025/11/20,True,True,True,False,True,True,False,False,False,False,False,False,0.0,0,0,False,4.900000095367432,4.420000076293945,False,HH,HHHLHHHLLH,2026-01-15,2026-01-16,2026-01-16,2026-01-19,3788.HK
2026-01-16,3788.HK,4.78000020980835,4.900000095367432,4.489999771118164,4.519999980926514,4.519999980926514,5516704,0.0,0.0,4.193113183586935,3.9948018625721065,3.884853955856873,3.618067045278488,2.7622575570720014,True,True,True,False,0.4100003242492676,0.1593333721160887,0.2390000581741331,4.420000076293945,4.559999942779541,4.75,0.07,3.5199999809265137,3.430000066757202,TP3-2025/11/20,True,True,True,False,False,False,True,False,False,False,False,False,0.0,0,0,False,4.75,4.420000076293945,False,HH,HHHLLHLLLH,2026-01-19,2026-01-20,2026-01-20,2026-01-21,3788.HK
2026-01-19,3931.HK,29.34000015258789,29.34000015258789,28.100000381469727,28.26000022888184,28.26000022888184,5017100,0.0,0.0,28.113840227206506,27.574997247799267,27.93831579480571,27.169817523668,23.219353416175792,False,False,False,False,1.239999771118164,1.2162500619888303,1.8243750929832452,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/23,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,3931.HK
2026-01-14,6100.HK,4.079999923706055,4.5,4.059999942779541,4.369999885559082,4.369999885559082,5801000,0.0,0.0,3.979434109733748,3.908684752010709,3.802802737470701,3.762441456663818,3.712913574104293,True,True,True,False,0.440000057220459,0.1705555783377753,0.255833367506663,0.0,0.0,0.0,0.0,0.0,0.0,TP3-2025/11/25,False,False,False,False,False,True,True,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,6100.HK
2026-01-16,6633.HK,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,10500,0.0,0.0,3.085630582790107,3.0965932659510043,3.133196088659172,3.1482489836206944,,False,False,False,False,0.0,0.0006249994039535,0.0009374991059303,0.0,0.0,0.0,0.0,0.0,0.0,TU1-2025/10/20,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,6633.HK
2026-01-14,6669.HK,14.460000038146973,15.31999969482422,14.460000038146973,14.81999969482422,14.81999969482422,391756,0.0,0.0,14.002822116604376,13.655239636793278,13.206289836617913,12.592227496719728,10.91408204827819,True,True,True,False,0.8599996566772479,0.6249998807907102,0.9374998211860652,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/10/30,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,6669.HK
2026-01-12,9676.HK,8.279999732971191,8.600000381469727,8.180000305175781,8.4399995803833,8.4399995803833,2615700,0.0,0.0,7.649324396838509,7.486418773219396,7.546551707795023,7.628286075838388,8.621707357052577,False,False,False,False,0.4200000762939453,0.34375,0.515625,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/12/11,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,9676.HK
2026-01-16,9676.HK,8.449999809265137,9.029999732971191,8.34000015258789,8.84000015258789,8.84000015258789,2273400,0.0,0.0,8.067612740733685,7.7540541878928675,7.66439566755231,7.6826595439495105,8.612542212465021,False,False,True,False,0.6899995803833008,0.3926666259765625,0.5889999389648437,0.0,0.0,0.0,0.0,0.0,0.0,TP3-2025/12/11,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,9676.HK
2026-01-12,9996.HK,6.610000133514404,7.079999923706055,6.610000133514404,6.960000038146973,6.960000038146973,2361200,0.0,0.0,6.486783346808969,6.2252890936642045,6.122546134159114,6.243168013347901,5.932183206121318,False,False,True,False,0.4699997901916504,0.2546667416890462,0.3820001125335693,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/11/26,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,9996.HK
