Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,BOSS2,classification,PATTERN,LLDate,HHDate,Capital Gains,bullish_count,strong_bullish,medium_bullish,weak_bullish,SNO
2024-05-08,0010.HK,8.979999542236328,8.979999542236328,8.640000343322754,8.710000038146973,7.886621952056885,2621611,0.65,0.0,8.680000305175781,8.890000343322754,8.949999809265137,8.640000343322754,CL1-2024/04/02,True,False,False,True,False,False,0.0,False,LL,LLHLLH,2024-05-27,2024-06-05,,,,,,10.HK
2022-07-15,0010.HK,14.279999732971191,14.380000114440918,14.039999961853027,14.039999961853027,10.9099760055542,474000,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2022/05/23,False,False,False,False,True,False,0.0,False,,,,,,,,,,10.HK
2001-09-07,0010.HK,7.599999904632568,7.75,7.5,7.75,2.9529261589050293,2745200,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2001/08/17,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2001-09-12,0010.HK,7.199999809265137,7.5,7.0,7.25,2.762414932250977,1485000,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2001/08/17,False,False,False,True,False,False,0.0,False,,,,,,,,,,10.HK
2004-09-27,0010.HK,11.899999618530272,11.949999809265137,11.800000190734863,11.899999618530272,5.39395809173584,795000,0.0,0.0,12.75,12.649999618530272,12.399999618530272,11.800000190734863,BY1-2004/08/04,True,False,False,False,False,False,0.0,False,LL,LLLHHL,2004-10-05,2004-10-12,,,,,,10.HK
2004-11-02,0010.HK,12.800000190734863,13.0,12.800000190734863,12.949999809265137,5.86989688873291,2857000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2004/08/04,False,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2004-11-17,0010.HK,13.649999618530272,14.100000381469728,13.649999618530272,14.0,6.521699905395508,2629500,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2004/08/04,False,False,True,False,False,False,0.0,False,,,,,,,,,,10.HK
2011-10-21,0010.HK,44.29999923706055,44.400001525878906,42.59999847412109,43.25,23.79630851745605,402355,0.0,0.0,49.79999923706055,40.0,39.79999923706055,41.0,BY1-2011/09/30,True,False,False,False,False,False,0.0,False,HL,HLHHLL,2011-10-31,2011-11-25,,,,,,10.HK
2011-10-28,0010.HK,47.150001525878906,49.45000076293945,47.0,49.04999923706055,26.98749351501465,758184,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2011/09/30,False,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2012-06-28,0010.HK,47.29999923706055,47.29999923706055,46.70000076293945,46.900001525878906,26.002180099487305,686214,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2012/05/25,False,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2012-07-03,0010.HK,48.29999923706055,49.34999847412109,48.0,49.150001525878906,27.24961280822754,615302,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2012/05/25,False,False,True,False,False,False,0.0,False,,,,,,,,,,10.HK
2012-08-01,0010.HK,49.70000076293945,50.0,48.650001525878906,48.900001525878906,27.111013412475582,346598,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2012/07/17,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2012-10-22,0010.HK,46.0,46.0,45.150001525878906,45.20000076293945,25.15525245666504,2540650,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2012/07/17,False,False,False,True,False,False,0.0,False,,,,,,,,,,10.HK
2013-04-18,0010.HK,46.400001525878906,46.95000076293945,45.45000076293945,46.09999847412109,25.6561336517334,1836916,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2013/03/13,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2012-06-21,0010.HK,46.54999923706055,46.54999923706055,44.54999923706055,44.70000076293945,24.782447814941406,758447,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2012/05/25,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2014-01-30,0010.HK,36.04999923706055,36.45000076293945,35.25,35.599998474121094,20.16822624206543,448070,0.0,0.0,38.04999923706055,36.25,35.599998474121094,35.25,CL2-2011/09/30,False,False,False,False,True,False,0.0,False,LL,LLLHHL,2014-02-12,2014-02-18,,,,,,10.HK
2022-06-28,0010.HK,14.760000228881836,15.020000457763672,14.760000228881836,15.020000457763672,11.671499252319336,241210,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2022/05/23,False,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2013-05-30,0010.HK,44.0,44.0,42.79999923706055,43.45000076293945,24.496734619140625,960000,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2013/03/13,False,False,False,True,False,False,0.0,False,,,,,,,,,,10.HK
2021-12-14,0010.HK,17.299999237060547,17.299999237060547,16.81999969482422,16.899999618530273,12.609336853027344,843100,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2020/10/14,False,False,False,False,True,False,0.0,False,,,,,,,,,,10.HK
2021-09-13,0010.HK,18.65999984741211,18.799999237060547,18.540000915527344,18.600000381469727,13.877732276916504,615660,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2020/12/30,False,False,False,False,True,False,0.0,False,,,,,,,,,,10.HK
2021-01-28,0010.HK,21.450000762939453,21.450000762939453,19.81999969482422,20.0,14.298016548156738,2722058,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2020/12/30,True,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2021-01-15,0010.HK,19.84000015258789,20.600000381469727,19.700000762939453,20.200000762939453,14.440999031066896,1321000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2020/10/14,False,True,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2022-06-13,0010.HK,14.84000015258789,14.9399995803833,14.5,14.520000457763672,11.282968521118164,403157,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/05/23,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2017-06-27,0010.HK,31.450000762939453,31.450000762939453,30.850000381469727,30.950000762939453,19.232627868652344,447700,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2017/05/12,False,False,False,True,False,False,0.0,False,,,,,,,,,,10.HK
2017-06-15,0010.HK,33.45000076293945,33.45000076293945,32.25,32.54999923706055,20.226879119873047,709200,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2017/05/12,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2016-05-16,0010.HK,20.75,21.100000381469727,20.64999961853028,20.850000381469727,12.632317543029783,1331000,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2016/03/31,False,False,False,True,False,False,0.0,False,,,,,,,,,,10.HK
2016-05-03,0010.HK,23.200000762939453,23.450000762939453,22.600000381469727,23.25,14.086398124694824,1339000,0.61,0.0,0.0,0.0,0.0,0.0,BY1-2016/03/31,True,False,False,False,False,False,0.0,False,,,,,,,,,,10.HK
2020-11-30,0010.HK,19.15999984741211,19.479999542236328,18.76000022888184,19.479999542236328,13.926268577575684,1931188,0.0,0.0,19.600000381469727,19.21999931335449,18.739999771118164,18.739999771118164,BY1-2020/10/14,True,False,False,False,False,False,0.0,False,HL,HLLHLL,2020-12-30,2021-01-05,,,,,,10.HK
2010-09-06,0103.HK,0.800000011920929,0.8600000143051147,0.800000011920929,0.8600000143051147,0.6296510100364685,11810000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2010/07/13,False,True,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2000-07-06,0103.HK,0.2000000029802322,0.2000000029802322,0.1979999989271164,0.1979999989271164,0.1241189613938331,300000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2000/06/19,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2000-07-11,0103.HK,0.2049999982118606,0.2119999974966049,0.2049999982118606,0.2119999974966049,0.1328950524330139,200000,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2000/06/19,False,True,True,False,False,False,0.0,False,,,,,,,,,,103.HK
2000-12-18,0103.HK,0.3499999940395355,0.3499999940395355,0.2649999856948852,0.2800000011920929,0.1755217611789703,9986000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2000/11/14,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2001-06-04,0103.HK,0.4149999916553497,0.4600000083446502,0.4099999964237213,0.4600000083446502,0.2883572578430176,17748000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2000/11/14,False,True,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2001-09-17,0103.HK,0.1899999976158142,0.1959999948740005,0.1770000010728836,0.1770000010728836,0.1109548434615135,1208000,0.0,0.0,0.1899999976158142,0.2460000067949295,0.2599999904632568,0.1770000010728836,CL2-2000/11/14,False,False,False,False,True,False,0.0,False,LL,LLHLLH,2001-09-27,2001-10-11,,,,,,103.HK
2003-01-17,0103.HK,0.2450000047683715,0.2450000047683715,0.2399999946355819,0.2399999946355819,0.1504472494125366,250000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2002/12/24,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2003-02-04,0103.HK,0.2599999904632568,0.2750000059604645,0.2599999904632568,0.2750000059604645,0.1723874509334564,1084000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2002/12/24,False,True,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2003-02-12,0103.HK,0.2750000059604645,0.3000000119209289,0.270000010728836,0.2899999916553497,0.1817903965711593,1206000,0.0,0.0,0.3449999988079071,0.2949999868869781,0.2949999868869781,0.25,TP2-2002/12/24,False,False,True,False,False,False,0.0,False,HL,HLHHHL,2003-02-20,2003-03-07,,,,,,103.HK
2010-08-27,0103.HK,0.7699999809265137,0.8199999928474426,0.7699999809265137,0.7900000214576721,0.5784004330635071,3274000,0.0,0.0,0.8799999952316284,0.9300000071525574,0.949999988079071,0.7699999809265137,BY1-2010/07/13,True,False,False,False,False,False,0.0,False,LL,LLHHHH,2010-09-07,2010-09-21,,,,,,103.HK
2010-09-14,0103.HK,0.8600000143051147,0.8899999856948853,0.8600000143051147,0.8799999952316284,0.6518740057945251,9440000,0.01,0.0,0.0,0.0,0.0,0.0,TP1-2010/08/19,False,True,True,False,False,False,0.0,False,,,,,,,,,,103.HK
2010-09-10,0103.HK,0.8199999928474426,0.8600000143051147,0.8199999928474426,0.8500000238418579,0.6223294734954834,1152000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2010/08/19,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2011-03-11,0103.HK,0.7900000214576721,0.7900000214576721,0.7699999809265137,0.7799999713897705,0.5777974128723145,928000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2011/02/22,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2010-09-21,0103.HK,0.9300000071525574,0.949999988079071,0.9200000166893004,0.9300000071525574,0.6889123916625977,1554000,0.0,0.0,0.8700000047683716,0.949999988079071,0.9700000286102296,0.800000011920929,TP2-2010/08/19,False,False,True,False,False,False,0.0,False,HH,HHHLHH,2010-09-28,2010-10-05,,,,,,103.HK
2024-05-08,0103.HK,0.25,0.2750000059604645,0.2419999986886978,0.25,0.2320591062307357,12122000,0.0,0.0,0.25,0.2599999904632568,0.2649999856948852,0.2129999995231628,TP2-2024/03/19,False,True,True,False,False,False,0.0,False,HH,HHHLLH,2024-05-20,2024-05-20,,,,,,103.HK
2024-04-16,0103.HK,0.2169999927282333,0.2329999953508377,0.2169999927282333,0.2329999953508377,0.2162790894508361,62000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/03/19,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2023-05-31,0103.HK,0.1770000010728836,0.1770000010728836,0.1700000017881393,0.1700000017881393,0.1512550860643386,208000,0.0,0.0,0.0,0.0,0.0,0.0,CL2-2023/03/10,False,False,False,False,True,False,0.0,False,,,,,,,,,,103.HK
2023-05-16,0103.HK,0.209999993443489,0.209999993443489,0.1850000023841858,0.1850000023841858,0.1646011024713516,148000,0.0,0.0,0.1899999976158142,0.1749999970197677,0.163000002503395,0.1679999977350235,TP1-2023/03/10,False,True,False,False,False,False,0.0,False,HH,HHLHLL,2023-06-07,2023-06-14,,,,,,103.HK
2023-04-04,0103.HK,0.1809999942779541,0.1870000064373016,0.1780000030994415,0.1829999983310699,0.1628216356039047,2032000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2023/03/10,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2023-03-01,0103.HK,0.1909999996423721,0.2150000035762787,0.1909999996423721,0.2150000035762787,0.191293179988861,194000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/09/29,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2022-02-28,0103.HK,0.3000000119209289,0.3000000119209289,0.2949999868869781,0.2949999868869781,0.2473294287919998,1074000,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2022/01/11,False,False,False,True,False,False,0.0,False,,,,,,,,,,103.HK
2022-02-21,0103.HK,0.3100000023841858,0.3199999928474426,0.3000000119209289,0.3149999976158142,0.264097511768341,2764000,0.0,0.0,0.3100000023841858,0.25,0.2409999966621399,0.2949999868869781,BY1-2022/01/11,True,False,False,False,False,False,0.0,False,-L,-LLHLL,2022-03-02,2022-03-15,,,,,,103.HK
2021-11-12,0103.HK,0.3000000119209289,0.3100000023841858,0.3000000119209289,0.3100000023841858,0.2599055171012878,1438000,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2021/07/19,False,False,True,False,False,False,0.0,False,,,,,,,,,,103.HK
2024-08-13,0103.HK,0.2800000011920929,0.3300000131130218,0.2800000011920929,0.2899999916553497,0.2806433737277984,5386000,0.0,0.0,0.2800000011920929,0.3149999976158142,0.3199999928474426,0.2399999946355819,TP2-2022/09/29,False,False,True,False,False,False,0.0,False,HH,HHHLLH,2024-08-20,2024-08-26,,,,,,103.HK
2021-08-10,0103.HK,0.2599999904632568,0.2800000011920929,0.2599999904632568,0.2800000011920929,0.2347533404827118,6000,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2021/07/19,True,False,False,False,False,False,0.0,False,,,,,,,,,,103.HK
2020-08-17,0103.HK,0.1990000009536743,0.2269999980926513,0.1979999989271164,0.2199999988079071,0.1749085783958435,46000,0.0,0.0,0.1850000023841858,0.2150000035762787,0.2150000035762787,0.1930000036954879,TP2-2020/05/12,False,False,True,False,False,False,0.0,False,HH,HHLLLH,2020-08-28,2020-09-01,,,,,,103.HK
2020-06-30,0103.HK,0.209999993443489,0.209999993443489,0.1979999989271164,0.1979999989271164,0.157417744398117,752000,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2020/05/12,False,True,False,False,False,False,0.0,False,,,,,,,,,,103.HK
