sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
0010.HK,2,0,0,1,3,0,6,
0013.HK,0,1,0,2,2,0,5,
0014.HK,2,0,0,2,5,0,9,
0017.HK,3,0,0,1,5,0,9,
0026.HK,1,0,0,1,3,0,5,
0028.HK,4,0,1,0,2,0,7,
0029.HK,1,0,1,1,1,0,4,
0032.HK,5,0,1,2,5,0,13,
0034.HK,4,0,0,0,3,0,7,
0035.HK,4,0,1,1,4,0,10,
0038.HK,1,0,1,1,2,0,5,
0041.HK,7,0,1,1,8,1,18,
0045.HK,2,0,0,1,5,0,8,
0051.HK,7,0,0,1,5,1,14,
0053.HK,4,0,0,0,2,0,6,
0062.HK,3,0,1,1,2,0,7,
0069.HK,3,0,0,1,3,0,7,
0071.HK,3,0,0,2,4,0,9,
0081.HK,3,0,0,1,2,1,7,
0085.HK,3,0,0,0,3,1,7,
0086.HK,3,0,0,0,2,0,5,
0098.HK,6,0,1,0,1,0,8,
0103.HK,4,0,3,0,2,0,9,
0107.HK,4,0,0,0,1,0,5,
0108.HK,1,0,0,0,2,0,3,
0116.HK,1,0,1,0,3,0,5,
0119.HK,3,0,0,0,4,1,8,
0123.HK,3,0,0,0,5,0,8,
0127.HK,3,0,1,0,4,0,8,
0133.HK,1,0,0,0,2,0,3,
0142.HK,8,0,0,3,5,0,16,
0147.HK,4,0,1,0,3,0,8,
0148.HK,3,0,0,0,7,1,11,
0152.HK,2,1,0,1,3,0,7,
0165.HK,1,0,1,1,7,0,10,
0169.HK,5,0,0,2,3,0,10,
0173.HK,2,0,1,2,0,0,5,
0177.HK,6,0,0,0,1,0,7,
0182.HK,2,1,1,0,2,0,6,
0189.HK,4,0,0,0,3,0,7,
0200.HK,2,0,0,0,4,0,6,
0207.HK,1,0,0,0,2,0,3,
0215.HK,1,0,0,0,2,0,3,
0218.HK,3,0,0,3,2,0,8,
0242.HK,3,0,1,3,4,0,11,
0245.HK,1,0,0,0,4,1,6,
0257.HK,0,0,2,1,4,1,8,
0258.HK,3,0,1,0,2,0,6,
0259.HK,1,0,1,0,2,0,4,
0272.HK,4,0,0,2,4,0,10,
0289.HK,4,0,0,0,5,0,9,
0290.HK,0,0,1,1,0,0,2,
0297.HK,2,0,0,0,4,0,6,
0303.HK,0,0,0,3,1,0,4,
0308.HK,3,0,1,0,2,0,6,
0315.HK,4,0,0,1,1,0,6,
0317.HK,2,0,0,3,1,0,6,
0323.HK,7,0,0,2,2,0,11,
0326.HK,2,0,1,1,0,1,5,
0327.HK,3,0,1,3,2,0,9,
0331.HK,0,0,0,0,1,0,1,
0336.HK,3,0,1,0,4,0,8,
0338.HK,3,0,0,2,1,0,6,
0340.HK,3,0,0,0,3,0,6,
0341.HK,5,0,0,1,4,0,10,
0345.HK,6,0,0,0,1,0,7,
0347.HK,2,0,1,1,4,0,8,
0354.HK,3,1,1,0,3,0,8,
0357.HK,3,1,0,2,3,0,9,
0363.HK,4,1,1,2,4,0,12,
0369.HK,3,0,2,1,4,0,10,
0370.HK,0,0,1,1,1,0,3,
0371.HK,0,1,0,0,5,0,6,
0373.HK,5,0,0,0,6,0,11,
0376.HK,2,0,1,1,6,0,10,
0390.HK,2,0,0,1,3,0,6,
0400.HK,1,0,0,0,2,0,3,
0410.HK,2,0,0,2,5,0,9,
0411.HK,0,0,1,0,0,0,1,
0412.HK,1,0,0,1,4,0,6,
0434.HK,2,0,0,0,3,0,5,
0440.HK,7,0,0,3,3,0,13,
0460.HK,4,0,0,0,5,0,9,
0467.HK,1,0,0,1,2,1,5,
0468.HK,2,0,0,1,0,0,3,
0489.HK,6,0,1,0,0,1,8,
0506.HK,4,0,0,2,4,0,10,
0512.HK,4,0,3,2,1,0,10,
0517.HK,0,0,0,0,2,0,2,
0521.HK,3,0,1,1,4,0,9,
0525.HK,2,0,1,1,3,0,7,
0546.HK,7,0,0,1,4,0,12,
0547.HK,1,0,1,0,4,0,6,
0548.HK,6,0,0,0,4,0,10,
0551.HK,3,0,0,1,1,0,5,
0552.HK,2,0,0,0,2,0,4,
0558.HK,3,0,0,0,4,0,7,
0564.HK,3,0,0,0,1,0,4,
0565.HK,5,0,0,1,3,0,9,
0570.HK,1,0,0,2,2,0,5,
0576.HK,5,1,0,3,4,0,13,
0579.HK,1,0,0,1,1,0,3,
0580.HK,3,0,0,0,1,0,4,
0581.HK,4,0,1,2,2,0,9,
0586.HK,2,0,0,0,2,0,4,
0590.HK,4,1,2,0,3,0,10,
0596.HK,3,0,0,0,0,0,3,
0598.HK,3,0,0,1,2,0,6,
0604.HK,3,0,0,1,0,0,4,
0613.HK,1,0,0,0,1,0,2,
0622.HK,2,0,1,1,7,0,11,
0631.HK,1,0,0,1,4,0,6,
0636.HK,1,0,1,0,3,0,5,
0639.HK,2,0,0,0,3,0,5,
0658.HK,4,0,0,2,5,0,11,
0662.HK,2,0,0,1,1,1,5,
0667.HK,2,0,0,1,0,0,3,
