sno,TP12,TP1,TP2,TP1C,CL1,BY1
0010.HK,0,0,0,1,0,0
0013.HK,0,1,0,0,0,0
0014.HK,1,0,0,0,0,0
0017.HK,2,0,0,0,1,0
0026.HK,0,0,0,2,0,0
0029.HK,1,0,0,0,1,0
0032.HK,0,0,0,0,1,0
0034.HK,0,0,0,0,1,0
0035.HK,1,0,0,0,0,0
0038.HK,0,0,0,0,1,0
0041.HK,0,0,0,0,1,0
0045.HK,0,0,0,0,1,0
0051.HK,0,0,0,0,2,0
0053.HK,1,0,0,0,0,0
0062.HK,1,0,0,0,1,0
0069.HK,0,0,0,0,1,0
0071.HK,1,0,0,1,0,0
0081.HK,1,0,0,0,3,0
0085.HK,1,0,0,0,2,0
0086.HK,1,0,0,0,0,0
0098.HK,1,0,0,0,0,0
0103.HK,2,0,1,1,0,0
0113.HK,0,0,0,1,0,0
0119.HK,2,0,0,0,0,0
0127.HK,1,0,0,0,3,0
0133.HK,1,0,1,1,1,0
0142.HK,1,0,0,0,0,0
0147.HK,1,0,0,0,0,0
0165.HK,1,0,0,1,0,0
0169.HK,2,0,1,0,0,1
0177.HK,1,0,0,0,1,0
0182.HK,0,0,0,0,1,0
0200.HK,0,0,0,0,1,0
0215.HK,1,0,0,0,0,0
0218.HK,0,0,0,0,1,0
0222.HK,3,0,0,1,0,1
0230.HK,0,1,0,0,0,0
0242.HK,0,0,0,1,0,0
0245.HK,0,0,0,2,1,0
0257.HK,0,0,0,0,2,0
0258.HK,0,0,0,1,0,0
0259.HK,0,0,0,0,2,0
0272.HK,1,0,0,0,1,0
0290.HK,3,0,0,0,1,0
0297.HK,1,0,0,0,0,0
0303.HK,1,0,0,0,1,0
0308.HK,3,0,1,0,0,0
0315.HK,0,0,0,0,1,0
0317.HK,1,0,0,0,0,0
0323.HK,3,0,0,0,0,0
0326.HK,0,0,1,0,0,0
0327.HK,0,0,0,0,1,0
0331.HK,1,0,0,0,0,0
0336.HK,0,0,0,0,1,0
0338.HK,2,0,0,0,1,0
0340.HK,1,0,0,0,2,0
0345.HK,1,0,0,0,1,0
0347.HK,0,0,0,1,1,0
0354.HK,1,0,1,0,0,0
0357.HK,0,1,1,1,0,0
0369.HK,0,0,0,1,0,0
0370.HK,0,0,0,0,1,0
0371.HK,2,0,0,0,0,0
0373.HK,1,0,1,0,1,0
0376.HK,0,0,1,0,0,0
0393.HK,0,1,2,3,2,0
0400.HK,1,0,0,0,0,0
0410.HK,0,0,0,0,1,0
0411.HK,1,0,0,1,0,0
0412.HK,1,0,0,0,0,0
0434.HK,1,0,0,0,0,0
0440.HK,0,0,0,1,1,0
0460.HK,1,0,0,0,0,0
