sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0013.HK,0,0,0,1,0,0,1,,
0017.HK,0,0,0,0,1,0,1,,
0029.HK,0,0,0,0,1,0,1,,
0035.HK,1,0,0,0,0,0,1,,
0045.HK,1,0,0,0,0,0,1,,
0062.HK,0,0,0,0,1,0,1,,
0081.HK,0,0,0,0,0,1,1,,
0113.HK,0,0,0,0,2,0,2,,
0127.HK,0,0,1,0,1,0,2,,
0142.HK,1,0,0,0,0,0,1,,
0147.HK,1,0,0,0,0,0,1,,
0152.HK,0,1,0,0,1,0,2,,
0177.HK,1,0,0,0,0,0,1,,
0200.HK,0,0,0,0,1,0,1,,
0218.HK,0,0,0,0,1,0,1,,
0230.HK,0,0,0,0,0,1,1,,
0257.HK,0,0,0,0,1,0,1,,
0258.HK,1,0,0,0,0,0,1,,
0308.HK,0,0,0,0,1,0,1,,
0317.HK,0,0,0,0,1,0,1,,
0341.HK,0,0,0,0,1,0,1,,
0345.HK,0,0,0,0,1,0,1,,
0357.HK,0,1,0,0,0,0,1,,
0371.HK,1,0,0,0,0,0,1,,
0410.HK,0,0,0,0,1,0,1,,
0412.HK,0,0,0,0,1,0,1,,
0440.HK,0,0,1,0,0,0,1,,
0512.HK,0,0,1,0,0,0,1,,
0558.HK,1,0,0,0,0,0,1,,
0580.HK,0,0,0,0,1,0,1,,
0636.HK,0,0,0,0,1,0,1,,
0658.HK,0,0,0,0,1,0,1,,
0667.HK,1,0,0,0,1,0,2,,
0670.HK,1,0,0,0,0,0,1,,
0686.HK,0,0,0,0,1,0,1,,
0694.HK,0,0,0,0,0,1,1,,
0696.HK,0,0,0,0,1,0,1,,
0763.HK,1,0,0,0,0,0,1,,
0777.HK,0,0,0,1,0,0,1,,
0806.HK,0,1,0,1,0,0,2,,
0807.HK,0,1,0,0,1,0,2,,
0816.HK,0,1,0,0,0,0,1,,
0830.HK,0,0,0,0,1,0,1,,
0839.HK,0,0,0,1,0,0,1,,
0855.HK,2,0,0,0,0,0,2,,
0866.HK,1,0,0,0,0,0,1,,
0874.HK,0,0,0,0,1,0,1,,
0916.HK,0,1,0,0,0,0,1,,
0934.HK,1,0,0,0,0,0,1,,
0991.HK,1,0,0,0,0,0,1,,
1052.HK,0,0,0,0,1,0,1,,
1072.HK,0,1,0,0,0,0,1,,
1083.HK,2,0,0,0,1,0,3,,
1104.HK,1,0,0,0,0,0,1,,
1114.HK,1,0,0,0,1,0,2,,
1133.HK,1,0,0,0,0,0,1,,
1157.HK,1,0,0,0,0,0,1,,
1167.HK,1,0,0,0,0,0,1,,
1196.HK,1,0,0,0,0,0,1,,
1216.HK,0,0,0,0,0,1,1,,
1286.HK,0,0,0,0,1,0,1,,
1302.HK,0,0,1,0,0,0,1,,
1313.HK,0,0,0,0,0,1,1,,
1316.HK,1,0,0,1,0,0,2,,
1330.HK,0,0,1,0,0,0,1,,
1345.HK,0,0,0,1,0,0,1,,
1359.HK,0,0,0,0,1,0,1,,
1368.HK,0,0,0,0,1,0,1,,
1385.HK,1,0,0,0,0,0,1,,
1448.HK,0,0,0,1,0,0,1,,
