index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,medium_bullish,weak_bullish,SNO
2000-10-09,0010.HK,7.650000095367432,7.650000095367432,7.349999904632568,7.349999904632568,2.5945074558258057,3575201.0,0.0,0.0,7.568385025216957,7.451892074727169,7.190700264871442,6.919480301512835,7.011289003865889,False,True,True,False,0.3000001907348633,0.1999999795641218,0.2999999693461826,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2000/09/20,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2007-08-24,0010.HK,36.0,36.25,34.5,35.79999923706055,17.91736602783203,352200.0,0.0,0.0,34.479548839686345,34.909453513308144,34.923964231473114,33.18680603687792,28.372036913219244,False,False,False,False,1.75,1.1653847327599158,1.7480770991398735,HL,HLLHLL,37.20000076293945,2007-08-27,35.150001525878906,2007-08-29,34.25,-0.08,29.100000381469727,29.100000381469727,BY1-2007/08/13,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2007-09-05,0010.HK,38.0,39.79999923706055,38.0,39.5,19.769163131713867,1538763.0,0.0,0.0,36.79553639671077,36.033570862690354,35.479031246928166,33.73581270089285,28.898857875561287,True,True,True,False,1.7999992370605469,1.4199999491373694,2.129999923706054,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2007/08/13,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2007-09-24,0010.HK,41.79999923706055,44.650001525878906,41.79999923706055,41.900001525878906,20.970338821411133,1460084.0,0.0,0.0,40.86457205514196,39.42098528817655,37.62010579539554,35.32844586248942,30.0596588512227,True,True,True,False,2.85000228881836,1.753333536783854,2.630000305175781,HH,HHHLHH,41.79999923706055,2007-09-27,44.59999847412109,2007-10-02,45.5,0.09,35.650001525878906,34.25,TP2-2007/08/13,True,True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2011-10-21,0010.HK,44.29999923706055,44.400001525878906,42.59999847412109,43.25,23.79631423950196,402355.0,0.0,0.0,43.83071004573247,43.05702168253058,43.58876393258634,45.14469667268851,46.36260902255386,False,False,False,False,1.8000030517578196,1.5538459190955525,2.3307688786433283,HL,HLHHHL,49.79999923706055,2011-10-31,46.09999847412109,2011-11-03,45.95000076293945,-0.08,41.0,36.20000076293945,BY1-2011/09/26,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2011-10-28,0010.HK,47.150001525878906,49.45000076293945,47.0,49.04999923706055,26.98749542236328,758184.0,0.0,0.0,45.89294139151018,44.46973687903468,44.179585274372776,45.30400755991746,46.379816785754265,False,False,True,False,2.450000762939453,1.8250002179827003,2.7375003269740503,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2011/09/26,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,False,,,10.HK
2013-02-21,1033.HK,1.366665959358215,1.366665959358215,1.2799999713897705,1.3066660165786743,1.3066660165786743,36858000.0,0.0,0.0,1.3523084796256724,1.3324148179202953,1.286240321915998,1.228071370590495,1.2254737989291902,True,True,True,False,0.0866659879684446,0.0426666975021362,0.0640000462532043,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2013/01/16,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2013-02-27,1033.HK,1.266666054725647,1.5133329629898071,1.266666054725647,1.5133329629898071,1.5133329629898071,108436500.0,0.0,0.0,1.355138723456922,1.3373307871009603,1.2948732159855727,1.2369177689839372,1.2291514505995478,True,True,True,False,0.2466669082641601,0.0400001066071646,0.0600001599107469,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2013/01/16,False,False,False,False,True,True,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2013-03-05,1033.HK,1.5,1.6266659498214722,1.5,1.6200000047683716,1.6200000047683716,69790413.0,0.0,0.0,1.4595248770211606,1.3991455621286013,1.330839167517425,1.260018612925752,1.2388450525705277,True,True,True,False,0.1266659498214721,0.0514286756515502,0.0771430134773253,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP3-2013/01/16,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2021-05-11,1033.HK,0.7799999713897705,0.7799999713897705,0.7400000095367432,0.7699999809265137,0.7699999809265137,22916000.0,0.0,0.0,0.7337203574447684,0.7242439260142566,0.7176555670082503,0.6917367263131353,0.6652333175759018,True,True,True,False,0.0399999618530273,0.0226666688919067,0.0340000033378601,HL,HLHHLL,0.8500000238418579,2021-05-13,0.7400000095367432,2021-05-14,0.7300000190734863,-0.14,0.6700000166893005,0.6700000166893005,BY1-2021/04/19,True,True,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2021-05-12,1033.HK,0.7699999809265137,0.8199999928474426,0.7799999713897705,0.7900000214576721,0.7900000214576721,14880000.0,0.0,0.0,0.7439530236289327,0.7299618473571623,0.7204926044376394,0.6936825341377796,0.6662274745789438,True,True,True,False,0.0400000214576721,0.0240000009536743,0.0360000014305114,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2021/04/19,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2022-05-30,1033.HK,0.6200000047683716,0.6200000047683716,0.5899999737739563,0.6100000143051147,0.6100000143051147,6570000.0,0.0,0.0,0.5957334898189279,0.5909138550859296,0.6071634184417628,0.6343580794462096,0.6652150429089229,False,False,False,False,0.0300000309944152,0.0185714108603341,0.0278571162905011,HL,HLHHHL,0.6399999856948853,2022-06-06,0.6200000047683716,2022-06-08,0.6000000238418579,-0.06,0.5600000023841858,0.5400000214576721,BY1-2022/04/29,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
2022-05-31,1033.HK,0.6100000143051147,0.6299999952316284,0.6000000238418579,0.6299999952316284,0.6299999952316284,7897000.0,0.0,0.0,0.601963763530328,0.5943126498812078,0.6080589704727379,0.6342717807488911,0.6649344449194623,False,False,False,False,0.0299999713897705,0.0185714108603341,0.0278571162905011,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2022/04/29,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,False,,,1033.HK
