sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0013.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0014.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0017.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
0032.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0034.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0035.HK,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0
0038.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0041.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0069.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0081.HK,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
0085.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0086.HK,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0
0095.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0098.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0107.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0116.HK,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,33.33
0119.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0123.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0127.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0152.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0165.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0173.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0182.HK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0200.HK,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
0215.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0218.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0222.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
