sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0010.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0013.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0014.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0017.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
0029.HK,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,75.0
0034.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0035.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
0038.HK,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,8.0,50.0
0041.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
0045.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,33.33
0051.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0062.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0069.HK,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,83.33
0071.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0081.HK,0.0,1.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,12.0,41.67
0085.HK,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0086.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0088.HK,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
0095.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0098.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,66.67
0108.HK,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,7.0,71.43
0113.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,33.33
0116.HK,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,83.33
0119.HK,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,57.14
0123.HK,0.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0,66.67
0127.HK,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,60.0
0142.HK,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,75.0
0147.HK,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,75.0
0148.HK,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0
0152.HK,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,66.67
0165.HK,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,83.33
0173.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,66.67
0177.HK,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0179.HK,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,25.0
0182.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0189.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0200.HK,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,85.71
0215.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0218.HK,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0230.HK,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,60.0
0242.HK,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,50.0
0245.HK,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,75.0
0258.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0
0259.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
0272.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,50.0
0289.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0290.HK,1.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,60.0
0297.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,60.0
0303.HK,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,75.0
0308.HK,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,100.0
0315.HK,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
0317.HK,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,80.0
0323.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,50.0
0326.HK,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,71.43
0327.HK,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,100.0
0331.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0336.HK,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,71.43
0338.HK,1.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0,76.92
0340.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,66.67
0341.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0
0345.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,50.0
0347.HK,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,33.33
0354.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0357.HK,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0363.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0369.HK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
0371.HK,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,60.0
0373.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0376.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,100.0
0390.HK,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,75.0
