sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0010.HK,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0013.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0014.HK,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,55.56
0017.HK,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,11.0,9.09
0026.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0028.HK,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,50.0
0029.HK,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,50.0
0032.HK,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,57.14
0034.HK,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,60.0
0035.HK,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,33.33
0038.HK,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,42.86
0041.HK,4.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,10.0,70.0
0045.HK,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,20.0
0051.HK,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,8.0,37.5
0053.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0062.HK,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,42.86
0069.HK,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,16.67
0071.HK,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,33.33
0081.HK,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,42.86
0085.HK,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,60.0
0086.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0088.HK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,66.67
0095.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,33.33
0098.HK,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0
0107.HK,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,6.0,50.0
0108.HK,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,60.0
0113.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0116.HK,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,25.0
0119.HK,1.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,10.0,50.0
0123.HK,6.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,13.0,61.54
0127.HK,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,7.0,42.86
0133.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
0142.HK,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,57.14
0147.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
0148.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
0152.HK,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,20.0
0165.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
0173.HK,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.0,33.33
0177.HK,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,60.0
0179.HK,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,8.0,25.0
0182.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,66.67
0189.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,25.0
0200.HK,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,40.0
0207.HK,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,28.57
0215.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
0218.HK,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,33.33
0222.HK,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,8.0,75.0
0230.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,28.57
0242.HK,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,37.5
0245.HK,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,20.0
0258.HK,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,75.0
0259.HK,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,28.57
0272.HK,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,33.33
0289.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0290.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0297.HK,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,10.0,40.0
0303.HK,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,33.33
0308.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,40.0
0315.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0317.HK,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,75.0
0323.HK,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,7.0,42.86
0326.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0327.HK,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,20.0
0331.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0336.HK,2.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,11.0,54.55
0338.HK,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,9.0,44.44
0340.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0
0341.HK,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,28.57
0345.HK,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,71.43
0347.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,28.57
0354.HK,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,60.0
0357.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0363.HK,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,8.0,50.0
0369.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0370.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0371.HK,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,40.0
0373.HK,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,40.0
0376.HK,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,33.33
0390.HK,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,25.0
0393.HK,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,42.86
0400.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0410.HK,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0
0411.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0412.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,25.0
0434.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0440.HK,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0460.HK,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,62.5
0467.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
0468.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0
0489.HK,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,87.5
0506.HK,4.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,12.0,58.33
0512.HK,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,57.14
0517.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0
0521.HK,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,6.0,33.33
0525.HK,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,10.0,50.0
0546.HK,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,9.0,44.44
0547.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
0548.HK,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,60.0
0551.HK,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,25.0
0552.HK,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,16.67
0558.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
0564.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
0565.HK,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0
0570.HK,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,66.67
0576.HK,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,9.0,55.56
0579.HK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,100.0
0580.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0581.HK,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,50.0
