Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price
2025-09-15,8646.HK,0.2419999986886978,0.248999997973442,0.2380000054836273,0.2409999966621399,0.2409999966621399,60000,0.0,0.0,0.2462052134281772,0.2512663749539809,0.255863535074652,0.2616698573237349,0.2770801409892676,False,False,LH,LHLLHH,0.2189999967813491,2025-09-29,0.2599999904632568,2025-10-09,0.2599999904632568,0.2269999980926513,SB1-2025/09/15,False,False,False,False,False,True,1.0,3.0,3.0,0.0,0.0,0.24,0.2599999904632568,0.2799999809265135
2025-09-25,8347.HK,0.1330000013113021,0.1369999945163726,0.1330000013113021,0.1369999945163726,0.1369999945163726,520000,0.0,0.0,0.1291226149570447,0.1218740835450552,0.1108000179692916,0.1078162509706514,0.1964592400187575,False,True,LH,LHLLHH,0.1080000028014183,2025-10-21,0.1430000066757202,2025-10-22,0.1469999998807907,0.1120000034570694,SB1-2025/09/25,False,False,False,False,False,True,1.0,1.0,1.0,0.0,0.0,0.13,0.1469999998807907,0.1639999997615814
2025-10-03,8103.HK,0.1420000046491623,0.1599999964237213,0.1420000046491623,0.1439999938011169,0.1439999938011169,57000,0.0,0.0,0.1492271743886326,0.1553704129256025,0.1690726001839066,0.2122543224222151,0.4035850592977207,False,False,LH,LHLLHH,0.1319999992847442,2025-10-13,0.238999992609024,2025-10-14,0.4250000119209289,0.1400000005960464,SB1-2025/10/03,False,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,0.28,0.4250000119209289,0.5700000238418578
2025-09-12,8028.HK,0.3000000119209289,0.3199999928474426,0.2800000011920929,0.2899999916553497,0.2899999916553497,4174175,0.0,0.0,0.2922998529031476,0.2746909171056267,0.2422962379945636,0.2169623309003684,0.2112352237622588,True,True,LH,LHLLHH,0.2649999856948852,2025-09-15,0.4749999940395355,2025-10-03,0.550000011920929,0.2750000059604645,SB1-2025/09/12,False,False,False,False,False,True,0.62,8.0,3.0,5.0,0.0,0.41,0.550000011920929,0.690000023841858
2025-09-12,6885.HK,1.100000023841858,1.1200000047683716,1.0700000524520874,1.090000033378601,1.090000033378601,428000,0.0,0.0,1.1131407556150006,1.1542432178471485,1.131401630759448,1.0150734651323965,0.944083713187742,False,False,LH,LHLLHH,0.9200000166893004,2025-09-18,1.5499999523162842,2025-10-09,1.649999976158142,1.0,SB1-2025/09/12,False,False,False,False,False,True,0.69,9.0,3.0,5.0,1.0,1.28,1.649999976158142,2.019999952316284
2025-09-17,1961.HK,0.2750000059604645,0.2750000059604645,0.2549999952316284,0.2549999952316284,0.2549999952316284,170000,0.0,0.0,0.2626867898997674,0.273943586023829,0.3017895622529945,0.3441139377753116,0.4903347314246593,False,False,LH,LHLLHH,0.2399999946355819,2025-09-22,0.3050000071525574,2025-10-02,0.3499999940395355,0.2479999959468841,SB1-2025/09/17,False,False,False,False,False,True,0.75,3.0,1.0,2.0,0.0,0.29,0.3499999940395355,0.409999988079071
2025-10-13,1894.HK,0.0309999994933605,0.032999999821186,0.0299999993294477,0.0320000015199184,0.0320000015199184,1105000,0.0,0.0,0.0317736175616737,0.0320419666954664,0.0318184782332057,0.0312347987324013,0.0599644286580519,False,False,LH,LHLLHH,0.0289999991655349,2025-10-17,0.0350000001490116,2025-10-23,0.0370000004768371,0.0299999993294477,SB1-2025/10/13,False,False,False,False,False,True,0.75,3.0,3.0,0.0,0.0,0.03,0.0370000004768371,0.0440000009536742
2025-09-15,1865.HK,0.248999997973442,0.2549999952316284,0.2450000047683715,0.2549999952316284,0.2549999952316284,2214000,0.0,0.0,0.2512118857181093,0.2540633743325123,0.2627462005263941,0.2702723939796432,0.3647622084485565,False,False,LH,LHLLHH,0.2399999946355819,2025-09-17,0.2649999856948852,2025-09-25,0.2649999856948852,0.2440000027418136,SB1-2025/09/15,False,False,False,False,False,True,0.67,4.0,2.0,2.0,0.0,0.25,0.2649999856948852,0.2799999713897704
2025-10-08,1858.HK,15.720000267028809,16.469999313354492,15.720000267028809,16.299999237060547,16.299999237060547,158000,0.0,0.0,16.042318629318416,16.017812658902923,15.631175770980814,14.35920125526025,12.122787271425851,True,True,LH,LHLLHH,14.289999961853027,2025-10-13,17.600000381469727,2025-10-22,18.68000030517578,14.8100004196167,SB1-2025/10/08,False,False,False,False,False,True,0.71,5.0,0.0,4.0,1.0,16.49,18.68000030517578,20.870000610351564
2025-09-08,1842.HK,0.0579999983310699,0.0610000006854534,0.0579999983310699,0.0590000003576278,0.0590000003576278,1136000,0.0,0.0,0.0596149092875723,0.0612436231033996,0.0625423052432639,0.0639285756805688,0.0763032382962026,False,False,LH,LHLLHH,0.0540000014007091,2025-09-16,0.0640000030398368,2025-09-22,0.0640000030398368,0.0570000000298023,SB1-2025/09/08,False,False,False,False,False,True,0.67,2.0,2.0,0.0,0.0,0.06,0.0640000030398368,0.0680000060796736
2025-09-24,1746.HK,0.3199999928474426,0.3300000131130218,0.2899999916553497,0.2949999868869781,0.2949999868869781,492000,0.0,0.0,0.3081898569348079,0.3295122331644213,0.3529888303630875,0.3736640755029505,0.364545389573393,False,False,LH,LHLLHH,0.2599999904632568,2025-09-26,0.4099999964237213,2025-10-08,0.4449999928474426,0.2649999856948852,SB1-2025/09/24,False,False,False,False,False,True,0.67,4.0,2.0,2.0,0.0,0.35,0.4449999928474426,0.5399999856948853
2025-09-18,1725.HK,0.9900000095367432,1.0700000524520874,0.9800000190734864,1.0099999904632568,1.0099999904632568,9340200,0.0,0.0,1.005470490085553,1.0206204828975745,0.9686597000463716,0.9088572836607808,1.1835104544251742,False,False,LH,LHLLHH,0.8700000047683716,2025-09-30,1.2599999904632568,2025-10-06,1.2699999809265137,0.8899999856948853,SB1-2025/09/18,False,False,False,False,False,True,1.0,3.0,2.0,0.0,1.0,1.07,1.2699999809265137,1.4699999618530273
2025-09-15,1711.HK,0.096000000834465,0.1190000027418136,0.096000000834465,0.1080000028014183,0.1080000028014183,100000,0.0,0.0,0.0989431474631594,0.0932848139717503,0.0839044864374079,0.0856491482395016,0.1201221524928676,False,True,LH,LHLLHH,0.0839999988675117,2025-09-19,0.1969999969005584,2025-10-09,0.2599999904632568,0.0890000015497207,SB1-2025/09/15,False,False,False,False,False,True,1.0,3.0,2.0,0.0,1.0,0.17,0.2599999904632568,0.3499999809265135
2025-08-29,1623.HK,0.1500000059604644,0.1580000072717666,0.1469999998807907,0.1570000052452087,0.1570000052452087,3250000,0.0,0.0,0.1554681645897363,0.159017632139469,0.1680789524511406,0.1863698408807422,0.223516453831727,False,False,LH,LHLLHH,0.1420000046491623,2025-09-09,0.2070000022649765,2025-09-18,0.2199999988079071,0.1459999978542328,SB1-2025/08/29,False,False,False,False,False,True,0.86,6.0,2.0,4.0,0.0,0.18,0.2199999988079071,0.2599999976158142
2025-08-26,1592.HK,0.0299999993294477,0.0309999994933605,0.0299999993294477,0.0309999994933605,0.0309999994933605,1125000,0.0,0.0,0.0308709246167818,0.0316046091620308,0.032384782108115,0.0330571884370062,0.0439435766647246,False,False,LH,LHLLHH,0.0270000007003545,2025-09-02,0.0340000018477439,2025-09-11,0.0350000001490116,0.0280000008642673,SB1-2025/08/26,False,False,False,False,False,True,0.8,4.0,1.0,3.0,0.0,0.03,0.0350000001490116,0.0400000002980232
2025-09-03,1312.HK,0.0299999993294477,0.0299999993294477,0.0280000008642673,0.0299999993294477,0.0299999993294477,78000,0.0,0.0,0.0299081311295749,0.0301272003239294,0.0297369707845237,0.0296629637063717,0.0322794962247973,False,False,LH,LHLLHH,0.025000000372529,2025-09-09,0.0399999991059303,2025-09-17,0.0480000004172325,0.0260000005364418,SB1-2025/09/03,False,False,False,False,False,True,0.6,3.0,1.0,2.0,0.0,0.04,0.0480000004172325,0.056000000834465
2025-09-16,1283.HK,1.309999942779541,1.3899999856948853,1.309999942779541,1.3700000047683716,1.3551318645477295,690000,0.0,0.0,1.3407188824802247,1.3860262554453635,1.389849631446867,1.2951742191926243,1.1195449331469276,False,False,LH,LHLLHH,1.2799999713897705,2025-09-23,1.4800000190734863,2025-09-26,1.5,1.2899999618530271,SB1-2025/09/16,False,False,False,False,False,True,0.67,2.0,2.0,0.0,0.0,1.39,1.5,1.61
2025-09-22,1119.HK,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.149999976158142,1.149999976158142,9894800,0.0,0.0,1.1030220099139587,1.1034076238126294,1.0721653420526982,1.076938497793949,1.4068910716140834,False,False,LH,LHLLHH,0.9900000095367432,2025-09-26,1.190000057220459,2025-10-03,1.2300000190734863,1.0399999618530271,SB1-2025/09/22,False,False,False,False,False,True,1.0,4.0,1.0,2.0,1.0,1.11,1.2300000190734863,1.3500000381469726
2025-08-25,1075.HK,2.970000028610229,3.180000066757202,2.9600000381469727,3.0899999141693115,3.0899999141693115,31000,0.0,0.0,2.9534131303047158,2.764438210412303,2.5068890838382294,2.338553965503052,2.354707019857158,False,True,LH,LHLLHH,2.5799999237060547,2025-09-03,3.289999961853028,2025-09-15,3.4800000190734863,2.650000095367432,SB1-2025/08/25,False,False,False,False,False,True,0.62,5.0,3.0,2.0,0.0,3.03,3.4800000190734863,3.930000038146973
2025-10-03,953.HK,0.3050000071525574,0.3050000071525574,0.2750000059604645,0.2899999916553497,0.2899999916553497,266000,0.0,0.0,0.2866138844640672,0.2906576822545366,0.2714024879928164,0.2308000706884273,0.1779971769363438,False,False,LH,LHLLHH,0.2599999904632568,2025-10-08,0.3600000143051147,2025-10-23,0.3700000047683716,0.2649999856948852,SB1-2025/10/03,False,False,False,False,False,True,0.73,8.0,1.0,5.0,2.0,0.31,0.3700000047683716,0.4300000095367431
2025-09-08,915.HK,0.0810000002384185,0.0810000002384185,0.0790000036358833,0.0799999982118606,0.0799999982118606,420000,0.0,0.0,0.079190935068161,0.0809084971814201,0.0874889438063716,0.095268770296197,0.09770811608049,False,False,LH,LHLLHH,0.0680000036954879,2025-09-19,0.0820000022649765,2025-09-24,0.0850000008940696,0.0719999969005584,SB1-2025/09/08,False,False,False,False,False,True,1.0,3.0,3.0,0.0,0.0,0.08,0.0850000008940696,0.0900000017881392
2025-10-02,798.HK,0.231000006198883,0.2469999939203262,0.2300000041723251,0.2450000047683715,0.2450000047683715,2680000,0.0,0.0,0.2415221566860006,0.2452946626607741,0.2462926436142463,0.242767914550097,0.2506805995046761,False,False,LH,LHLLHH,0.2269999980926513,2025-10-09,0.248999997973442,2025-10-14,0.2549999952316284,0.2300000041723251,SB1-2025/10/02,False,False,False,False,False,True,0.67,2.0,0.0,1.0,1.0,0.24,0.2549999952316284,0.2699999904632568
