index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-11-03,1011.HK,0.7799999713897705,0.8299999833106995,0.7799999713897705,0.7799999713897705,0.7799999713897705,255800.0,0.0,0.0,0.8128326932149864,0.867327860786164,0.8763455692169089,0.7759598131677583,0.5521311097761944,False,False,False,False,0.0500000119209289,0.041538472358997,0.0623077085384955,LH,LHLLHH,0.6899999976158142,2025-11-05,0.8500000238418579,2025-11-14,0.9100000262260436,0.32,0.7200000286102295,0.7200000286102295,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,True,1.0,7.0,5.0,1.0,1.0,True,0.8,0.9100000262260436,1.0200000524520871,1.1300000786781306,1011.HK
2025-11-19,1011.HK,0.8100000023841858,0.8100000023841858,0.800000011920929,0.800000011920929,0.800000011920929,30000.0,0.0,0.0,0.791461776915277,0.8066821570419332,0.8352747257537214,0.773744921742772,0.5715005889837901,False,False,False,False,0.0099999904632568,0.0207692293020395,0.0311538439530592,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/03,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1011.HK
2025-11-14,1025.HK,0.2329999953508377,0.2450000047683715,0.2329999953508377,0.2360000014305114,0.2360000014305114,136000.0,0.0,0.0,0.2375837342919559,0.2406468737650063,0.2543087912173943,0.2816883386578245,0.775733977649216,False,False,False,False,0.0120000094175337,0.0141428602593285,0.0212142903889928,LH,LHLLHH,0.2070000022649765,2025-11-25,0.270000010728836,2025-12-04,0.270000010728836,0.3,0.2119999974966049,0.2119999974966049,SB1-2025/11/14,False,False,False,False,False,False,False,False,False,False,True,0.83,5.0,4.0,1.0,0.0,True,0.24,0.270000010728836,0.300000021457672,0.330000032186508,1025.HK
2025-11-28,1027.HK,3.700000047683716,3.700000047683716,3.5899999141693115,3.5899999141693115,3.5899999141693115,20338.0,0.0,0.0,3.858742254054412,3.8918358060701777,3.4571872709827542,2.720308863021862,1.7950162766769873,False,False,False,False,0.1100001335144043,0.091333262125651,0.1369998931884765,LH,LHLLHH,3.200000047683716,2025-12-04,4.53000020980835,2025-12-11,4.869999885559082,0.52,3.25,3.25,SB1-2025/11/28,True,True,True,False,False,False,False,False,False,False,True,1.0,4.0,2.0,1.0,0.0,True,4.03,4.869999885559082,5.709999771118164,6.549999656677246,1027.HK
2025-12-18,1027.HK,4.210000038146973,4.21999979019165,4.019999980926514,4.150000095367432,4.150000095367432,182500.0,0.0,0.0,4.105723537170107,3.9797941546435514,3.658899253330095,2.996735772122007,2.0040357715715142,True,True,True,False,0.1999998092651367,0.1333333015441894,0.1999999523162842,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/28,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1027.HK
2025-09-25,1029.HK,0.6499999761581421,0.6499999761581421,0.6299999952316284,0.6399999856948853,0.6399999856948853,115200.0,0.0,0.0,0.6449541825582473,0.6551137501000642,0.6744218476426854,0.7060927545205089,0.8102997210266835,False,False,False,False,0.0199999809265136,0.0153333266576131,0.0229999899864196,LH,LHLLHH,0.6100000143051147,2025-09-26,0.7200000286102295,2025-10-06,0.75,0.23,0.6100000143051147,0.6100000143051147,SB1-2025/09/25,False,False,False,False,False,False,False,False,False,False,True,1.0,5.0,2.0,1.0,1.0,True,0.68,0.75,0.82,0.8899999999999999,1029.HK
2025-10-08,1029.HK,0.7099999785423279,0.7099999785423279,0.6499999761581421,0.6600000262260437,0.6600000262260437,1359120.0,0.0,0.0,0.6477281482771772,0.6494884968057311,0.6661575523570407,0.6974025358088628,0.8009690225771422,False,False,False,False,0.0600000023841857,0.0199999936989375,0.0299999905484063,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/09/25,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1029.HK
2025-10-27,1029.HK,0.5899999737739563,0.5899999737739563,0.5199999809265137,0.5299999713897705,0.5299999713897705,2230000.0,0.0,0.0,0.6028811736079505,0.620493094698047,0.6444307853310637,0.678845252251658,0.7835961653862739,False,False,False,False,0.0699999928474426,0.0171428535665784,0.0257142803498676,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/09/25,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,1029.HK
2025-11-24,1037.HK,0.5899999737739563,0.5899999737739563,0.5400000214576721,0.5400000214576721,0.5400000214576721,1266000.0,0.0,0.0,0.6015906837323126,0.6398350109092856,0.6165154935942629,0.5236901035791404,0.3984474347172653,False,False,False,False,0.0499999523162841,0.0371428515229906,0.0557142772844859,LH,LHLLHH,0.5199999809265137,2025-11-25,0.6800000071525574,2025-12-03,0.7599999904632568,0.46,0.5299999713897705,0.5299999713897705,SB1-2025/11/24,False,False,False,False,False,False,False,False,False,False,True,0.83,5.0,2.0,3.0,0.0,True,0.64,0.7599999904632568,0.8799999809265137,0.9999999713897704,1037.HK
2025-12-05,1037.HK,0.6700000166893005,0.699999988079071,0.6399999856948853,0.699999988079071,0.699999988079071,1372000.0,0.0,0.0,0.6320688143590332,0.630884466603075,0.6165857143962612,0.5385562228963915,0.4132994937688018,True,True,True,False,0.0600000023841857,0.0386666735013326,0.0580000102519989,HL,HLLHLL,0.7200000286102295,2025-12-08,0.6200000047683716,2025-12-10,0.6000000238418579,-0.17,0.5199999809265137,0.5199999809265137,BY1-2025/11/24,True,True,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1037.HK
