Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,Capital Gains,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,SNO
2017-06-29,1000.HK,3.859999895095825,4.0,3.75,4.0,4.0,469000,0.0,0.0,3.936813720926001,3.888731392277768,3.88800141692926,3.962980943553332,4.280654063119913,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2017/06/06,True,False,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1000.HK
2017-06-30,1000.HK,4.0,4.050000190734863,3.900000095367432,3.9800000190734863,3.9800000190734863,200500,0.0,0.0,3.9446657751346335,3.8966677946078314,3.8916092052486415,3.963317954949771,4.278258413366554,False,True,,,0.0,,0.0,,0.0,0.0,TP1-2017/06/06,False,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1000.HK
2017-08-21,1000.HK,3.609999895095825,3.609999895095825,3.609999895095825,3.609999895095825,3.609999895095825,500,0.0,0.0,3.769399611621155,3.8459433202796784,3.8889582368456113,3.938857636291216,4.205797320206902,False,False,,,0.0,,0.0,,0.0,0.0,CL2-2017/06/06,False,False,False,False,True,False,0.0,0.0,0.0,False,False,,,,,,,1000.HK
2021-06-10,1001.HK,0.248999997973442,0.25,0.2380000054836273,0.2450000047683715,0.170612022280693,122000,0.0,0.0,0.1812933297135579,0.178165642284949,0.1760976323944025,0.1862280716148004,0.24902700783881,False,True,,,0.0,,0.0,,0.0,0.0,TP1-2021/03/30,True,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1001.HK
2021-06-11,1001.HK,0.2450000047683715,0.2599999904632568,0.238999992609024,0.238999992609024,0.1664337664842605,214000,0.0,0.0,0.1785915909445947,0.1771454791718457,0.1757186572606714,0.1858361051765718,0.2483688943618813,False,True,,,0.0,,0.0,,0.0,0.0,TP2-2021/03/30,False,False,True,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1001.HK
2024-02-28,1002.HK,0.0850000008940696,0.0949999988079071,0.0729999989271164,0.0930000022053718,0.0930000022053718,644000,0.0,0.0,0.0875240054016886,0.0829949518789276,0.0809647865167253,0.0833987754360328,0.1004262247167306,False,True,HL,HLLLHH,0.0680000036954879,2024-04-03,0.0949999988079071,2024-05-16,0.0949999988079071,0.0680000036954879,BY1-2023/11/29,True,False,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1002.HK
2024-08-14,1002.HK,0.0640000030398368,0.0640000030398368,0.0570000000298023,0.0579999983310699,0.0579999983310699,1024000,0.0,0.0,0.0678696484755735,0.072060005935486,0.0768085065670799,0.0798792254618121,0.0919613175819194,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2023/11/29,False,False,False,True,False,False,0.0,0.0,0.0,False,False,,,,,,,1002.HK
2005-04-06,1003.HK,3177.166015625,3177.166015625,2953.421875,3132.417236328125,3132.417236328125,137,0.0,0.0,2985.8311413135416,2807.565715720016,2679.652810918826,2614.4551039324083,2706.0360220519283,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2005/02/22,True,False,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2005-05-06,1003.HK,3445.658935546875,4161.6396484375,3356.1611328125,4116.89111328125,4116.89111328125,907,0.0,0.0,3493.7488943819,3303.3683721359885,3054.1523807283847,2856.475848631952,2799.379811395255,True,True,,,0.0,,0.0,,0.0,0.0,TP1-2005/02/22,False,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2005-08-17,1003.HK,4340.63525390625,4698.62548828125,4295.88623046875,4609.1279296875,4609.1279296875,839,0.0,0.0,4063.467653453881,3899.332647906073,3779.969677911497,3571.397854324176,3226.7226812605168,True,True,,,0.0,,0.0,,0.0,0.0,TP2-2005/02/22,False,False,True,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2019-05-07,1003.HK,1.5399999618530271,1.7000000476837158,1.5399999618530271,1.7000000476837158,1.7000000476837158,990001,0.0,0.0,1.618593530883873,1.607406121897175,1.6050717358181492,1.6272237147680964,1.7241197618369573,False,True,HH,HHHLLH,1.5299999713897705,2019-05-27,1.559999942779541,2019-06-11,1.5800000429153442,1.4500000476837158,TP1-2019/03/21,True,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2019-08-27,1003.HK,1.4800000190734863,1.5399999618530271,1.4500000476837158,1.4600000381469729,1.4600000381469729,13130031,0.0,0.0,1.5075656020460937,1.5297166790859984,1.5492368809519723,1.5715916562421912,1.6538767823320917,False,False,LH,LHLLHH,1.2799999713897705,2019-08-29,1.590000033378601,2019-09-13,1.600000023841858,1.409999966621399,CL2-2019/03/21,False,False,False,False,True,True,0.82,9.0,3.0,True,False,,3.0,3.0,1.44,1.600000023841858,1.760000047683716,1003.HK
2020-05-18,1003.HK,1.4600000381469729,1.4600000381469729,1.399999976158142,1.409999966621399,1.409999966621399,950000,0.0,0.0,1.449597295504932,1.4404210731088651,1.4385430720374683,1.4482053840020268,1.497659597710995,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2020/04/07,True,False,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2020-06-19,1003.HK,1.4299999475479126,1.5,1.4199999570846558,1.5,1.5,3262200,0.0,0.0,1.426296971581111,1.422099331386615,1.426035331375344,1.4366941170461776,1.4837320619050636,False,False,,,0.0,,0.0,,0.0,0.0,TP1-2020/04/07,False,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2020-08-31,1003.HK,1.690000057220459,1.8600000143051147,1.5499999523162842,1.600000023841858,1.600000023841858,21561540,0.0,0.0,1.4968289304331317,1.476221236722206,1.4587319035317492,1.4515995540815845,1.4758502488184946,False,True,HH,HHLLHL,1.3600000143051147,2020-09-10,1.3899999856948853,2020-09-17,1.3799999952316284,1.3799999952316284,TP2-2020/04/07,False,False,True,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
2021-11-30,1003.HK,1.7400000095367432,1.7400000095367432,1.5299999713897705,1.5299999713897705,1.5299999713897705,16030001,0.0,0.0,1.6531845391656366,1.6182151242112763,1.5913059815638098,1.6298836375670194,1.6733126536503022,False,True,,,0.0,,0.0,,0.0,0.0,TP1-2021/09/08,True,True,False,False,False,False,0.0,0.0,0.0,False,False,,,,,,,1003.HK
