sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0007.HK,1,1,0,0,3,2,7,28.57%,
0009.HK,0,0,0,0,3,0,3,0.00%,
0018.HK,0,0,0,0,0,1,1,0.00%,
0021.HK,0,1,1,0,5,1,8,25.00%,
0022.HK,0,0,0,0,1,1,2,0.00%,
0025.HK,0,0,0,0,1,0,1,0.00%,
0030.HK,1,0,1,1,1,0,4,50.00%,
0031.HK,1,0,0,0,0,0,1,100.00%,
0033.HK,1,0,0,0,3,0,4,25.00%,
0036.HK,0,0,0,1,2,1,4,0.00%,
0037.HK,3,0,1,1,3,0,8,50.00%,
0039.HK,1,1,0,0,0,1,3,66.67%,
0040.HK,1,0,0,0,1,0,2,50.00%,
0042.HK,1,0,0,0,5,1,7,14.29%,
0046.HK,2,0,0,1,2,0,5,40.00%,
0048.HK,0,1,0,0,2,1,4,25.00%,
0050.HK,0,0,0,0,2,0,2,0.00%,
0052.HK,1,0,0,0,2,0,3,33.33%,
0055.HK,2,0,0,0,1,1,4,50.00%,
0057.HK,2,0,1,1,3,1,8,37.50%,
0058.HK,0,1,0,0,3,0,4,25.00%,
0059.HK,1,1,0,1,1,0,4,50.00%,
0060.HK,0,0,0,1,0,4,5,0.00%,
0061.HK,1,0,0,1,1,1,4,25.00%,
0063.HK,1,0,1,1,2,1,6,33.33%,
0064.HK,0,0,2,0,2,0,4,50.00%,
0065.HK,2,0,0,1,1,0,4,50.00%,
0070.HK,1,0,0,0,2,3,6,16.67%,
0072.HK,0,0,0,0,1,2,3,0.00%,
0073.HK,0,0,0,0,1,1,2,0.00%,
0075.HK,1,0,0,0,1,1,3,33.33%,
0076.HK,3,0,0,1,1,0,5,60.00%,
0077.HK,2,0,0,0,0,0,2,100.00%,
0078.HK,2,0,0,0,4,4,10,20.00%,
0079.HK,0,1,1,0,1,2,5,40.00%,
0080.HK,0,1,0,0,0,1,2,50.00%,
0082.HK,0,0,1,1,3,3,8,12.50%,
0084.HK,0,1,0,1,2,1,5,20.00%,
0088.HK,2,0,0,0,3,0,5,40.00%,
0089.HK,1,0,0,0,4,0,5,20.00%,
0090.HK,1,0,0,0,0,0,1,100.00%,
0092.HK,1,0,0,1,2,0,4,25.00%,
0093.HK,0,2,0,1,1,1,5,40.00%,
0094.HK,0,1,1,0,1,1,4,50.00%,
0095.HK,1,0,1,0,1,0,3,66.67%,
0096.HK,1,0,0,0,0,0,1,100.00%,
0097.HK,2,2,0,0,1,1,6,66.67%,
0099.HK,1,1,0,0,2,1,5,40.00%,
0104.HK,2,0,0,1,2,1,6,33.33%,
0105.HK,0,0,0,0,0,1,1,0.00%,
0106.HK,1,0,0,0,2,2,5,20.00%,
0110.HK,0,1,0,0,2,1,4,25.00%,
0111.HK,4,0,0,1,2,3,10,40.00%,
0114.HK,1,0,0,0,0,0,1,100.00%,
0115.HK,0,0,0,1,1,0,2,0.00%,
0118.HK,2,0,0,1,2,0,5,40.00%,
0120.HK,0,0,1,0,4,1,6,16.67%,
0122.HK,1,0,0,0,1,0,2,50.00%,
0124.HK,2,0,1,0,2,0,5,60.00%,
0125.HK,2,0,0,0,0,0,2,100.00%,
0126.HK,0,1,0,1,2,2,6,16.67%,
0128.HK,1,0,0,0,0,0,1,100.00%,
0129.HK,1,0,0,1,0,0,2,50.00%,
0130.HK,0,0,0,0,3,0,3,0.00%,
0131.HK,1,2,0,0,2,0,5,60.00%,
0132.HK,0,0,0,1,1,0,2,0.00%,
0137.HK,1,0,0,0,2,0,3,33.33%,
0138.HK,0,1,0,1,0,0,2,50.00%,
0139.HK,0,0,2,0,0,0,2,100.00%,
0145.HK,1,0,1,0,1,0,3,66.67%,
0146.HK,1,0,0,0,0,0,1,100.00%,
0149.HK,0,1,0,0,1,0,2,50.00%,
0150.HK,1,0,0,0,0,0,1,100.00%,
0154.HK,0,1,1,0,1,0,3,66.67%,
0156.HK,2,0,1,0,2,2,7,42.86%,
0157.HK,3,2,0,0,1,0,6,83.33%,
0159.HK,0,1,0,0,2,0,3,33.33%,
0160.HK,2,0,1,0,2,0,5,60.00%,
0162.HK,0,1,0,0,5,3,9,11.11%,
0163.HK,1,0,0,1,2,0,4,25.00%,
0164.HK,0,0,1,0,3,1,5,20.00%,
0166.HK,0,1,0,0,0,2,3,33.33%,
0167.HK,3,1,0,0,0,1,5,80.00%,
0171.HK,1,0,1,0,2,1,5,40.00%,
0174.HK,0,1,0,1,1,1,4,25.00%,
0176.HK,1,0,0,0,1,0,2,50.00%,
0178.HK,4,1,0,1,3,0,9,55.56%,
0181.HK,0,0,0,0,1,1,2,0.00%,
0183.HK,0,0,0,0,1,0,1,0.00%,
0184.HK,0,0,0,0,1,2,3,0.00%,
0185.HK,1,0,0,0,2,2,5,20.00%,
0186.HK,1,0,0,0,1,0,2,50.00%,
0187.HK,2,0,0,2,3,0,7,28.57%,
0188.HK,0,0,0,1,2,1,4,0.00%,
0191.HK,0,0,0,0,1,0,1,0.00%,
0193.HK,2,0,0,0,3,0,5,40.00%,
0194.HK,1,0,0,0,4,1,6,16.67%,
0195.HK,0,0,0,0,2,0,2,0.00%,
0196.HK,0,0,0,0,4,1,5,0.00%,
0197.HK,3,1,0,0,2,1,7,57.14%,
0199.HK,0,2,0,0,4,1,7,28.57%,
0201.HK,1,0,1,0,1,0,3,66.67%,
0202.HK,0,2,0,0,3,1,6,33.33%,
0204.HK,0,0,0,0,3,1,4,0.00%,
0205.HK,1,0,0,0,4,0,5,20.00%,
0206.HK,1,0,0,0,3,0,4,25.00%,
0209.HK,1,1,0,0,1,1,4,50.00%,
0210.HK,0,0,0,1,2,1,4,0.00%,
0211.HK,0,0,0,0,2,1,3,0.00%,
0212.HK,0,0,0,0,1,0,1,0.00%,
0213.HK,0,1,0,0,2,1,4,25.00%,
0214.HK,1,0,0,2,1,0,4,25.00%,
0216.HK,0,1,0,0,0,0,1,100.00%,
0217.HK,2,1,1,0,1,0,5,80.00%,
0222.HK,0,2,1,0,1,0,4,75.00%,
0223.HK,1,0,1,0,1,3,6,33.33%,
0224.HK,0,0,0,0,1,0,1,0.00%,
0225.HK,0,0,1,0,1,0,2,50.00%,
0227.HK,3,1,0,0,2,1,7,57.14%,
0228.HK,2,0,0,0,3,0,5,40.00%,
0229.HK,0,0,0,0,2,0,2,0.00%,
0232.HK,2,0,0,2,5,0,9,22.22%,
0234.HK,2,1,0,1,1,0,5,60.00%,
0235.HK,1,1,0,1,2,2,7,28.57%,
0236.HK,0,1,0,1,1,1,4,25.00%,
0237.HK,0,0,0,0,0,1,1,0.00%,
0239.HK,2,0,0,0,0,0,2,100.00%,
0240.HK,0,1,0,0,2,1,4,25.00%,
0243.HK,2,1,0,2,2,0,7,42.86%,
0244.HK,1,0,1,0,1,2,5,40.00%,
