sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0007.HK,0,0,0,0,4,1,5,0.00%,
0009.HK,1,0,0,0,2,0,3,33.33%,
0018.HK,1,0,0,0,0,0,1,100.00%,
0021.HK,0,0,0,0,0,1,1,0.00%,
0022.HK,0,0,1,0,1,0,2,50.00%,
0025.HK,1,1,1,1,1,0,5,60.00%,
0030.HK,0,1,2,0,0,0,3,100.00%,
0031.HK,0,0,0,0,1,0,1,0.00%,
0033.HK,0,0,0,0,2,0,2,0.00%,
0036.HK,0,0,0,3,2,0,5,0.00%,
0037.HK,1,0,0,0,0,0,1,100.00%,
0039.HK,0,0,0,0,1,0,1,0.00%,
0040.HK,0,0,0,1,0,0,1,0.00%,
0042.HK,0,0,0,0,3,0,3,0.00%,
0048.HK,0,0,0,1,0,0,1,0.00%,
0050.HK,0,0,1,1,0,0,2,50.00%,
0052.HK,0,0,2,0,6,1,9,22.22%,
0055.HK,0,0,0,1,0,0,1,0.00%,
0057.HK,2,0,0,0,2,1,5,40.00%,
0058.HK,0,0,0,0,1,0,1,0.00%,
0059.HK,1,0,0,1,0,0,2,50.00%,
0061.HK,0,0,0,0,3,0,3,0.00%,
0063.HK,1,0,1,0,0,0,2,100.00%,
0065.HK,0,0,0,0,4,0,4,0.00%,
0070.HK,0,0,2,1,0,0,3,66.67%,
0072.HK,1,0,1,0,1,0,3,66.67%,
0073.HK,0,0,1,1,3,1,6,16.67%,
0075.HK,0,0,0,0,1,0,1,0.00%,
0076.HK,2,0,0,0,0,0,2,100.00%,
0077.HK,0,0,0,1,1,0,2,0.00%,
0078.HK,1,0,0,0,2,0,3,33.33%,
0079.HK,0,1,0,0,0,0,1,100.00%,
0080.HK,0,0,0,1,4,0,5,0.00%,
0082.HK,0,0,0,1,0,0,1,0.00%,
0088.HK,0,0,1,1,1,0,3,33.33%,
0089.HK,0,0,0,0,1,0,1,0.00%,
0090.HK,0,0,0,1,2,0,3,0.00%,
0092.HK,0,0,2,0,3,0,5,40.00%,
0093.HK,0,0,0,0,1,0,1,0.00%,
0094.HK,0,0,0,0,2,0,2,0.00%,
0095.HK,1,0,0,1,1,0,3,33.33%,
0097.HK,1,0,1,0,0,1,3,66.67%,
0104.HK,2,0,0,1,0,0,3,66.67%,
0105.HK,0,0,0,0,0,1,1,0.00%,
0106.HK,2,0,0,0,1,0,3,66.67%,
0110.HK,0,0,1,0,0,0,1,100.00%,
0111.HK,0,0,0,1,1,0,2,0.00%,
0114.HK,0,0,0,0,2,0,2,0.00%,
0117.HK,0,0,0,1,0,0,1,0.00%,
0118.HK,2,0,1,0,0,0,3,100.00%,
0120.HK,0,0,0,0,2,0,2,0.00%,
0122.HK,0,1,1,1,1,0,4,50.00%,
0124.HK,1,0,1,0,2,0,4,50.00%,
0126.HK,0,0,0,1,2,0,3,0.00%,
0129.HK,2,1,0,0,0,0,3,100.00%,
0130.HK,0,0,0,0,1,0,1,0.00%,
0131.HK,1,0,1,0,2,0,4,50.00%,
0137.HK,0,0,0,0,2,0,2,0.00%,
0138.HK,0,0,0,0,1,0,1,0.00%,
0139.HK,0,0,1,0,2,0,3,33.33%,
0149.HK,0,0,0,0,1,0,1,0.00%,
0150.HK,1,0,0,0,0,0,1,100.00%,
0154.HK,1,1,0,0,0,0,2,100.00%,
0156.HK,0,1,0,0,3,0,4,25.00%,
