sno,TP12,TP1,TP2,TP1C,CL1,BY1
0007.HK,1,0,0,0,1,0
0009.HK,0,0,0,1,0,0
0018.HK,0,0,0,0,1,0
0021.HK,0,0,0,0,1,0
0030.HK,1,0,0,0,1,0
0033.HK,1,0,0,0,1,0
0037.HK,1,0,1,0,1,0
0039.HK,1,0,0,0,1,0
0040.HK,2,0,0,0,0,0
0042.HK,1,0,0,0,0,0
0046.HK,1,0,0,1,1,0
0050.HK,1,0,0,0,1,0
0052.HK,0,0,0,0,1,0
0057.HK,0,0,0,1,2,0
0058.HK,1,0,1,1,0,0
0061.HK,1,0,0,0,0,0
0070.HK,2,0,0,0,2,0
0075.HK,1,0,0,0,0,0
0076.HK,1,0,0,1,0,0
0078.HK,1,0,0,1,0,0
0079.HK,1,0,0,1,0,0
0080.HK,0,0,1,0,0,1
0082.HK,1,0,0,0,0,0
0084.HK,1,0,0,2,2,0
0088.HK,2,0,0,0,0,0
0089.HK,1,0,0,0,1,0
0092.HK,0,0,0,0,1,0
0093.HK,0,0,1,0,0,0
0094.HK,1,0,0,0,0,0
0095.HK,1,0,0,0,0,0
0097.HK,1,0,0,0,0,0
0099.HK,1,0,0,0,1,0
0104.HK,0,0,0,1,1,0
0106.HK,0,0,0,1,2,0
0110.HK,1,0,0,0,2,0
0111.HK,2,0,1,0,1,1
0113.HK,0,0,1,1,1,0
0118.HK,1,0,0,0,0,0
0120.HK,1,0,1,0,0,0
0122.HK,1,0,0,0,0,0
0124.HK,1,0,1,0,1,0
0125.HK,2,0,0,1,0,0
0126.HK,0,0,0,1,0,0
0129.HK,0,0,0,0,1,0
0131.HK,0,0,0,1,1,0
0137.HK,2,0,0,0,0,0
0138.HK,0,0,0,0,1,0
0139.HK,1,0,0,0,0,0
0145.HK,1,0,0,0,0,0
0149.HK,1,0,0,0,0,0
0150.HK,1,0,0,0,0,0
0154.HK,2,0,0,0,1,0
0156.HK,1,0,0,0,4,0
0158.HK,1,0,0,0,0,0
0159.HK,1,0,0,0,1,0
