sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
0021.HK,0,0,1,0,0,0,0,1
0046.HK,0,0,0,0,0,0,1,0
0052.HK,0,0,0,0,0,0,1,0
0057.HK,0,0,0,0,0,1,0,0
0059.HK,0,0,0,0,0,0,0,1
0065.HK,0,0,0,0,0,0,1,0
0070.HK,0,0,0,0,0,0,0,1
0072.HK,0,1,0,0,0,0,0,0
0076.HK,0,0,0,0,0,0,1,0
0080.HK,0,0,0,0,0,1,0,1
0088.HK,0,0,0,0,0,0,0,1
0095.HK,0,0,0,0,0,0,1,0
0111.HK,0,0,0,0,0,0,0,1
0117.HK,0,0,0,0,0,0,0,1
0120.HK,0,0,0,0,0,0,1,0
0129.HK,0,0,0,0,0,0,1,0
0132.HK,0,0,0,0,0,0,1,0
0156.HK,0,0,0,0,0,0,0,1
0163.HK,0,0,0,0,0,1,0,0
0167.HK,0,0,0,0,0,1,0,0
0178.HK,0,0,0,0,0,0,1,0
0180.HK,0,0,0,0,0,0,0,1
0193.HK,0,0,0,0,0,0,0,1
0194.HK,0,0,0,0,0,0,1,0
0202.HK,0,0,0,0,1,0,0,0
0214.HK,0,0,0,0,0,0,1,0
0232.HK,0,0,0,0,1,0,0,1
0236.HK,0,0,0,0,0,0,1,0
0237.HK,1,0,0,0,0,0,0,0
0243.HK,0,0,0,0,0,0,0,1
0264.HK,0,0,0,0,0,0,0,1
0266.HK,0,0,0,0,0,0,0,1
0271.HK,0,0,1,0,0,0,0,0
0279.HK,0,0,0,0,0,0,0,1
0286.HK,0,0,0,0,0,0,0,1
0295.HK,0,0,0,0,0,0,0,2
0298.HK,0,0,0,0,0,0,0,1
0302.HK,0,0,0,0,0,0,1,0
0305.HK,0,0,0,0,0,0,0,1
0306.HK,0,0,0,0,0,0,1,0
0343.HK,0,0,0,0,0,0,1,0
0367.HK,0,0,1,0,0,0,0,1
0379.HK,0,0,0,0,0,0,0,1
0382.HK,0,0,0,0,0,0,0,2
0383.HK,0,0,0,0,0,0,0,1
0385.HK,0,0,0,0,0,0,0,1
0396.HK,0,0,0,0,0,0,1,0
0398.HK,0,0,0,0,0,0,1,0
0408.HK,0,0,0,0,0,0,1,0
0419.HK,0,0,0,0,0,0,0,1
0422.HK,0,0,1,0,0,0,0,1
0428.HK,0,0,0,0,0,0,1,0
0455.HK,0,0,1,0,0,0,0,0
0456.HK,0,0,0,0,0,0,0,1
0465.HK,1,0,0,0,0,0,0,0
0476.HK,0,0,0,0,0,0,0,1
0484.HK,0,0,0,0,0,0,0,1
0487.HK,0,0,0,0,0,0,1,0
0493.HK,0,0,0,0,0,0,1,0
0529.HK,0,0,0,0,1,0,0,0
0538.HK,0,0,0,0,0,0,1,0
0543.HK,0,0,0,0,0,0,0,1
0556.HK,1,0,0,0,0,0,0,0
0560.HK,0,0,0,0,0,0,0,1
0567.HK,0,0,1,0,0,0,0,0
0571.HK,0,0,0,0,0,0,0,1
0575.HK,0,0,0,0,0,0,1,0
0585.HK,0,0,0,0,0,0,0,1
0587.HK,0,0,0,0,0,0,1,0
0591.HK,1,0,0,0,1,0,0,0
0595.HK,0,0,0,0,1,0,0,1
0603.HK,0,1,0,0,0,0,0,0
0605.HK,0,0,0,0,0,0,0,1
0609.HK,0,0,0,0,0,0,1,0
0610.HK,0,0,0,0,0,0,0,1
0611.HK,0,0,0,0,0,0,0,1
0619.HK,0,0,1,0,0,0,0,0
0632.HK,0,0,0,0,0,0,0,1
0637.HK,0,0,0,0,0,0,2,0
0650.HK,0,1,0,0,0,0,0,0
0660.HK,0,0,0,0,1,0,0,0
0689.HK,0,0,0,0,0,0,1,0
0690.HK,0,0,0,0,0,0,1,0
0698.HK,0,0,0,0,0,0,1,0
0712.HK,0,0,0,0,0,1,0,0
0713.HK,0,0,0,0,1,0,0,0
0726.HK,0,0,0,0,0,0,1,0
0757.HK,0,0,0,0,0,0,1,0
0759.HK,0,0,0,0,0,0,1,0
0764.HK,0,0,0,0,0,0,0,1
0765.HK,0,0,0,0,0,0,0,1
0767.HK,0,0,0,0,0,0,1,0
0768.HK,0,0,0,0,0,0,0,1
0784.HK,0,0,0,0,0,0,0,1
0794.HK,0,0,0,0,0,0,0,1
0810.HK,0,0,0,0,0,0,1,0
0848.HK,0,0,0,0,0,1,1,1
0859.HK,0,0,0,0,0,0,0,1
0873.HK,0,0,0,0,0,0,1,0
0888.HK,0,0,0,0,0,0,0,1
0894.HK,1,0,0,0,0,0,0,0
0895.HK,0,0,1,0,0,0,0,0
0912.HK,0,0,0,0,0,0,1,0
0918.HK,0,0,0,0,0,0,0,1
0919.HK,0,0,0,0,1,0,0,0
0926.HK,0,0,0,0,0,0,0,1
0953.HK,0,0,0,0,0,0,0,1
0980.HK,0,0,0,0,0,0,0,1
0984.HK,0,0,0,0,0,0,0,1
