sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0021.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0022.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0030.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0048.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0064.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
0065.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0072.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0076.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0078.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0080.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0082.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0084.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0088.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
0095.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0097.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0111.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0120.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0122.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0128.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0129.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0138.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0145.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0160.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0163.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0164.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,33.33
0167.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
0169.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0181.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0194.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0197.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0199.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
0202.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0214.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0227.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0232.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0271.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0276.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
0286.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0298.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0305.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0312.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
0328.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0343.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0352.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0355.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0366.HK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0379.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0382.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0396.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0398.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0418.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0419.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0420.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0422.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0423.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0428.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0432.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0451.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0455.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0476.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0484.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0487.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0
0491.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
0498.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0500.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0520.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
