index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WLDate,WHigh,WHDate,HHHL,EMA250,SNO
2025-12-19,1020.HK,0.1500000059604644,0.1539999991655349,0.1439999938011169,0.1490000039339065,0.1490000039339065,8708000,0.0,0.0,0.1445701740706426,0.1349899158426381,0.1277128240955133,0.1175703084142564,True,True,True,False,0.010000005364418,0.0069333354632059,0.0104000031948089,LL,LLHHHLHHHL,0.1599999964237213,2025-12-22,0.1539999991655349,2025-12-23,0.1459999978542328,-0.09,0.1129999980330467,0.1120000034570694,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1459999978542328,2025-12-23,0.3000000119209289,2026-01-06,True,0.1007853087224862,1020.HK
2025-12-03,1239.HK,0.2849999964237213,0.2899999916553497,0.2849999964237213,0.2899999916553497,0.2899999916553497,2040000,0.0,0.0,0.2997713755544126,0.2874714400083403,0.2605758305317204,0.2311116627162724,True,True,True,False,0.0049999952316283,0.0153846144676208,0.0230769217014312,HL,HLHHHLHHHL,0.3499999940395355,2025-12-04,0.2949999868869781,2025-12-05,0.2949999868869781,-0.16,0.2649999856948852,0.2649999856948852,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.2949999868869781,2025-12-05,0.3600000143051147,2025-12-08,True,0.1901918471837443,1239.HK
2025-12-05,1239.HK,0.2949999868869781,0.2949999868869781,0.2949999868869781,0.2949999868869781,0.2949999868869781,120000,0.0,0.0,0.299681663307165,0.2895177783381598,0.2635996034102589,0.2338109405989179,True,True,True,False,0.0,0.0176923068670126,0.0265384603005189,HL,HLHHHLHHHL,0.3600000143051147,2025-12-08,0.3149999976158142,2025-12-09,0.3100000023841858,-0.14,0.2649999856948852,0.2649999856948852,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.3100000023841858,2025-12-09,0.5699999928474426,2025-12-12,True,0.1919344885671429,1239.HK
2025-12-09,1239.HK,0.3100000023841858,0.3149999976158142,0.3100000023841858,0.3149999976158142,0.3149999976158142,180000,0.0,0.0,0.3092083855700049,0.2961386391065935,0.2686822942822067,0.2375768089493534,True,True,True,False,0.0049999952316284,0.0176923068670126,0.0265384603005189,HL,HLHHHLHHHL,0.5699999928474426,2025-12-12,0.449999988079071,2025-12-18,0.4149999916553497,-0.27,0.2849999964237213,0.2649999856948852,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.4149999916553497,2025-12-18,0.699999988079071,2025-12-30,True,0.1941250174419597,1239.HK
2025-12-19,0128.HK,0.3100000023841858,0.3100000023841858,0.3050000071525574,0.3050000071525574,0.3050000071525574,272000,0.0,0.0,0.3010681700931312,0.2979646724981183,0.2938755444882756,0.2872443005033004,True,True,True,False,0.0049999952316284,0.0030769270199995,0.0046153905299993,HL,HLHHHLHHHL,0.3549999892711639,2025-12-23,0.3549999892711639,2025-12-24,0.3350000083446502,-0.06,0.2800000011920929,0.2750000059604645,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.3350000083446502,2025-12-24,0.4000000059604645,2025-12-30,True,0.2830440931414734,128.HK
2025-11-17,1283.HK,1.440000057220459,1.4500000476837158,1.3700000047683716,1.4299999475479126,1.4259374141693115,415000,0.0,0.0,1.4114082783968187,1.404467841565888,1.402059989293125,1.3598734586411234,True,True,True,False,0.0800000429153442,0.0553333123524983,0.0829999685287475,HL,HLHHHLHHHL,1.5800000429153442,2025-11-19,1.5,2025-11-21,1.4299999475479126,-0.09,1.3200000524520874,1.3200000524520874,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,1.4299999475479126,2025-11-21,1.6299999952316284,2025-11-27,True,1.202349391976402,1283.HK
2025-11-21,1283.HK,1.440000057220459,1.5099999904632568,1.4299999475479126,1.5,1.4957386255264282,320000,0.0,0.0,1.4572139715626342,1.4316104174466877,1.4154982320667788,1.3700876294248798,True,True,True,False,0.0800000429153442,0.059333324432373,0.0889999866485595,HL,HLHHHLHHHL,1.6299999952316284,2025-11-27,1.5499999523162842,2025-11-28,1.5299999713897705,-0.06,1.340000033378601,1.3200000524520874,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,1.5299999713897705,2025-11-28,1.820000052452088,2025-12-05,True,1.2114900913138495,1283.HK
2025-12-15,1283.HK,1.7300000190734863,1.7599999904632568,1.5499999523162842,1.7300000190734863,1.7300000190734863,295000,0.0,0.0,1.7205813112164383,1.6381462650125544,1.5414444736363422,1.453278000001042,True,True,True,False,0.2100000381469726,0.0657142911638531,0.0985714367457797,LL,LLHHHLHHHL,1.820000052452088,2025-12-18,1.7200000286102295,2025-12-19,1.659999966621399,-0.09,1.5,1.3700000047683716,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,1.659999966621399,2025-12-19,1.8899999856948853,2025-12-29,True,1.2664507627433734,1283.HK
2025-11-18,1289.HK,2.7300000190734863,2.799999952316284,2.7300000190734863,2.789999961853028,2.789999961853028,43500,0.0,0.0,2.7707307438586395,2.76640274667381,2.6674466359798448,2.450907774763844,True,True,True,False,0.0699999332427978,0.0426666259765625,0.0639999389648438,LL,LLHHHLHHHL,2.8399999141693115,2025-11-19,2.75,2025-11-26,2.75,-0.03,2.680000066757202,2.680000066757202,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.75,2025-11-26,2.950000047683716,2025-12-05,True,1.969689600342932,1289.HK
2025-11-26,1348.HK,0.1410000026226043,0.1420000046491623,0.1400000005960464,0.1400000005960464,0.1400000005960464,116000,0.0,0.0,0.1429113663355732,0.1406327229002945,0.1310378547805661,0.1131115223599854,True,True,True,False,0.0020000040531159,0.0040833310534556,0.0061249965801835,HL,HLHHHLHHHL,0.1949999928474426,2025-12-03,0.1659999936819076,2025-12-05,0.1500000059604644,-0.23,0.123999997973442,0.1199999973177909,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1500000059604644,2025-12-05,0.25,2025-12-08,True,0.0874498028749474,1348.HK
2025-11-12,1410.HK,0.3149999976158142,0.3849999904632568,0.2949999868869781,0.3849999904632568,0.3849999904632568,490000,0.0,0.0,0.3590051555495334,0.3574417268396333,0.3265532947149651,0.2940067308176728,False,True,True,False,0.0900000035762786,0.0146153844319857,0.0219230766479785,LL,LLHHHLHHHL,0.3849999904632568,2025-11-17,0.3549999892711639,2025-11-21,0.3100000023841858,-0.19,0.2949999868869781,0.2949999868869781,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.3100000023841858,2025-11-21,0.6499999761581421,2025-11-27,True,0.2952254698126128,1410.HK
2025-11-17,1486.HK,0.4600000083446502,0.4600000083446502,0.4600000083446502,0.4850000143051147,0.4850000143051147,10000,0.0,0.0,0.4501926469153237,0.40173631487575,0.3456287000002217,0.3337870230009089,False,True,True,False,0.0,0.0100000003973642,0.0150000005960464,HL,HLHHHLHHHL,0.6000000238418579,2025-11-26,0.5899999737739563,2025-12-02,0.5199999809265137,-0.13,0.4250000119209289,0.3899999856948852,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.5199999809265137,2025-12-02,0.6499999761581421,2025-12-16,True,,1486.HK
2025-11-27,1529.HK,0.5,0.5199999809265137,0.4650000035762787,0.5099999904632568,0.5099999904632568,172000,0.0,0.0,0.4944931595536919,0.4873578849419817,0.4768915793221129,0.4604757632001841,False,True,True,False,0.0549999773502349,0.0283333281675974,0.0424999922513961,LL,LLHHHLHHHL,0.5299999713897705,2025-12-02,0.5099999904632568,2025-12-08,0.4900000095367431,-0.08,0.4350000023841858,0.4350000023841858,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.4900000095367431,2025-12-08,0.550000011920929,2025-12-12,True,0.606636640857308,1529.HK
2025-12-08,1529.HK,0.5099999904632568,0.5099999904632568,0.4900000095367431,0.5099999904632568,0.5099999904632568,58000,0.0,0.0,0.5053079444894336,0.496876571445193,0.4839562687063318,0.4660760422949503,False,True,True,False,0.0199999809265137,0.0242857081549508,0.0364285622324262,HL,HLHHHLHHHL,0.550000011920929,2025-12-12,0.5400000214576721,2025-12-16,0.5099999904632568,-0.07,0.4550000131130218,0.4350000023841858,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.5099999904632568,2025-12-16,0.5799999833106995,2025-12-18,True,0.6021076184652979,1529.HK
2025-12-16,1529.HK,0.5199999809265137,0.550000011920929,0.5099999904632568,0.5400000214576721,0.5400000214576721,46000,0.0,0.0,0.5230655501185688,0.5095628904613119,0.4924325817002394,0.4721934683066023,False,True,True,False,0.0400000214576721,0.0246153817727015,0.0369230726590523,HL,HLHHHLHHHL,0.5799999833106995,2025-12-18,0.5699999928474426,2025-12-23,0.5199999809265137,-0.1,0.4650000035762787,0.4550000131130218,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.5199999809265137,2025-12-23,0.6000000238418579,2025-12-30,True,0.5992858574629563,1529.HK
2025-11-12,1621.HK,0.0949999988079071,0.1360000073909759,0.0949999988079071,0.1180000007152557,0.1180000007152557,6008000,0.0,0.0,0.1009517125198483,0.0987753600055852,0.0973608144519696,0.0922563606920711,False,True,True,False,0.0410000085830687,0.0019285705472741,0.0028928558209112,HL,HLHHHLHHHL,0.1280000060796737,2025-11-13,0.1169999986886978,2025-11-18,0.1169999986886978,-0.09,0.0939999967813491,0.0839999988675117,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1169999986886978,2025-11-18,0.135000005364418,2025-11-24,True,,1621.HK
2025-12-03,1750.HK,0.0549999997019767,0.0549999997019767,0.050000000745058,0.0540000014007091,0.0540000014007091,7190000,0.0,0.0,0.0537863671982452,0.051096972231403,0.0480915995297385,0.0441931000695459,False,True,True,False,0.0049999989569187,0.0029999991257985,0.0044999986886977,HL,HLHHHLHHHL,0.0769999995827674,2025-12-04,0.0610000006854534,2025-12-09,0.0570000000298023,-0.26,0.0430000014603138,0.0430000014603138,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0570000000298023,2025-12-09,0.1260000020265579,2025-12-16,True,,1750.HK
2025-11-21,1917.HK,0.096000000834465,0.0989999994635582,0.0900000035762786,0.0900000035762786,0.0900000035762786,1910000,0.0,0.0,0.084251255465722,0.0745657126082795,0.0655019883861344,0.0605432730487054,False,True,True,False,0.0089999958872795,0.0067142857504742,0.0100714286257114,HL,HLHHHLHHHL,0.1509999930858612,2025-11-27,0.1389999985694885,2025-12-01,0.1150000020861625,-0.24,0.0599999986588954,0.0590000003576278,True,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1150000020861625,2025-12-01,0.1780000030994415,2025-12-03,True,0.0616021602347763,1917.HK
2025-11-07,1959.HK,1.4700000286102295,1.5,1.399999976158142,1.4199999570846558,1.4199999570846558,1206000,0.0,0.0,1.2569583664382793,1.0106891664418782,0.7180589414836099,0.5376579470954351,False,True,True,False,0.1000000238418579,0.1629999955495198,0.2444999933242798,HL,HLHHHLHHHL,2.4200000762939453,2025-11-17,2.2799999713897705,2025-11-18,2.009999990463257,-0.17,0.8100000023841858,0.5099999904632568,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.009999990463257,2025-11-18,2.539999961853028,2025-11-19,True,,1959.HK
2025-11-18,1959.HK,2.359999895095825,2.359999895095825,2.009999990463257,2.2799999713897705,2.2799999713897705,2258000,0.0,0.0,1.7681484257727256,1.4189303166077332,0.9948569348770392,0.7079746583564819,False,True,True,False,0.3499999046325683,0.189230753825261,0.2838461307378915,HL,HLHHHLHHHL,2.539999961853028,2025-11-19,2.450000047683716,2025-11-21,2.200000047683716,-0.13,0.8100000023841858,0.699999988079071,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.200000047683716,2025-11-21,3.470000028610229,2025-11-27,True,,1959.HK
2025-11-21,1959.HK,2.5,2.509999990463257,2.200000047683716,2.450000047683716,2.450000047683716,2158000,0.0,0.0,2.047873951061093,1.648762536454876,1.1513570506245558,0.805213083705997,False,True,True,False,0.309999942779541,0.2053846029134897,0.3080769043702346,HL,HLHHHLHHHL,3.470000028610229,2025-11-27,2.430000066757202,2025-11-28,2.259999990463257,-0.35,1.399999976158142,0.8100000023841858,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.259999990463257,2025-11-28,3.799999952316284,2025-12-02,True,,1959.HK
2025-11-10,2000.HK,0.3650000095367431,0.375,0.3600000143051147,0.375,0.375,922000,0.0,0.0,0.3649488880026685,0.3490501916787229,0.3317186171508228,0.3258703726472569,False,True,True,False,0.0149999856948853,0.0082142906529563,0.0123214359794344,HL,HLHHHLHHHL,0.395000010728836,2025-11-12,0.3799999952316284,2025-11-13,0.3700000047683716,-0.06,0.3300000131130218,0.2899999916553497,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.3700000047683716,2025-11-13,0.4000000059604645,2025-11-18,True,0.3296472886170372,2000.HK
2025-11-21,0205.HK,0.3700000047683716,0.3700000047683716,0.3400000035762787,0.3400000035762787,0.3400000035762787,230000,0.0,0.0,0.3415248936950393,0.329066716734368,0.3127962713983996,0.2938321791634411,False,True,True,False,0.0300000011920928,0.0065384598878713,0.009807689831807,HL,HLHHHLHHHL,0.8199999928474426,2025-12-02,0.6700000166893005,2025-12-04,0.6299999952316284,-0.23,0.3199999928474426,0.2899999916553497,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.6299999952316284,2025-12-04,0.8500000238418579,2025-12-05,True,,205.HK
