SNO,NAME,EXCHANGE
ACCS,ACCESS NEWSWIRE INC,XASE
ACU,ACME UNITED CORP,XASE
AEF,ABRDN EMERGING MARKETS EX-CHINA FUND INC,XASE
AEON,AEON BIOPHARMA INC,XASE
AIM,AIM IMMUNOTECH INC,XASE
AIRI,AIR INDUSTRIES GROUP,XASE
AMBI,AMBIPAR EMERGENCY RESPONSE,XASE
AMBO,AMBOW EDUCATION HOLDING LTD SPON ADS EACH REP 20 CL A SHS(R/SPLIT),XASE
AMS,AMERICAN SHARED HOSPITAL SERVICES,XASE
AMZE,AMAZE HOLDINGS INC,XASE
APT,ALPHA PRO TECH,XASE
APUS,APIMEDS PHARMACEUTICALS US INC,XASE
AREN,THE ARENA GROUP HOLDINGS INC,XASE
ARMN,ARIS MINING CORPORATION,XASE
ARMP,ARMATA PHARMACEUTICALS INC,XASE
ASM,AVINO SILVER & GOLD MINES,XASE
ATCH,ATLASCLEAR HOLDINGS INC,XASE
ATNM,ACTINIUM PHARMACEUTICALS INC,XASE
AUST,AUSTIN GOLD CORP,XASE
AWX,AVALON HOLDINGS CORP,XASE
AXIL,AXIL BRANDS INC,XASE
AZTR,AZITRA INC,XASE
BATL,BATTALION OIL CORP,XASE
BCV,BANCROFT FUND LTD,XASE
BDL,FLANIGAN'S ENTERPRISES INC,XASE
BGI,BIRKS GROUP INC,XASE
BHB,BAR HARBOUR BANKSHARES,XASE
BHM,BLUEROCK HOMES TRUST INC,XASE
BKTI,BK TECHNOLOGIES CORPORATION,XASE
BMNR,BITMINE IMMERSION TECNOLOGIES INC,XASE
BQ,BOQII HOLDING LIMITED,XASE
BRBS,BLUE RIDGE BANKSHARES INC (VA),XASE
BRIA,BRILLIA INC,XASE
BRN,BARNWELL INDUSTRIES INC,XASE
BTG,B2GOLD CORP,XASE
BURU,NUBURU INC,XASE
CANF,CAN FITE BIOPHARMA LTD SPON ADS EACH REP 300 ORD SHS(POST SPLT),XASE
CATX,PERSPECTIVE THERAPEUTICS INC,XASE
CCEL,CRYO-CELL INTERNATIONAL INC,XASE
CET,CENTRAL SECURITIES CORP,XASE
CEV,EATON VANCE CALIFORNIA MUN INC TRST,XASE
CHOW,CHOWCHOW CLOUD INTL HLDGS LTD,XASE
CIK,CREDIT SUISSE ASSET MGMT INCOME FD,XASE
CIX,COMPX INTERNATIONAL INC,XASE
CKX,CKX LANDS INC,XASE
CLDI,CALIDI BIOTHERAPEUTICS INC,XASE
CLM,CORNERSTONE STRATEGIC INVESTMENT FUND INC,XASE
CMCL,CALEDONIA MINING CORP PLC,XASE
CMT,CORE MOLDING TECHNOLOGIES INC,XASE
CNL,COLLECTIVE MINING LTD,XASE
COE,51TALK ONLINE EDUCATION GROUP SPON ADR EACH REP 60 CL A ORD SHS,XASE
COHN,COHEN & COMPANY INC,XASE
CPHI,CHINA PHARMA HLGS INC,XASE
CRF,CORNERSTONE TOTAL RETURN FUND INC,XASE
CTGO,CONTANGO ORE INC,XASE
CTM,CASTELLUM INC,XASE
CVM,CEL-SCI CORP,XASE
CVR,CHICAGO RIVET & MACHINE CO,XASE
CVU,CPI AEROSTRUCTURES INC,XASE
CYBN,CYBIN INC,XASE
DC,DAKOTA GOLD CORP,XASE
DDC,DDC ENTERPRISE LIMITED,XASE
DHY,CREDIT SUISSE HIGH YIELD CREDI,XASE
DIT,AMCON DISTRIBUTING CO,XASE
DNN,DENISON MINES CORPORATION,XASE
DSS,DSS INC,XASE
DVS,DOLLY VARDEN SILVER CORP,XASE
DXF,EASON TECHNOLOGY LIMITED SPON ADR EA REP 60000 ORD (P/S),XASE
EAD,ALLSPRING INCOME OPPORTUNITIES FUND,XASE
ECF,ELLSWORTH GROWTH AND INCOME FUND LT,XASE
EGG,ENIGMATIG LTD.,XASE
EIM,EATON VANCE MUNICIPAL BOND FUND,XASE
ELA,ENVELA CORPORATION,XASE
ELLO,ELLOMAY CAPITAL LTD,XASE
ELMD,ELECTROMED INC,XASE
EMX,EMX ROYALTY CORPORATION,XASE
ENX,EATON VANCE NEW YORK MUN BD FD,XASE
EONR,EON RESOURCES INC,XASE
EP,EMPIRE PETROLEUM CORPORATION,XASE
EPM,EVOLUTION PETROLEUM CORPORATION,XASE
EQX,EQUINOX GOLD CORP,XASE
ERC,ALLSPRING MULTI SECTOR INCOME FD,XASE
ERH,ALLSPRING UTILITIES AND HIGH INCM,XASE
ESP,ESPEY MAN & ELECTRONICS CORP,XASE
EVI,EVI INDUSTRIES INC,XASE
EVM,EATON VANCE CALIFORNIA MUNI BD FD,XASE
EVV,EATON VANCE LTD DURATION INCOME FD,XASE
EXOD,EXODUS MOVEMENT INC,XASE
FAX,ABRDN ASIA PACIFIC INCOME FUND INC,XASE
FCO,ABRDN GLOBAL INCOME FUND INC,XASE
FLYX,FLYEXCLUSIVE INC,XASE
FSI,FLEXIBLE SOLUTIONS INTERNATIONAL IN,XASE
FSP,FRANKLIN STREET PROPERTIES CORP/MA,XASE
FTF,FRANKLIN LIMITED DURATION INCOME TR,XASE
FURY,FURY GOLD MINES LTD,XASE
GAU,GALIANO GOLD INC,XASE
GBR,NEW CONCEPT ENERGY INC,XASE
GENC,GENCOR INDS INC,XASE
GGN,GAMCO GLOBAL GOLD NAT RES & INCOME,XASE
GLDG,GOLDMINING INC,XASE
GLO,CLOUGH GLOBAL OPPORTUNITIES FUND,XASE
GLQ,CLOUGH GLOBAL EQUITY FUND,XASE
GLU,GABELLI GLOBAL UTILITY & INCOME TR,XASE
GLV,CLOUGH GLOBAL DIVIDEND AND INCOM FD,XASE
GNS,GENIUS GROUP LTD,XASE
GORO,GOLD RESOURCE CORPORATION,XASE
GPUS,HYPERSCALE DATA INC,XASE
GRAF,GRAF GLOBAL CORP,XASE
GRAF.U,GRAF GLOBAL CORP UNIT 1 ORD SHS CL A & 1/2 WT EXP,XASE
GRF,EAGLE CAPITAL GROWTH FUND INC,XASE
GRO,BRAZIL POTASH CORP,XASE
GROY,GOLD ROYALTY CORP,XASE
GTE,GRAN TIERRA ENERGY INC,XASE
HCWC,HEALTHY CHOICE WELLNESS CORP,XASE
HUSA,HOUSTON AMERICAN ENERGY CORPORATION,XASE
HYLN,HYLIION HOLDINGS CORP,XASE
IAF,ABRDN AUSTRALIA EQUITY FUND INC,XASE
IAUX,I 80 GOLD CORP,XASE
IBO,IMPACT BIOMEDICAL INC,XASE
IDR,IDAHO STRATEGIC RESOURCES INC,XASE
IE,IVANHOE ELECTRIC INC,XASE
IGC,IGC PHARMA INC,XASE
IHT,INNSUITES HOSPITALITY TRUST,XASE
IMO,IMPERIAL OIL,XASE
INDO,INDONESIA ENERGY CORP LTD,XASE
INFU,INFUSYSTEM HOLDINGS INC,XASE
INLX,INTELLINETICS INC,XASE
INTT,INTEST CORP,XASE
INUV,INUVO INC,XASE
IOR,INCOME OPPORTUNITY REALTY INVESTORS,XASE
ISOU,ISOENERGY LTD,XASE
ITP,IT TECH PACKAGING INC,XASE
ITRG,INTEGRA RESOURCES CORP,XASE
JOB,GEE GROUP INC,XASE
KAPA,KAIROS PHARMA LTD,XASE
KNRX,KNOREX LTD,XASE
KULR,KULR TECHNOLOGY GROUP INC,XASE
LCTX,LINEAGE CELL THERAPEUTICS INC,XASE
LEGT,LEGATO MERGER CORP III,XASE
LEGT.U,LEGATO MERGER CORP III UNITS 1 ORD & 1/2 WT,XASE
LEU,CENTRUS ENERGY CORP,XASE
LGCY,LEGACY EDUCATION INC,XASE
LGL,LGL GROUP INC,XASE
LGPS,LOGPROSTYLE INC,XASE
LODE,COMSTOCK INC,XASE
LPA,LOGISTIC PROPERTIES OF THE AMERICAS,XASE
LSF,LAIRD SUPERFOOD INC,XASE
LUD,LUDA TECHNOLOGY GROUP LIMITED,XASE
MAIA,MAIA BIOTECHNOLOGY INC,XASE
MCRP,MICROPOLIS HOLDING COMPANY,XASE
MGLD,THE MARYGOLD COMPANIES INC,XASE
MHH,MASTECH DIGITAL INC,XASE
MI,NFT LIMITED,XASE
MITQ,MOVING IMAGE TECHNOLOGIES INC,XASE
MLSS,MILESTONE SCIENTIFIC INC,XASE
MMA,MIXED MARTIAL ARTS GROUP LIMITED,XASE
MPTI,M TRON INDUSTRIES INC,XASE
MPU,MEGA MATRIX INC,XASE
MRT,MARTI TECHNOLOGIES INC,XASE
MSN,EMERSON RADIO CORP,XASE
MTA,METALLA ROYALTY & STREAMING LTD,XASE
MTNB,MATINAS BIOPHARMA HOLDINGS INC,XASE
MWG,MULTI WAYS HOLDINGS LIMITED,XASE
MXC,MEXCO ENERGY CORP,XASE
MYND,MYND AI INC SPON ADS EACH REP 10 ORD CL A SHS,XASE
MYO,MYOMO INC,XASE
NAK,NORTHERN DYNASTY MINERALS LTD,XASE
NBH,NEUBERGER BERMAN MUN FD INC,XASE
NBY,NOVABAY PHARMACEUTICALS INC,XASE
NCL,NORTHANN CORP,XASE
NEN,NEW ENGLAND RLTY ASSOC LTD PART,XASE
NEWP,NEW PACIFIC METALS CORP,XASE
NFGC,NEW FOUND GOLD CORP,XASE
NG,NOVAGOLD RESOURCES INC,XASE
NGD,NEW GOLD INC,XASE
NHC,NATIONAL HEALTH CARE CORP,XASE
NHS,NEUBERGER BERMAN HIGH YIELD STRG FD,XASE
NML,NEUBERGER BERMAN ENERGY INFRASTR,XASE
NNVC,NANOVIRICIDES INC,XASE
NRO,NEUBERGER BERMAN REAL ESTATE,XASE
NRXS,NEURAXIS INC,XASE
NSRX,NASUS PHARMA LTD,XASE
NTIP,NETWORK-1 TECHNOLOGIES INC,XASE
OBE,OBSIDIAN ENERGY LTD,XASE
OGEN,ORAGENICS INC,XASE
OPHC,OPTIMUMBANK HOLDINGS INC,XASE
OPTT,OCEAN POWER TECHNOLOGIES INC,XASE
ORLA,ORLA MINING LTD NEW,XASE
OSTX,OS THERAPIES INCORPORATED,XASE
OZ,BELPOINTE PREP LLC,XASE
PAPL,PINEAPPLE FINANCIAL INC,XASE
PED,PEDEVCO CORP,XASE
PHGE,BIOMX INC,XASE
PLAG,PLANET GREEN HOLDINGS CORP,XASE
PLG,PLATINUM GROUP METALS LTD,XASE
PLX,PROTALIX BIOTHERAPEUTICS INC,XASE
PMI,PICARD MEDICAL INC,XASE
PMNT,PERFECT MOMENT LTD,XASE
PRK,PARK NATIONAL CORP,XASE
PTHS,PELTHOS THERAPEUTICS INC,XASE
PW,POWER REIT,XASE
PZG,PARAMOUNT GOLD NEVADA CORP,XASE
RCG,RENN FUND INC,XASE
REI,RING ENERGY INC,XASE
REPX,RILEY EXPLORATION PERMIAN INC,XASE
RLGT,RADIANT LOGISTICS INC,XASE
ROLR,HIGH ROLLER TECHNOLOGIES INC,XASE
RVP,RETRACTABLE TECHNOLOGIES INC,XASE
RYDE,RYDE GROUP LTD,XASE
SACH,SACHEM CAPITAL CORP,XASE
SBEV,SPLASH BEVERAGE GROUP INC,XASE
SCCD,SACHEM CAPITAL CORP 6% NOTES 30/12/2026 USD25,XASE
SCCE,SACHEM CAPITAL CORP 6% NOTES 30/03/2027 USD25,XASE
SCCF,SACHEM CAPITAL CORP 7.125% NTS 30/06/2027 USD25,XASE
SCCG,SACHEM CAPITAL CORP 8% NOTES DUE 30/09/2027 USD25.00,XASE
SEB,SEABOARD CORP DELAWARE,XASE
SENS,SENSEONICS HOLDINGS INC,XASE
SER,SERINA THERAPEUTICS INC,XASE
SGN,SIGNING DAY SPORTS INC,XASE
SIF,SIFCO INDUSTRIES INC,XASE
SIM,GRUPO SIMEC SAB DE CV ADR(EACH REP 3'B'ORD NPV),XASE
SLI,STANDARD LITHIUM LTD,XASE
SLND,SOUTHLAND HOLDINGS INC,XASE
SLSR,SOLARIS RESOURCES INC,XASE
SOAR,VOLATO GROUP INC,XASE
SRXH,SRX HEALTH SOLUTIONS INC,XASE
STRW,STRAWBERRY FIELDS REIT INC,XASE
STXS,STEREOTAXIS INC,XASE
SVM,SILVERCORP METALS INC,XASE
SYNX,SILYNXCOM LTD,XASE
TGB,TASEKO MINES,XASE
TGEN,TECOGEN INC,XASE
THM,INTERNATIONAL TOWER HILL MINES,XASE
TMDE,TMD ENERGY LIMITED,XASE
TMP,TOMPKINS FINANCIAL CORPORATION,XASE
TMQ,TRILOGY METALS INC NEW,XASE
TOON,KARTOON STUDIOS INC,XASE
TOPP,TOPPOINT HOLDINGS INC,XASE
TOPS,TOP SHIPS INC,XASE
TOVX,THERIVA BIOLOGICS INC,XASE
TPET,TRIO PETROLEUM CORP,XASE
TRT,TRIO-TECH INTERNATIONAL,XASE
TRX,TRX GOLD CORPORATION,XASE
UAMY,UNITED STATES ANTIMONY CORP,XASE
UAVS,AGEAGLE AERIAL SYSTEMS INC,XASE
UEC,URANIUM ENERGY CORP,XASE
UMAC,UNUSUAL MACHINES INC NEV,XASE
URG,UR ENERGY INC,XASE
USAS,AMERICAS GOLD & SILVER CORPORATION,XASE
USBC,USBC INC,XASE
UTG,REAVES UTILITY INCOME FD,XASE
UUU,UNIVERSAL SAFETY PRODUCTS INC,XASE
UUUU,ENERGY FUELS INC,XASE
VENU,VENU HOLDING CORPORATION,XASE
VFL,ABRDN NATIONAL MUNICIPAL INCOME FD,XASE
VGZ,VISTA GOLD CORP,XASE
VKI,INVESCO ADVANTAGE MUNICIPAL INC II,XASE
VNRX,VOLITIONRX LIMITED,XASE
VNTG,VANTAGE CORP,XASE
VTAK,CATHETER PRECISION INC,XASE
VZLA,VIZSLA SILVER CORP,XASE
WRN,WESTERN COPPER & GOLD CORP,XASE
WWR,WESTWATER RESOURCES INC,XASE
WYY,WIDEPOINT CORP,XASE
XPL,SOLITARIO RESOURCES CORP,XASE
XTNT,XTANT MEDICAL HLDGS INC,XASE
YCBD,CBDMD INC,XASE
ZDGE,ZEDGE INC,XASE
ZONE,CLEANCORE SOLUTIONS INC,XASE
