SNO,NAME,EXCHANGE
AACG,ATA CREATIVITY GLOBAL SPON ADS EACH REP 2 ORD SHS,XNCM
ABAT,AMERICAN BATTERY TECHNOLOGY CO,XNCM
ABEO,ABEONA THERAPEUTICS INC,XNCM
ABL,ABACUS GLOBAL MANAGEMENT INC,XNCM
ABLV,ABLE VIEW GLOBAL INC,XNCM
ABTC,AMERICAN BITCOIN CORP,XNCM
ABTS,ABITS GROUP INC,XNCM
ABVC,ABVC BIOPHARMA INC,XNCM
ACB,AURORA CANNABIS INC,XNCM
ACFN,ACORN ENERGY INC,XNCM
ACHV,ACHIEVE LIFE SCIENCE INC,XNCM
ACIC,AMERICAN COASTAL INSURANCE CORP,XNCM
ACNB,ACNB CORP,XNCM
ACOG,ALPHA COGNITION INC,XNCM
ACON,ACLARION INC,XNCM
ACXP,ACURX PHARMACEUTICALS INC,XNCM
ADAP,ADAPTIMMUNE THERAPEUTICS PLC SPON ADS EACH REP 6 ORD SHS,XNCM
ADGM,ADAGIO MEDICAL HOLDINGS INC,XNCM
ADIL,ADIAL PHARMACEUTICALS INC,XNCM
ADN,ADVENT TECHNOLOGIES HLDGS INC,XNCM
ADSE,ADS TEC ENERGY PLC,XNCM
ADTX,ADITXT INC,XNCM
ADUR,ADURO CLEAN TECHNOLOGIES INC,XNCM
ADVB,ADVANCED BIOMED INC,XNCM
ADVM,ADVERUM BIOTECHNOLOGIES INC,XNCM
ADXN,ADDEX THERAPEUTICS LIMITED SPON ADS EACH REP 120 ORD SHS (PST SPT),XNCM
AEC,ANFIELD ENERGY INC,XNCM
AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,XNCM
AEHR,AEHR TEST SYSTEMS,XNCM
AEI,ALSET INC,XNCM
AEMD,AETHLON MEDICAL INC,XNCM
AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,XNCM
AERT,AERIES TECHNOLOGY INC,XNCM
AEYE,AUDIOEYE INC,XNCM
AFBI,AFFINITY BANCSHARE,XNCM
AFRI,FORAFRIC GLOBAL PLC,XNCM
AGAE,ALLIED GAMING,XNCM
AGEN,AGENUS INC,XNCM
AGH,AUREUS GREENWAY HOLDINGS INC,XNCM
AGMH,AGM GROUP HOLDINGS INC,XNCM
AGRI,AGRIFORCE GROWING SYS LTD,XNCM
AGRZ,AGROZ INC.,XNCM
AHCO,ADAPTHEALTH CORP,XNCM
AHG,AKSO HEALTH GROUP SPON ADS EACH REP 3 ORD SHS,XNCM
AIFF,FIREFLY NEUROSCIENCE INC,XNCM
AIHS,SENMIAO TECHNOLOGY LIMITED,XNCM
AIIO,ROBO.AI INC.,XNCM
AIMD,AINOS INC,XNCM
AIRE,REALPHA TECH CORP,XNCM
AIRG,AIRGAIN INC,XNCM
AIRJ,AIRJOULE TECHNOLOGIES CORP,XNCM
AIRT,AIR T INC,XNCM
AKAN,AKANDA CORP,XNCM
AKBA,AKEBIA THERAPEUTICS INC,XNCM
