股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
00150.HK,HYPEBEAS,100201,0.187,+0.017,+10.000%,80.05萬,15.05萬,無盈利,0.90,1.93%,3.81億,00150.HK,4.14,3.51,3.54%,4.64%,46.16%,2.49%,130.46%,9.23%,2024/03,00150.HK,8.96億,-6.000%,2.56千萬,2.854%,2.23千萬,2.491%,0.011,N/A,2024/03,0150.HK,381000000.0
00164.HK,中國寶力科技,100201,0.380,0.000,0.000%,32.52萬,12.16萬,無盈利,N/A,0.00%,1.11億,00164.HK,0.14,0.14,-45.07%,8.54%,17.07%,-55.66%,N/A,-68.98%,2024/03,00164.HK,5.53千萬,3.000%,-3.08千萬,-55.691%,-3.08千萬,-55.657%,-0.380,-2.703%,2024/03,0164.HK,111000000.00000001
00205.HK,財訊傳媒,100201,0.345,-0.010,-2.817%,20.13萬,6.97萬,無盈利,1.64,0.00%,4.32億,00205.HK,2.00,2.00,-6.14%,-11.23%,29.26%,-60.66%,N/A,16.34%,2023/12,00205.HK,3.84千萬,-47.000%,-3.04千萬,-79.134%,-2.33千萬,-60.656%,-0.032,75.385%,2023/12,0205.HK,432000000.0
00550.HK,律齊文化,100201,0.134,0.000,0.000%,0.00,0.00,無盈利,1.17,0.00%,6.10千萬,00550.HK,6.61,6.59,-4.22%,-4.52%,57.35%,-16.34%,N/A,0.94%,2022/12,00550.HK,5.42千萬,55.000%,-8.67百萬,-16.014%,-8.85百萬,-16.342%,-0.020,-24.528%,2022/12,0550.HK,61000000.0
00623.HK,中視金橋,100201,2.050,+0.030,+1.485%,56.80萬,1.14百萬,8.32,0.46,17.07%,9.66億,00623.HK,5.30,5.30,5.16%,5.76%,16.05%,12.74%,70.37%,0.11%,2023/12,00623.HK,8.33億,2.000%,1.09億,13.038%,1.06億,12.737%,0.230,126.735%,2023/12,0623.HK,966000000.0
00745.HK,中國國家文化產業,100201,0.540,0.000,0.000%,6.02萬,3.25萬,無盈利,2.84,0.00%,1.27億,00745.HK,1.95,1.95,-136.30%,-260.70%,19.51%,-156.61%,N/A,N/A,2024/03,00745.HK,2.79千萬,-35.000%,-4.44千萬,-159.359%,-4.37千萬,-156.612%,-0.499,"-2,752.041%",2024/03,0745.HK,127000000.0
00917.HK,趣致集團,100201,34.040,-2.300,-6.329%,2.00百萬,6.98千萬,無盈利,5.47,0.00%,90.45億,00917.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,00917.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0917.HK,9045000000.0
01000.HK,北青傳媒,100201,0.660,-0.010,-1.493%,0.00,0.00,無盈利,0.19,0.00%,3.62千萬,01000.HK,4.24,4.18,-2.15%,-2.46%,14.50%,-7.63%,N/A,0.40%,2023/12,01000.HK,2.20億,23.000%,-1.67千萬,-7.576%,-1.68千萬,-7.630%,-0.088,35.219%,2023/12,1000.HK,36200000.0
01111.HK,華視集團控股,100201,0.325,0.000,0.000%,1.07百萬,35.60萬,2.92,0.69,0.00%,2.50億,01111.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01111.HK,2.57億,N/A,1.04億,40.266%,7.12千萬,27.682%,0.107,N/A,2023/12,1111.HK,250000000.0
01163.HK,虎視傳媒,100201,0.120,-0.001,-0.826%,5.25萬,6.28千,無盈利,0.43,0.00%,1.08億,01163.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01163.HK,3.22億,-19.000%,-1.42千萬,-4.394%,-1.19千萬,-3.697%,-0.022,N/A,2023/12,1163.HK,108000000.0
