股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00001.HK,長和,010101,59.600,+0.550,+0.931%,7.46百萬,4.44億,19.28,0.41,3.88%,"2,282.71億",00001.HK,1.25,1.09,2.03%,4.32%,100.00%,8.53%,41.22%,63.06%,2023/12,00001.HK,"2,755.75億",4.000%,250.74億,9.099%,235.00億,8.528%,6.140,-35.841%,2023/12,0001.HK,228271000000.0,L
00002.HK,中電控股,120101,73.500,+0.500,+0.685%,2.68百萬,1.96億,17.74,1.73,4.35%,"1,856.94億",00002.HK,0.63,0.50,2.91%,6.50%,17.42%,7.63%,117.87%,56.20%,2023/12,00002.HK,871.69億,-13.000%,93.16億,10.687%,66.55億,7.635%,2.630,610.811%,2023/12,0002.HK,185694000000.0,L
00003.HK,香港中華煤氣,120102,7.100,+0.020,+0.282%,2.62千萬,1.85億,23.29,2.23,4.93%,"1,324.85億",00003.HK,0.66,0.60,3.75%,10.14%,14.28%,10.65%,107.69%,96.70%,2023/12,00003.HK,569.71億,-6.000%,68.13億,11.959%,60.70億,10.655%,0.325,15.658%,2023/12,0003.HK,132484999999.99998,L
00004.HK,九龍倉集團,090201,21.640,-0.220,-1.006%,4.70百萬,1.02億,"1,319.51",0.45,1.85%,661.32億,00004.HK,1.89,0.50,0.46%,0.66%,47.77%,4.99%,129.03%,13.59%,2023/12,00004.HK,189.50億,4.000%,68.96億,36.391%,9.45億,4.987%,0.310,N/A,2023/12,0004.HK,66132000000.00001,L
00005.HK,匯豐控股,040101,125.800,+2.200,+1.780%,1.39千萬,17.32億,13.35,1.56,4.64%,"21,606.45億",00005.HK,0.76,N/A,0.74%,12.10%,N/A,33.96%,53.04%,N/A,2023/12,00005.HK,"5,159.79億",30.000%,"2,385.56億",46.234%,"1,752.16億",33.958%,8.983,59.784%,2023/12,0005.HK,2160645000000.0,L
00006.HK,電能實業,120101,61.050,-0.300,-0.489%,3.41百萬,2.08億,20.86,1.43,4.62%,"1,301.04億",00006.HK,1.34,1.34,6.27%,6.76%,100.00%,464.63%,100.00%,3.49%,2023/12,00006.HK,12.92億,2.000%,11.31億,87.539%,60.03億,464.628%,2.820,6.415%,2023/12,0006.HK,130104000000.0,L
00008.HK,電訊盈科,110101,5.800,+0.050,+0.870%,7.36百萬,4.26千萬,無盈利,N/A,6.60%,449.37億,00008.HK,0.68,0.61,-0.50%,-18.98%,50.16%,-1.30%,-627.05%,"2,184.16%",2023/12,00008.HK,363.47億,N/A,27.35億,7.525%,-4.71億,-1.296%,-0.061,N/A,2023/12,0008.HK,44937000000.0,L
00010.HK,恒隆集團,090202,14.910,-0.060,-0.401%,1.11百萬,1.65千萬,14.82,0.21,5.77%,203.02億,00010.HK,1.59,0.65,1.21%,2.98%,71.63%,25.83%,41.75%,54.02%,2023/12,00010.HK,108.81億,N/A,70.65億,64.930%,28.11億,25.834%,2.060,3.000%,2023/12,0010.HK,20302000000.0,L
00012.HK,恆基地產,090204,28.920,-0.180,-0.619%,1.05千萬,3.05億,24.77,0.43,4.36%,"1,400.13億",00012.HK,2.23,0.66,1.71%,2.84%,36.38%,33.59%,94.24%,48.75%,2023/12,00012.HK,275.70億,7.000%,62.07億,22.514%,92.61億,33.591%,1.910,0.000%,2023/12,0012.HK,140013000000.0,L
00016.HK,新鴻基地產,090204,129.200,+1.100,+0.859%,5.24百萬,6.76億,19.42,0.61,2.90%,"3,743.93億",00016.HK,4.01,0.55,2.33%,3.14%,45.05%,26.64%,57.08%,21.23%,2024/06,00016.HK,715.06億,N/A,267.52億,37.412%,190.46億,26.636%,6.570,-20.364%,2024/06,0016.HK,374393000000.0,L
00017.HK,新世界發展,090204,8.080,+0.030,+0.373%,8.38百萬,6.79千萬,無盈利,0.12,0.00%,203.34億,00017.HK,1.26,0.49,-4.37%,-10.82%,35.91%,-54.39%,-2.59%,89.50%,2024/06,00017.HK,357.82億,-34.000%,4.89億,1.365%,-194.62億,-54.391%,-7.730,N/A,2024/06,0017.HK,20334000000.0,L
00019.HK,太古股份公司Ａ,010101,85.350,+0.050,+0.059%,1.02百萬,8.67千萬,39.42,0.44,4.45%,664.87億,00019.HK,0.97,0.59,6.44%,10.76%,37.07%,30.43%,56.71%,27.71%,2023/12,00019.HK,948.23億,4.000%,306.21億,32.293%,288.53億,30.428%,19.960,610.320%,2023/12,0019.HK,66487000000.0,L
00020.HK,商湯－Ｗ,070203,1.840,-0.020,-1.075%,3.07億,5.69億,無盈利,2.50,0.00%,743.80億,00020.HK,5.15,5.00,-19.58%,-27.81%,44.07%,-189.09%,N/A,27.81%,2023/12,00020.HK,37.33億,-13.000%,-72.86億,-195.152%,-70.60億,-189.092%,-0.219,-2.287%,2023/12,0020.HK,74380000000.0,L
