股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00007.HK,智富資源投資,020401,0.032,0.000,0.000%,0.00,0.00,無盈利,0.05,0.00%,1.07億,00007.HK,1.30,0.26,4.47%,6.04%,6.07%,48.92%,N/A,12.29%,2022/12,00007.HK,5.12億,-2.000%,3.56億,69.656%,2.50億,48.917%,0.095,-29.254%,2022/12,0007.HK,107000000.0,S
00009.HK,金奧國際,090204,0.013,0.000,0.000%,0.00,0.00,0.08,N/A,0.00%,4.64千萬,00009.HK,0.67,0.13,-15.16%,56.91%,86.06%,"-2,943.98%",N/A,-207.52%,2022/12,00009.HK,1.72千萬,-6.000%,-2.61億,"-1,517.305%",-5.06億,"-2,943.978%",-0.142,5.843%,2022/12,0009.HK,46400000.0,S
00018.HK,東方企控集團,100203,0.350,-0.005,-1.408%,5.60萬,1.99萬,15.98,0.51,5.71%,8.39億,00018.HK,15.40,14.61,3.84%,4.22%,100.00%,11.94%,191.69%,0.79%,2024/03,00018.HK,6.80億,-8.000%,9.34千萬,14.853%,7.51千萬,11.939%,0.031,-54.964%,2024/03,0018.HK,839000000.0,S
00021.HK,大中華控股,090204,0.087,-0.001,-1.136%,19.00萬,1.68萬,20.23,0.43,0.00%,3.46億,00021.HK,0.73,0.07,-0.18%,-0.48%,39.36%,-16.95%,N/A,2.66%,2023/12,00021.HK,2.38千萬,90.000%,-3.94百萬,-16.504%,-4.04百萬,-16.948%,-0.001,N/A,2023/12,0021.HK,346000000.0,S
00022.HK,茂盛控股,100401,0.096,0.000,0.000%,1.80百萬,16.52萬,無盈利,0.54,251.04%,1.89億,00022.HK,0.97,0.97,-3.63%,-5.27%,38.99%,-11.39%,N/A,34.56%,2024/03,00022.HK,1.77億,40.000%,-2.14千萬,-12.068%,-2.02千萬,-11.392%,-0.010,14.876%,2024/03,0022.HK,189000000.0,S
00025.HK,其士國際,010101,3.860,-0.040,-1.026%,4.65萬,17.88萬,無盈利,0.13,4.15%,11.63億,00025.HK,1.81,1.21,-1.82%,-3.79%,10.43%,-4.52%,-16.26%,48.38%,2024/03,00025.HK,81.96億,14.000%,-1.54億,-1.885%,-3.70億,-4.519%,-1.230,N/A,2024/03,0025.HK,1163000000.0,S
00030.HK,雲白國際,050103,0.245,-0.010,-3.922%,48.40萬,11.91萬,90.74,6.41,0.00%,18.62億,00030.HK,2.75,2.46,36.84%,59.12%,8.57%,24.84%,N/A,18.29%,2023/12,00030.HK,5.79億,27.000%,1.50億,25.896%,1.44億,24.838%,0.021,N/A,2023/12,0030.HK,1862000000.0,S
00031.HK,航天控股,060101,0.570,-0.030,-5.000%,8.57百萬,5.00百萬,無盈利,0.25,0.00%,17.58億,00031.HK,2.29,1.97,0.03%,0.05%,20.31%,0.12%,N/A,20.42%,2023/12,00031.HK,34.51億,-23.000%,-2.30千萬,-0.666%,4.05百萬,0.117%,0.001,N/A,2023/12,0031.HK,1757999999.9999998,S
00033.HK,INTL,020502,0.400,0.000,0.000%,0.00,0.00,無盈利,0.32,0.00%,2.23億,00033.HK,1.68,1.68,-5.01%,-5.77%,5.76%,-17.64%,N/A,3.54%,2024/06,00033.HK,2.27億,-32.000%,-3.84千萬,-16.922%,-4.00千萬,-17.640%,-0.074,-2.080%,2024/06,0033.HK,223000000.0,S
00036.HK,遠東控股國際,090202,0.160,-0.012,-6.977%,28.20萬,4.39萬,無盈利,7.58,0.00%,5.23千萬,00036.HK,0.01,0.01,-5.37%,-20.87%,68.05%,-787.07%,N/A,169.12%,2023/12,00036.HK,9.26百萬,97.000%,-1.22億,"-1,319.544%",-7.29千萬,-787.068%,N/A,-5.854%,2023/12,0036.HK,52300000.00000001,S
