代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0700,Tencent Holdings Limited,478.6,37817611,4325.06B,17.28,114.00%
0005,HSBC Holdings plc,143.0,12967151,2452.19B,15.08,417.00%
9988,Alibaba Group Holding Limited,140.4,103809035,2694.61B,25.25,77.00%
3690,Meituan,83.95,36933818,518.34B,15.77,N/A
9618,"JD.com, Inc.",119.3,9602620,325.88B,16.14,336.00%
1398,Industrial and Commercial Bank of China Limited,6.98,199835463,2487.72B,6.02,503.00%
3988,Bank of China Limited,5.15,164759153,1659.39B,6.06,491.00%
0941,China Mobile Limited,85.2,16300597,1844.12B,11.80,595.00%
6623,Lufax Holding Ltd,10.9,61200,18.89B,2.88,N/A
1810,Xiaomi Corporation,31.12,132606475,803.66B,17.39,N/A
1177,Sino Biopharmaceutical Limited,5.46,77475693,97.50B,36.40,185.00%
2269,WuXi Biologics (Cayman) Inc.,33.3,27666066,137.65B,25.04,N/A
9999,"NetEase, Inc.",186.0,5649871,593.46B,15.47,256.00%
0992,Lenovo Group Limited,12.55,121759599,155.68B,13.21,321.00%
2319,China Mengniu Dairy Company Limited,17.37,19308885,67.23B,38.60,345.00%
6680,"JL Mag Rare-Earth Co., Ltd.",20.04,6887040,51.76B,32.35,227.00%
1211,BYD Company Limited,100.7,21485817,917.19B,44.91,41.00%
1876,Budweiser Brewing Company APAC Limited,8.03,13397935,106.24B,27.69,553.00%
6618,JD Health International Inc.,46.48,8658217,149.17B,24.08,N/A
0386,China Petroleum & Chemical Corporation,4.66,161897024,563.51B,15.03,476.00%
1044,Hengan International Group Company Limited,27.3,4188334,31.50B,10.71,574.00%
0011,N/A,N/A,N/A,N/A,N/A,N/A
0012,Henderson Land Development Company Limited,34.54,12407775,167.22B,30.30,368.00%
0016,Sun Hung Kai Properties Limited,144.0,6041245,417.28B,18.97,259.00%
0017,New World Development Company Limited,9.61,11883502,24.18B,-229.85,N/A
0027,Galaxy Entertainment Group Limited,33.22,11630845,145.48B,13.61,485.00%
0066,MTR Corporation Limited,34.98,6898718,217.37B,14.82,379.00%
0175,Geely Automobile Holdings Limited,22.66,51775905,244.57B,12.12,222.00%
0288,WH Group Limited,9.96,39351583,127.79B,10.38,621.00%
0291,China Resources Beer (Holdings) Company Limited,26.14,5165932,84.80B,21.97,486.00%
0384,China Gas Holdings Limited,7.31,12896485,39.83B,14.06,682.00%
0688,China Overseas Land & Investment Limited,15.54,69781874,170.08B,11.68,334.00%
0762,China Unicom (Hong Kong) Limited,7.53,50781908,230.40B,9.65,409.00%
0823,Link Real Estate Investment Trust,40.94,12468974,106.40B,16.39,655.00%
0857,PetroChina Company Limited,10.71,286287470,1960.15B,10.82,449.00%
0861,Digital China Holdings Limited,2.24,2967328,3.75B,112.00,286.00%
0881,Zhongsheng Group Holdings Limited,7.23,10391572,17.11B,4.11,976.00%
0939,China Construction Bank Corporation,8.89,234502280,2325.63B,5.97,487.00%
1033,Sinopec Oilfield Service Corporation,0.76,72359436,14.41B,19.00,N/A
1088,China Shenhua Energy Company Limited,45.88,28433550,995.11B,15.45,469.00%
1093,CSPC Pharmaceutical Group Limited,8.23,86142929,93.87B,21.10,364.00%
1109,China Resources Land Limited,35.56,30169701,253.58B,8.72,371.00%
1113,CK Asset Holdings Limited,52.25,5918781,182.86B,16.85,346.00%
1138,"COSCO SHIPPING Energy Transportation Co., Ltd.",19.91,28056351,108.81B,20.96,244.00%
1171,Yankuang Energy Group Company Limited,14.7,65548998,147.55B,13.36,498.00%
1186,China Railway Construction Corporation Limited,5.25,9634930,71.29B,4.10,624.00%
1200,Midland Holdings Limited,3.01,3176000,2.16B,5.10,205.00%
1234,China Lilang Limited,3.61,360000,4.32B,7.52,716.00%
1928,Sands China Ltd.,16.36,11830199,132.41B,18.80,616.00%
