代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0001,長江和記實業有限公司,N/A,0,0,N/A,N/A
0002,中電控股有限公司,N/A,0,0,N/A,N/A
0003,香港中華煤氣有限公司,N/A,0,0,N/A,N/A
0004,九龍倉集團有限公司,N/A,0,0,N/A,N/A
0005,匯豐控股有限公司,N/A,0,0,N/A,N/A
0006,電能實業有限公司,N/A,0,0,N/A,N/A
0007,智富資源投資控股集團有限公司,N/A,0,0,N/A,N/A
0008,電訊盈科有限公司,N/A,0,0,N/A,N/A
0009,金奧國際股份有限公司,N/A,0,0,N/A,N/A
0010,恒隆集團有限公司,N/A,0,0,N/A,N/A
0011,恒生銀行有限公司,N/A,0,0,N/A,N/A
0012,恒基兆業地產有限公司,N/A,0,0,N/A,N/A
0013,和黃醫藥(中國)有限公司,N/A,0,0,N/A,N/A
0014,希慎興業有限公司,N/A,0,0,N/A,N/A
0016,新鴻基地產發展有限公司,N/A,0,0,N/A,N/A
0017,新世界發展有限公司,N/A,0,0,N/A,N/A
0018,東方企控集團有限公司,N/A,0,0,N/A,N/A
0019,太古股份有限公司'A',N/A,0,0,N/A,N/A
0020,商湯集團股份有限公司,N/A,0,0,N/A,N/A
0021,大中華控股(香港)有限公司,N/A,0,0,N/A,N/A
0022,茂盛控股有限公司,N/A,0,0,N/A,N/A
0023,東亞銀行有限公司,N/A,0,0,N/A,N/A
0025,其士國際集團有限公司,N/A,0,0,N/A,N/A
0026,中華汽車有限公司,N/A,0,0,N/A,N/A
0027,銀河娛樂集團有限公司,N/A,0,0,N/A,N/A
0028,天安中國投資有限公司,N/A,0,0,N/A,N/A
0029,達力集團有限公司,N/A,0,0,N/A,N/A
0030,雲白國際有限公司,N/A,0,0,N/A,N/A
0031,中國航天國際控股有限公司 ,N/A,0,0,N/A,N/A
0032,港通控股有限公司,N/A,0,0,N/A,N/A
0033,International Genius Company,N/A,0,0,N/A,N/A
0034,九龍建業有限公司,N/A,0,0,N/A,N/A
0035,遠東發展有限公司,N/A,0,0,N/A,N/A
0036,遠東控股國際有限公司,N/A,0,0,N/A,N/A
0037,遠東酒店實業有限公司,N/A,0,0,N/A,N/A
0038,第一拖拉機股份有限公司,N/A,0,0,N/A,N/A
0039,中國北大荒產業集團控股有限公司,N/A,0,0,N/A,N/A
0040,金山科技工業有限公司,N/A,0,0,N/A,N/A
0041,鷹君集團有限公司,N/A,0,0,N/A,N/A
0042,東北電氣發展股份有限公司,N/A,0,0,N/A,N/A
0045,香港上海大酒店有限公司,N/A,0,0,N/A,N/A
0046,科聯系統集團有限公司,N/A,0,0,N/A,N/A
0048,中國汽車內飾集團有限公司,N/A,0,0,N/A,N/A
0050,香港小輪(集團)有限公司,N/A,0,0,N/A,N/A
0051,海港企業有限公司,N/A,0,0,N/A,N/A
0052,大快活集團有限公司,N/A,0,0,N/A,N/A
0053,國浩集團有限公司,N/A,0,0,N/A,N/A
0055,中星集團控股有限公司,N/A,0,0,N/A,N/A
0057,震雄集團有限公司,N/A,0,0,N/A,N/A
0058,新威國際控股有限公司,N/A,0,0,N/A,N/A
0059,天譽置業（控股）有限公司,N/A,0,0,N/A,N/A
0060,香港食品投資控股有限公司,N/A,0,0,N/A,N/A
0061,綠領控股集團有限公司,N/A,0,0,N/A,N/A
0062,載通國際控股有限公司,N/A,0,0,N/A,N/A
0063,中亞烯谷集團有限公司,N/A,0,0,N/A,N/A
0064,結好控股有限公司,N/A,0,0,N/A,N/A
0065,弘海高新資源有限公司,N/A,0,0,N/A,N/A
0066,香港鐵路有限公司,N/A,0,0,N/A,N/A
0069,香格里拉(亞洲)有限公司,N/A,0,0,N/A,N/A
0070,金粵控股有限公司 ,N/A,0,0,N/A,N/A
0071,美麗華酒店企業有限公司,N/A,0,0,N/A,N/A
0072,超媒體控股有限公司,N/A,0,0,N/A,N/A
0073,亞洲果業控股有限公司,N/A,0,0,N/A,N/A
0075,渝太地產集團有限公司,N/A,0,0,N/A,N/A
0076,誼礫控股有限公司,N/A,0,0,N/A,N/A
0077,進智公共交通控股有限公司,N/A,0,0,N/A,N/A
0078,富豪酒店國際控股有限公司,N/A,0,0,N/A,N/A
0079,世紀建業(集團)有限公司,N/A,0,0,N/A,N/A
0080,CAI控股,N/A,0,0,N/A,N/A
0081,中國海外宏洋集團有限公司,N/A,0,0,N/A,N/A
0082,瘋狂體育集團有限公司,N/A,0,0,N/A,N/A
0083,信和置業有限公司,N/A,0,0,N/A,N/A
0084,寶光實業(國際)有限公司,N/A,0,0,N/A,N/A
0085,中國電子華大科技有限公司,N/A,0,0,N/A,N/A
0086,新鴻基有限公司,N/A,0,0,N/A,N/A
0087,太古股份有限公司'B',N/A,0,0,N/A,N/A
0088,大昌集團有限公司 ,N/A,0,0,N/A,N/A
0089,大生地產發展有限公司,N/A,0,0,N/A,N/A
0090,普星能量有限公司,N/A,0,0,N/A,N/A
0092,冠軍科技集團有限公司,N/A,0,0,N/A,N/A
0093,零在科技金融集團有限公司,N/A,0,0,N/A,N/A
0094,綠心集團有限公司  ,N/A,0,0,N/A,N/A
0095,綠景(中國)地產投資有限公司,N/A,0,0,N/A,N/A
0096,友成控股有限公司,N/A,0,0,N/A,N/A
0097,恒基兆業發展有限公司,N/A,0,0,N/A,N/A
