代號,名稱,按盤價,成交金額,市值,市盈率,股息率
1,長和,73.000,1390000000.0,279590000000.0,23.61,3.17
2,中電控股,76.450,294110000.0,193140000000.0,18.45,4.19
3,香港中華煤氣,7.410,169980000.0,138260000000.0,24.31,4.72
4,九龍倉集團,29.900,113210000.0,91370000000.0,1,1.34
5,匯豐控股,143.100,1890000000.0,2458960000000.0,15.17,4.09
6,電能實業,65.750,202400000.0,140120000000.0,22.47,4.29
8,電訊盈科,6.1500,33360000.0,47640000000.0,,6.22
10,恒隆集團,16.430,14960000.0,22370000000.0,16.33,5.23
12,恒基地產,34.560,481500000.0,167310000000.0,29.60,3.65
13,和黃醫藥,21.260,101680000.0,18540000000.0,5.13,
14,希慎興業,20.580,53220000.0,21130000000.0,67.10,5.25
16,新鴻基地產,144.000,1170000000.0,417280000000.0,21.65,2.63
17,新世界發展,9.660,127480000.0,24310000000.0,,
18,東方傳媒集團,0.2750,1100.0,659420000.0,12.56,3.64
19,太古股份公司Ａ,91.100,110770000.0,70960000000.0,42.07,4.17
20,商湯－Ｗ,2.080,949730000.0,87810000000.0,,
21,大中華控股,0.0660,,262360000.0,,
22,茂盛控股,0.059,3560000.0,116010000.0,,306.78
23,東亞銀行,14.000,18390000.0,37010000000.0,11.48,4.36
25,CHEVALIER INT'L,4.090,73520.0,1230000000.0,,3.91
26,中華汽車,58.850,151530.0,2660000000.0,,5.44
27,銀河娛樂,33.200,442120000.0,145390000000.0,13.61,4.52
28,天安,4.400,676660.0,6450000000.0,3.65,4.55
29,達力集團,11.360,1200000.0,2700000000.0,,0.08
30,雲白國際,0.2470,138130.0,2350000000.0,411.67,
31,航天控股,0.580,5850000.0,1780000000.0,,
32,港通控股,8.4200,151560.0,3130000000.0,4.34,4.99
34,九龍建業,4.8700,975980.0,6360000000.0,48.70,4.93
35,遠東發展,0.7600,1300000.0,2320000000.0,,
37,遠東酒店實業,0.530,303240.0,398840000.0,,
38,第一拖拉機股份,9.170,17730000.0,3590000000.0,11.33,3.23
40,金山科技工業,0.680,103500.0,613690000.0,23.45,4.12
41,鷹君,18.790,11720000.0,14070000000.0,,5.91
42,東北電氣,0.420,270560.0,108330000.0,,
45,大酒店,5.910,2100000.0,9850000000.0,30.78,
46,科聯系統,1.200,169100.0,293200000.0,15.81,8.33
48,中國汽車內飾,0.285,46300.0,124760000.0,,
50,香港小輪（集團）,5.330,2500000.0,1890000000.0,5.66,4.69
51,海港企業,4.700,258910.00000000003,3330000000.0,,
52,大快活集團,4.010,360720.0,519500000.0,14.62,5.49
53,國浩集團,71.950,4059999.9999999995,23670000000.0,5.81,5.00
55,中星集團控股,0.151,29940.0,38250000.0,,
57,震雄集團,1.710,656860.0,1070000000.0000001,6.98,6.78
58,新威國際,0.3000,,154650000.0,,
60,香港食品投資,0.4500,,115040000.0,,
61,綠領控股,0.0690,7610.0,36310000.0,0.06,
62,載通,10.350,3830000.0,5530000000.0,13.51,7.73
63,中亞烯谷集團,0.0450,,285870000.0,28.13,
64,結好控股,3.1100,155500.0,1920000000.0,37.02,3.22
65,弘海高新資源,0.2900,,71200000.0,,
66,港鐵公司,35.020,315870000.0,217990000000.0,14.83,3.74
68,MANYCORE TECH,25.560,340290000.0,44120000000.0,,
69,香格里拉（亞洲）,4.500,3390000.0,16129999999.999998,18.29,3.33
70,金粵控股,0.057,35830.0,110510000.0,,
71,美麗華酒店,10.890,827450.0,7520000000.0,11.11,4.87
72,超媒體控股,0.2500,27500.0,109580000.0,,
73,亞洲果業,1.890,27470.0,28160000.0,,
75,渝太地產,0.1460,,116730000.0,,
76,誼礫控股,0.1600,840.68,71100000.0,,
77,進智公共交通,0.4200,,114200000.0,13.59,9.52
78,REGAL INT'L,0.570,542720.0,512299999.99999994,,
79,世紀建業,0.0810,,26410000.0,,
80,ＣＡＩ控股,0.340,637400.0,740630000.0,,
81,中國海外宏洋集團,3.0600,19460000.0,10890000000.0,31.78,1.14
82,瘋狂體育,0.091,229620.0,411870000.0,,
83,信和置業,13.070,111740000.0,125290000000.0,28.90,4.44
84,寶光實業,0.0640,58260.0,66360000.0,,
85,中電華大科技,1.190,5910000.0,2410000000.0,10.27,3.03
86,新鴻基公司,4.190,2020000.0,8230000000.0,5.15,6.44
87,太古股份公司Ｂ,14.980,45030000.0,42670000000.0,34.59,5.07
88,大昌集團有限公司,4.000,966350.0,2470000000.0,39.33,6.00
89,大生地產,2.2400,,644380000.0,,3.57
90,普星能量,1.0300,22960.0,472350000.0,11.00,7.18
92,冠軍科技集團,0.188,222880.0,206350000.0,,
93,零在科技金融,0.460,,1220000000.0,58.97,
94,綠心集團,0.067,48320.0,186420000.0,,14.93
