,no,indno
0,00270.HK,4003
1,00371.HK,4003
2,00646.HK,4003
3,00855.HK,4003
4,00967.HK,4003
5,01026.HK,4003
6,01065.HK,4003
7,01129.HK,4003
8,01395.HK,4003
9,01542.HK,4003
10,01790.HK,4003
11,01857.HK,4003
12,02281.HK,4003
13,03768.HK,4003
14,06136.HK,4003
15,06839.HK,4003
16,00084.HK,3015
17,00104.HK,3015
18,00116.HK,3015
19,00256.HK,3015
20,00280.HK,3015
21,00398.HK,3015
22,00417.HK,3015
23,00442.HK,3015
24,00444.HK,3015
25,00475.HK,3015
26,00513.HK,3015
27,00590.HK,3015
28,00789.HK,3015
29,00860.HK,3015
30,00887.HK,3015
31,00986.HK,3015
32,01327.HK,3015
33,01466.HK,3015
34,01470.HK,3015
35,01815.HK,3015
36,01856.HK,3015
37,01929.HK,3015
38,02033.HK,3015
39,02882.HK,3015
40,03326.HK,3015
41,03389.HK,3015
42,08219.HK,3015
43,08537.HK,3015
44,00500.HK,3047
45,00544.HK,3047
46,00636.HK,3047
47,00925.HK,3047
48,00988.HK,3047
49,01292.HK,3047
50,01442.HK,3047
51,01529.HK,3047
52,01737.HK,3047
53,02057.HK,3047
54,02129.HK,3047
55,02130.HK,3047
56,02618.HK,3047
57,06083.HK,3047
58,06123.HK,3047
59,06880.HK,3047
60,08035.HK,3047
61,08292.HK,3047
62,08348.HK,3047
63,08430.HK,3047
64,08482.HK,3047
65,08489.HK,3047
66,08620.HK,3047
67,09699.HK,3047
68,09956.HK,3047
69,00511.HK,3034
70,01097.HK,3034
71,02008.HK,3034
72,08153.HK,3034
73,08280.HK,3034
74,00234.HK,3023
75,00265.HK,3023
76,00308.HK,3023
77,00487.HK,3023
78,00678.HK,3023
79,00780.HK,3023
80,01235.HK,3023
81,01383.HK,3023
82,01620.HK,3023
83,01701.HK,3023
84,01901.HK,3023
85,03399.HK,3023
86,06882.HK,3023
87,08063.HK,3023
88,08069.HK,3023
89,08095.HK,3023
90,08668.HK,3023
91,09961.HK,3023
92,00114.HK,2023
93,00180.HK,2023
94,00209.HK,2023
95,00348.HK,2023
96,00381.HK,2023
97,00413.HK,2023
98,00635.HK,2023
99,00765.HK,2023
100,00869.HK,2023
101,01005.HK,2023
102,01126.HK,2023
103,01348.HK,2023
104,02122.HK,2023
105,02977.HK,2023
106,03830.HK,2023
107,06918.HK,2023
108,08545.HK,2023
109,09992.HK,2023
110,00146.HK,2031
111,00321.HK,2031
112,00420.HK,2031
113,00528.HK,2031
114,00643.HK,2031
115,00707.HK,2031
116,01367.HK,2031
117,01382.HK,2031
118,01400.HK,2031
119,01440.HK,2031
120,01795.HK,2031
121,01968.HK,2031
122,01982.HK,2031
123,02020.HK,2031
124,02111.HK,2031
125,02223.HK,2031
126,02299.HK,2031
127,02307.HK,2031
128,02668.HK,2031
129,02678.HK,2031
130,02698.HK,2031
131,02903.HK,2031
132,03344.HK,2031
133,03608.HK,2031
134,03778.HK,2031
135,08211.HK,2031
136,08377.HK,2031
137,08480.HK,2031
138,08521.HK,2031
139,08607.HK,2031
140,00008.HK,3501
141,00215.HK,3501
142,00315.HK,3501
143,00471.HK,3501
144,00524.HK,3501
145,00728.HK,3501
146,00762.HK,3501
147,00941.HK,3501
148,01310.HK,3501
149,01723.HK,3501
150,01883.HK,3501
151,06823.HK,3501
152,08167.HK,3501
